id,time,會計年度,月份,款,項,目,節,預算科目編號,預算科目名稱,細目編號,細目名稱,以前年度轉入數,減免,本月實現數,截至本月止累計實現數,調整數,尚未執行數
201,10501,105,1,07,,,,1100000000-2,其他收入,,,"
99,421
0
","
0
0
","
0
0
","
0
0
","
0
0
","
99,421
0
"
201,10501,105,1,,01,,,1102010000-6,總統府,,,"
99,421
0
","
0
0
","
0
0
","
0
0
","
0
0
","
99,421
0
"
201,10501,105,1,,,01,,1102010900-7,雜項收入,,,"
99,421
0
","
0
0
","
0
0
","
0
0
","
0
0
","
99,421
0
"
201,10501,105,1,,,,01,1102010901-0,收回以前年度歲出,,,"
99,421
0
","
0
0
","
0
0
","
0
0
","
0
0
","
99,421
0
"
201,10501,105,1,,,,,,　　　　　小　計,,,"
99,421
0
","
0
0
","
0
0
","
0
0
","
0
0
","
99,421
0
"
201,10501,105,1,07,,,,1100000000-2,其他收入,,,"
139,378
0
","
0
0
","
0
0
","
0
0
","
0
0
","
139,378
0
"
201,10501,105,1,,01,,,1102010000-6,總統府,,,"
139,378
0
","
0
0
","
0
0
","
0
0
","
0
0
","
139,378
0
"
201,10501,105,1,,,01,,1102010900-7,雜項收入,,,"
139,378
0
","
0
0
","
0
0
","
0
0
","
0
0
","
139,378
0
"
201,10501,105,1,,,,01,1102010901-0,收回以前年度歲出,,,"
139,378
0
","
0
0
","
0
0
","
0
0
","
0
0
","
139,378
0
"
201,10501,105,1,,,,,,　　　　　小　計,,,"
139,378
0
","
0
0
","
0
0
","
0
0
","
0
0
","
139,378
0
"
201,10501,105,1,,,,,,"　　　　　合    計",,,"
238,799
0
","
0
0
","
0
0
","
0
0
","
0
0
","
238,799
0
"
201,10502,105,2,07,,,,1100000000-2,其他收入,,,"
99,421
0
","
0
0
","
0
0
","
0
0
","
0
0
","
99,421
0
"
201,10502,105,2,,01,,,1102010000-6,總統府,,,"
99,421
0
","
0
0
","
0
0
","
0
0
","
0
0
","
99,421
0
"
201,10502,105,2,,,01,,1102010900-7,雜項收入,,,"
99,421
0
","
0
0
","
0
0
","
0
0
","
0
0
","
99,421
0
"
201,10502,105,2,,,,01,1102010901-0,收回以前年度歲出,,,"
99,421
0
","
0
0
","
0
0
","
0
0
","
0
0
","
99,421
0
"
201,10502,105,2,,,,,,　　　　　小　計,,,"
99,421
0
","
0
0
","
0
0
","
0
0
","
0
0
","
99,421
0
"
201,10502,105,2,07,,,,1100000000-2,其他收入,,,"
139,378
0
","
0
0
","
9,739
0
","
9,739
0
","
0
0
","
129,639
0
"
201,10502,105,2,,01,,,1102010000-6,總統府,,,"
139,378
0
","
0
0
","
9,739
0
","
9,739
0
","
0
0
","
129,639
0
"
201,10502,105,2,,,01,,1102010900-7,雜項收入,,,"
139,378
0
","
0
0
","
9,739
0
","
9,739
0
","
0
0
","
129,639
0
"
201,10502,105,2,,,,01,1102010901-0,收回以前年度歲出,,,"
139,378
0
","
0
0
","
9,739
0
","
9,739
0
","
0
0
","
129,639
0
"
201,10502,105,2,,,,,,　　　　　小　計,,,"
139,378
0
","
0
0
","
9,739
0
","
9,739
0
","
0
0
","
129,639
0
"
201,10502,105,2,,,,,,"　　　　　合    計",,,"
238,799
0
","
0
0
","
9,739
0
","
9,739
0
","
0
0
","
229,060
0
"
201,10503,105,3,07,,,,1100000000-2,其他收入,,,"
99,421
0
","
0
0
","
0
0
","
0
0
","
0
0
","
99,421
0
"
201,10503,105,3,,01,,,1102010000-6,總統府,,,"
99,421
0
","
0
0
","
0
0
","
0
0
","
0
0
","
99,421
0
"
201,10503,105,3,,,01,,1102010900-7,雜項收入,,,"
99,421
0
","
0
0
","
0
0
","
0
0
","
0
0
","
99,421
0
"
201,10503,105,3,,,,01,1102010901-0,收回以前年度歲出,,,"
99,421
0
","
0
0
","
0
0
","
0
0
","
0
0
","
99,421
0
"
201,10503,105,3,,,,,,　　　　　小　計,,,"
99,421
0
","
0
0
","
0
0
","
0
0
","
0
0
","
99,421
0
"
201,10503,105,3,07,,,,1100000000-2,其他收入,,,"
139,378
0
","
0
0
","
9,739
0
","
19,478
0
","
0
0
","
119,900
0
"
201,10503,105,3,,01,,,1102010000-6,總統府,,,"
139,378
0
","
0
0
","
9,739
0
","
19,478
0
","
0
0
","
119,900
0
"
201,10503,105,3,,,01,,1102010900-7,雜項收入,,,"
139,378
0
","
0
0
","
9,739
0
","
19,478
0
","
0
0
","
119,900
0
"
