id,time,會計年度,月份,會計分類,項目,預算科目編號,預算科目名稱,分支計畫編號,分支計畫名稱,一級用途別編號,一級用途別名稱,經資門,支出實現數,加項_預付款,加項_材料,加項_存出保證金,加項_零用金,加項_退還收入預收款,加項_其他應收款,減項_以前年度撥款於本年度實現數,公庫撥入數,公庫分配數餘額
201,10901,109,01,1,本年度,,,,,,,1,164286311,33242627,0,0,500000,0,0,0,198028938,11025634
201,10901,109,01,1,一、本年度經費,,,,,,,1,150596739,33242627,0,0,500000,0,0,0,184339366,11025634
201,10901,109,01,1,,3102010100,一般行政,,,,,1,142366030,29471627,0,0,500000,0,0,0,172337657,6070343
201,10901,109,01,1,,3102010200,國務機要,,,,,1,6054000,3771000,0,0,0,0,0,0,9825000,475000
201,10901,109,01,1,,3102010300,國家慶典,,,,,1,131980,0,0,0,0,0,0,0,131980,3709020
201,10901,109,01,1,,3102010401,國家發展研究及諮詢,,,,,1,39750,0,0,0,0,0,0,0,39750,48250
201,10901,109,01,1,,3102010500,新聞發布,,,,,1,254660,0,0,0,0,0,0,0,254660,55340
201,10901,109,01,1,,3102010600,卸任禮遇,,,,,1,1750319,0,0,0,0,0,0,0,1750319,660681
201,10901,109,01,1,,3102010800,公報編印及印信勳章鑄造,,,,,1,0,0,0,0,0,0,0,0,0,7000
201,10901,109,01,1,二、統籌科目,,,,,,,1,13689572,0,0,0,0,0,0,0,13689572,0
201,10901,109,01,1,,6306205800,早期退休公教人員生活困難照護金,,,,,1,111000,0,0,0,0,0,0,0,111000,0
201,10901,109,01,1,,7606205300,公務人員退休撫卹給付,,,,,1,13273337,0,0,0,0,0,0,0,13273337,0
201,10901,109,01,1,,8903304500,公教人員婚喪生育及子女教育補助,,,,,1,305235,0,0,0,0,0,0,0,305235,0
201,10901,109,01,1,以前年度,,,,,,,1,0,1286450,0,0,0,0,0,0,1286450,18822757
201,10901,109,01,1,一、以前年度應付(保留)數,,,,,,,1,0,1286450,0,0,0,0,0,0,1286450,18822757
201,10901,109,01,1,,3202010800,公報編印及印信勳章鑄造,,,,,1,0,0,0,0,0,0,0,0,0,7095065
201,10901,109,01,1,,3202010100,一般行政,,,,,2,0,0,0,0,0,0,0,0,0,10037386
201,10901,109,01,1,,3202010600,卸任禮遇,,,,,1,0,1286450,0,0,0,0,0,0,1286450,1690306
201,10901,109,01,1,二、退還以前年度收入數,,,,,,,,0,0,0,0,0,0,0,0,0,0
201,10902,109,02,1,本年度,,,,,,,1,251907328,5269913,0,0,500000,0,0,0,257677241,16168406
201,10902,109,02,1,一、本年度經費,,,,,,,1,231101681,3864913,0,0,500000,0,0,0,235466594,16168406
201,10902,109,02,1,,3102010100,一般行政,,,,,1,213256171,3314913,0,0,500000,0,0,0,217071084,12331916
201,10902,109,02,1,,3102010200,國務機要,,,,,1,10054000,300000,0,0,0,0,0,0,10354000,1406000
201,10902,109,02,1,,3102010300,國家慶典,,,,,1,3050626,0,0,0,0,0,0,0,3050626,1205374
201,10902,109,02,1,,3102010401,國家發展研究及諮詢,,,,,1,225202,250000,0,0,0,0,0,0,475202,637798
201,10902,109,02,1,,3102010500,新聞發布,,,,,1,1450601,0,0,0,0,0,0,0,1450601,96399
201,10902,109,02,1,,3102010600,卸任禮遇,,,,,1,2972261,0,0,0,0,0,0,0,2972261,420739
201,10902,109,02,1,,3102010800,公報編印及印信勳章鑄造,,,,,1,92820,0,0,0,0,0,0,0,92820,70180
201,10902,109,02,1,二、統籌科目,,,,,,,1,20805647,1405000,0,0,0,0,0,0,22210647,0
201,10902,109,02,1,,6306205800,早期退休公教人員生活困難照護金,,,,,1,111000,0,0,0,0,0,0,0,111000,0
