id,time,會計年度,月份,基金別,會計分類,使用機關別,科目分類,會計科目編號,會計科目名稱,金額
201,10503,105,03,1,1,2,1,110103,專戶存款,17056522
201,10503,105,03,1,1,2,1,110104,零用金,500000
201,10503,105,03,1,1,2,1,110303,應收帳款,219321
201,10503,105,03,1,1,2,1,110398,其他應收款,1177058
201,10503,105,03,1,1,2,1,110901,預付款,81825776
201,10503,105,03,1,1,2,1,111201,存出保證金,38108
201,10503,105,03,1,1,2,2,210301,應付帳款,53617841
201,10503,105,03,1,1,2,2,210399,其他應付款,22027433
201,10503,105,03,1,1,2,2,211201,存入保證金,6067069
201,10503,105,03,1,1,2,2,211301,應付代收款,1846690
201,10503,105,03,1,1,2,2,211401,應付保管款,9142763
201,10503,105,03,1,1,2,3,310101,資產負債淨額,8114989
201,10504,105,04,1,1,2,1,110103,專戶存款,16876615
201,10504,105,04,1,1,2,1,110104,零用金,500000
201,10504,105,04,1,1,2,1,110303,應收帳款,209582
201,10504,105,04,1,1,2,1,110398,其他應收款,1177058
201,10504,105,04,1,1,2,1,110901,預付款,80740794
201,10504,105,04,1,1,2,1,111201,存出保證金,38108
201,10504,105,04,1,1,2,2,210301,應付帳款,53617841
201,10504,105,04,1,1,2,2,210399,其他應付款,20441973
201,10504,105,04,1,1,2,2,211201,存入保證金,5650913
201,10504,105,04,1,1,2,2,211301,應付代收款,1943412
201,10504,105,04,1,1,2,2,211401,應付保管款,9282290
201,10504,105,04,1,1,2,3,310101,資產負債淨額,8605728
201,10505,105,05,1,1,2,1,110103,專戶存款,14377558
201,10505,105,05,1,1,2,1,110104,零用金,500000
201,10505,105,05,1,1,2,1,110303,應收帳款,199843
201,10505,105,05,1,1,2,1,110398,其他應收款,1177058
201,10505,105,05,1,1,2,1,110901,預付款,55607817
201,10505,105,05,1,1,2,1,111201,存出保證金,38108
201,10505,105,05,1,1,2,2,210301,應付帳款,53617841
201,10505,105,05,1,1,2,2,210399,其他應付款,19468540
201,10505,105,05,1,1,2,2,211201,存入保證金,6051795
