id,time,會計年度,月份,會計分類,項目,預算科目編號,預算科目名稱,分支計畫編號,分支計畫名稱,一級用途別編號,一級用途別名稱,經資門,支出實現數,加項_預付款,加項_材料,加項_存出保證金,加項_零用金,加項_退還收入預收款,加項_其他應收款,減項_以前年度撥款於本年度實現數,公庫撥入數,公庫分配數餘額
201,10506,105,06,1,本年度支出,,,,,,,1,542504554,5976360,0,0,500000,0,0,0,548980914,115410982
201,10506,105,06,1,一、本年度經費,,,,,,,1,496366658,5976360,0,0,500000,0,0,0,502843018,115410982
201,10506,105,06,1,,3202010100,一般行政,,,,,1,442930448,2147459,0,0,500000,0,0,0,445577907,78596093
201,10506,105,06,1,,3202010100,一般行政,,,,,2,4432048,0,0,0,0,0,0,0,4432048,6717952
201,10506,105,06,1,,3202010200,國務機要,,,,,1,13027330,300000,0,0,0,0,0,0,13327330,2672670
201,10506,105,06,1,,3202010300,國家慶典,,,,,1,18561585,3348000,0,0,0,0,0,0,21909585,22637415
201,10506,105,06,1,,3202010401,國家發展研究及諮詢,,,,,1,1849921,80901,0,0,0,0,0,0,1930822,1695178
201,10506,105,06,1,,3202010500,新聞發布,,,,,1,4904645,100000,0,0,0,0,0,0,5004645,911355
201,10506,105,06,1,,3202010600,卸任禮遇,,,,,1,10283745,0,0,0,0,0,0,0,10283745,2137255
201,10506,105,06,1,,3202010800,公報編印及印信勳章鑄造,,,,,1,376936,0,0,0,0,0,0,0,376936,43064
201,10506,105,06,1,二、統籌科目,,,,,,,1,46137896,0,0,0,0,0,0,0,46137896,0
201,10506,105,06,1,,6806205800,早期退休公教人員生活困難照護金,,,,,1,186000,0,0,0,0,0,0,0,186000,0
201,10506,105,06,1,,7506205300,公務人員退休撫卹給付,,,,,1,41557115,0,0,0,0,0,0,0,41557115,0
201,10506,105,06,1,,8903304500,公教人員婚喪生育及子女教育補助,,,,,1,4394781,0,0,0,0,0,0,0,4394781,0
201,10506,105,06,1,以前年度支出,,,,,,,1,6835845,0,0,0,0,0,0,0,6835845,18933510
201,10506,105,06,1,一、以前年度應付(保留)數,,,,,,,1,6835845,0,0,0,0,0,0,0,6835845,18933510
201,10506,105,06,1,,3202010100,一般行政,,,,,1,0,0,0,0,0,0,0,0,0,508072
201,10506,105,06,1,,3202010100,一般行政,,,,,1,1515030,0,0,0,0,0,0,0,1515030,4441951
201,10506,105,06,1,,3202010100,一般行政,,,,,2,3145000,0,0,0,0,0,0,0,3145000,0
201,10506,105,06,1,,3202010401,國家發展研究及諮詢,,,,,1,277613,0,0,0,0,0,0,0,277613,1587
201,10506,105,06,1,,3202010600,卸任禮遇,,,,,1,151132,0,0,0,0,0,0,0,151132,0
201,10506,105,06,1,,3202010800,公報編印及印信勳章鑄造,,,,,1,1747070,0,0,0,0,0,0,0,1747070,13981900
201,10506,105,06,1,二、退還以前年度收入數,,,,,,,,0,0,0,0,0,0,0,0,0,0
201,10507,105,07,1,本年度支出,,,,,,,1,678247851,3753747,0,0,500000,0,0,0,682501598,114517211
201,10507,105,07,1,一、本年度經費,,,,,,,1,589602888,2933901,0,0,500000,0,0,0,593036789,114517211
201,10507,105,07,1,,3202010100,一般行政,,,,,1,510272987,2596696,0,0,500000,0,0,0,513369683,89634317
201,10507,105,07,1,,3202010100,一般行政,,,,,2,5577017,0,0,0,0,0,0,0,5577017,9491983
201,10507,105,07,1,,3202010200,國務機要,,,,,1,13128215,300000,0,0,0,0,0,0,13428215,4071785
201,10507,105,07,1,,3202010300,國家慶典,,,,,1,39674819,0,0,0,0,0,0,0,39674819,5535181
201,10507,105,07,1,,3202010401,國家發展研究及諮詢,,,,,1,2403612,37205,0,0,0,0,0,0,2440817,1985183
201,10507,105,07,1,,3202010500,新聞發布,,,,,1,5563765,0,0,0,0,0,0,0,5563765,1191235
201,10507,105,07,1,,3202010600,卸任禮遇,,,,,1,12576149,0,0,0,0,0,0,0,12576149,2553851
201,10507,105,07,1,,3202010800,公報編印及印信勳章鑄造,,,,,1,406324,0,0,0,0,0,0,0,406324,53676
201,10507,105,07,1,二、統籌科目,,,,,,,1,88644963,819846,0,0,0,0,0,0,89464809,0
201,10507,105,07,1,,6806205800,早期退休公教人員生活困難照護金,,,,,1,186000,0,0,0,0,0,0,0,186000,0
