id,time,會計年度,月份,會計分類,會計科目編號,會計科目名稱,金額_本月數,金額_累計數
201,10506,105,06,1,410101,公庫撥入數,74904074,555816759
201,10506,105,06,1,4103,罰款及賠償收入,0,5704
201,10506,105,06,1,4104,規費收入,3015,61050
201,10506,105,06,1,4105,財產收入,0,1644737
201,10506,105,06,1,4108,其他收入,17052,171491
201,10506,105,06,1,510101,繳付公庫數,48860,1950731
201,10506,105,06,1,5102,人事支出,48670553,439918217
201,10506,105,06,1,5103,業務支出,18419676,96250589
201,10506,105,06,1,5104,設備及投資支出,3287131,4432048
201,10506,105,06,1,5105,獎補助支出,5300,1903700
201,10506,105,06,1,,收支餘絀,4492621,13244456
201,10507,105,07,1,410101,公庫撥入數,133600069,689416828
201,10507,105,07,1,4103,罰款及賠償收入,30,5734
201,10507,105,07,1,4104,規費收入,2018,63068
201,10507,105,07,1,4105,財產收入,-188778,1455959
201,10507,105,07,1,4108,其他收入,18216,189707
201,10507,105,07,1,510101,繳付公庫數,-158775,1791956
201,10507,105,07,1,5102,人事支出,96541051,536459268
201,10507,105,07,1,5103,業務支出,38057277,134307866
201,10507,105,07,1,5104,設備及投資支出,1144969,5577017
201,10507,105,07,1,5105,獎補助支出,0,1903700
201,10507,105,07,1,,收支餘絀,-2152967,11091489
201,10508,105,08,1,410101,公庫撥入數,66602013,756018841
201,10508,105,08,1,4103,罰款及賠償收入,0,5734
201,10508,105,08,1,4104,規費收入,7711,70779
201,10508,105,08,1,4105,財產收入,0,1455959
201,10508,105,08,1,4108,其他收入,17595,207302
201,10508,105,08,1,510101,繳付公庫數,35045,1827001
201,10508,105,08,1,5102,人事支出,47170304,583629572
201,10508,105,08,1,5103,業務支出,13316301,147624167
201,10508,105,08,1,5104,設備及投資支出,1941527,7518544
201,10508,105,08,1,5105,獎補助支出,95200,1998900
201,10508,105,08,1,,收支餘絀,4068942,15160431
201,10509,105,09,1,410101,公庫撥入數,91639112,847657953
201,10509,105,09,1,4103,罰款及賠償收入,0,5734
201,10509,105,09,1,4104,規費收入,6128,76907
201,10509,105,09,1,4105,財產收入,-95135,1360824
201,10509,105,09,1,4108,其他收入,19766,227068
201,10509,105,09,1,510101,繳付公庫數,-59502,1767499
201,10509,105,09,1,5102,人事支出,61605623,645235195
201,10509,105,09,1,5103,業務支出,18252142,165876309
201,10509,105,09,1,5104,設備及投資支出,1944169,9462713
201,10509,105,09,1,5105,獎補助支出,867350,2866250
201,10509,105,09,1,,收支餘絀,8960089,24120520
201,10510,105,10,1,410101,公庫撥入數,89217007,936874960
201,10510,105,10,1,4103,罰款及賠償收入,0,5734
201,10510,105,10,1,4104,規費收入,1984,78891
201,10510,105,10,1,4105,財產收入,74874,1435698
201,10510,105,10,1,4108,其他收入,260374,487442
201,10510,105,10,1,510101,繳付公庫數,346971,2114470
201,10510,105,10,1,5102,人事支出,43021891,688257086
201,10510,105,10,1,5103,業務支出,25618171,191494480
201,10510,105,10,1,5104,設備及投資支出,17818206,27280919
201,10510,105,10,1,5105,獎補助支出,5950,2872200
201,10510,105,10,1,,收支餘絀,2743050,26863570
201,10511,105,11,1,410101,公庫撥入數,86844879,1023719839
201,10511,105,11,1,4103,罰款及賠償收入,0,5734
201,10511,105,11,1,4104,規費收入,40,78931
201,10511,105,11,1,4105,財產收入,0,1435698
201,10511,105,11,1,4108,其他收入,34364,521806
201,10511,105,11,1,510101,繳付公庫數,44143,2158613
201,10511,105,11,1,5102,人事支出,41582447,729839533
201,10511,105,11,1,5103,業務支出,38920154,230414634
201,10511,105,11,1,5104,設備及投資支出,13437588,40718507
201,10511,105,11,1,5105,獎補助支出,0,2872200
201,10511,105,11,1,,收支餘絀,-7105049,19758521
201,10512,105,12,1,410101,公庫撥入數,83125611,1106845450
201,10512,105,12,1,4103,罰款及賠償收入,1504,7238
201,10512,105,12,1,4104,規費收入,17093,96024
201,10512,105,12,1,4105,財產收入,283998,1719696
201,10512,105,12,1,4108,其他收入,62294,584100
201,10512,105,12,1,510101,繳付公庫數,374628,2533241
201,10512,105,12,1,5102,人事支出,24371795,754211328
201,10512,105,12,1,5103,業務支出,56496086,286910720
201,10512,105,12,1,5104,設備及投資支出,9307796,50026303
201,10512,105,12,1,5105,獎補助支出,0,2872200
201,10512,105,12,1,,收支餘絀,-7059805,12698716
201,10601,106,01,1,410101,公庫撥入數,217724018,217724018
201,10601,106,01,1,4104,規費收入,24019,24019
201,10601,106,01,1,4105,財產收入,297068,297068
201,10601,106,01,1,4108,其他收入,15387,15387
201,10601,106,01,1,510101,繳付公庫數,346213,346213
201,10601,106,01,1,5102,人事支出,180155195,180155195
201,10601,106,01,1,5103,業務支出,6053422,6053422
201,10601,106,01,1,5104,設備及投資支出,210950,210950
201,10601,106,01,1,5105,獎補助支出,376500,376500
201,10601,106,01,1,,收支餘絀,30918212,30918212
201,10602,106,02,1,410101,公庫撥入數,53339383,271063401
201,10602,106,02,1,4104,規費收入,5616,29635
201,10602,106,02,1,4105,財產收入,706772,1003840
201,10602,106,02,1,4108,其他收入,32555,47942
201,10602,106,02,1,510101,繳付公庫數,754682,1100895
201,10602,106,02,1,5102,人事支出,37379750,217534945
201,10602,106,02,1,5103,業務支出,16966730,23020152
201,10602,106,02,1,5104,設備及投資支出,60400,271350
201,10602,106,02,1,5105,獎補助支出,2000,378500
201,10602,106,02,1,,收支餘絀,-1079236,29838976
201,10603,106,03,1,410101,公庫撥入數,60565972,331629373
201,10603,106,03,1,4103,罰款及賠償收入,1776,1776
201,10603,106,03,1,4104,規費收入,15759,45394
201,10603,106,03,1,4105,財產收入,74100,1077940
201,10603,106,03,1,4108,其他收入,51015,98957
201,10603,106,03,1,510101,繳付公庫數,155421,1256316
201,10603,106,03,1,5102,人事支出,46608476,264143421
201,10603,106,03,1,5103,業務支出,9649199,32669351
201,10603,106,03,1,5104,設備及投資支出,1423350,1694700
201,10603,106,03,1,5105,獎補助支出,0,378500
201,10603,106,03,1,,收支餘絀,2872176,32711152
