id,time,會計年度,月份,會計分類,會計科目編號,會計科目名稱,金額_本月數,金額_累計數
201,10902,109,02,1,410101,公庫撥入數,60137975,259453363
201,10902,109,02,1,4105,財產收益,158401,1621868
201,10902,109,02,1,4108,其他收入,27643,39501
201,10902,109,02,1,510101,繳付公庫數,186044,1661369
201,10902,109,02,1,5102,人事支出,71397946,226084713
201,10902,109,02,1,5103,業務支出,15672521,24910065
201,10902,109,02,1,5104,獎補助支出,3000,365000
201,10902,109,02,1,5105,財產損失,3993,6016
201,10902,109,02,1,5108,折舊、折耗及攤銷,3642829,7318360
201,10902,109,02,1,,收支餘絀,-30582314,769209
201,10903,109,03,1,410101,公庫撥入數,62826124,322279487
201,10903,109,03,1,4104,規費收入,20,20
201,10903,109,03,1,4105,財產收益,78787,1700655
201,10903,109,03,1,4108,其他收入,33341,72842
201,10903,109,03,1,510101,繳付公庫數,112148,1773517
201,10903,109,03,1,5102,人事支出,53140011,279224724
201,10903,109,03,1,5103,業務支出,12121271,37031336
201,10903,109,03,1,5104,獎補助支出,0,365000
201,10903,109,03,1,5105,財產損失,5895,11911
201,10903,109,03,1,5108,折舊、折耗及攤銷,3648707,10967067
201,10903,109,03,1,,收支餘絀,-6089760,-5320551
201,10904,109,04,1,410101,公庫撥入數,63873215,386152702
201,10904,109,04,1,4104,規費收入,0,20
201,10904,109,04,1,4105,財產收益,127447,1828102
201,10904,109,04,1,4108,其他收入,23039,95881
201,10904,109,04,1,510101,繳付公庫數,150486,1924003
201,10904,109,04,1,5102,人事支出,50283397,329508121
201,10904,109,04,1,5103,業務支出,13875909,50907245
201,10904,109,04,1,5104,獎補助支出,2000,367000
201,10904,109,04,1,5105,財產損失,507,12418
201,10904,109,04,1,5108,折舊、折耗及攤銷,3644188,14611255
201,10904,109,04,1,,收支餘絀,-3932786,-9253337
201,10905,109,05,1,410101,公庫撥入數,75583036,461735738
201,10905,109,05,1,4103,罰款及賠償收入,18704,18704
201,10905,109,05,1,4104,規費收入,0,20
201,10905,109,05,1,4105,財產收益,109210,1937312
201,10905,109,05,1,4108,其他收入,19523,115404
201,10905,109,05,1,510101,繳付公庫數,147437,2071440
201,10905,109,05,1,5102,人事支出,47071136,376579257
201,10905,109,05,1,5103,業務支出,16752377,67659622
201,10905,109,05,1,5104,獎補助支出,0,367000
201,10905,109,05,1,5105,財產損失,36778,49196
201,10905,109,05,1,5108,折舊、折耗及攤銷,3650762,18262017
201,10905,109,05,1,,收支餘絀,8071983,-1181354
201,10906,109,06,1,410101,公庫撥入數,85260490,546996228
201,10906,109,06,1,4103,罰款及賠償收入,0,18704
201,10906,109,06,1,4104,規費收入,0,20
201,10906,109,06,1,4105,財產收益,76202,2013514
201,10906,109,06,1,4108,其他收入,26074,141478
201,10906,109,06,1,510101,繳付公庫數,751329,2822769
