id,time,會計年度,月份,款,項,目,節,預算科目編號,預算科目名稱,細目編號,細目名稱,原預算數,追加減數,截至本月止分配預算數_1,本月實現數,截至本月止累計實現數_2,應收收入數_3,分配數預算餘額_4
201,10501,105,1,03,,,,0500000000-8,規費收入,,,"131,000",0,"20,000","16,891","16,891",0,"-3,109"
201,10501,105,1,,01,,,0502010000-1,總統府,,,"131,000",0,"20,000","16,891","16,891",0,"-3,109"
201,10501,105,1,,,01,,0502010300-5,使用規費收入,,,"131,000",0,"20,000","16,891","16,891",0,"-3,109"
201,10501,105,1,,,,01,0502010305-9,資料使用費,,,"131,000",0,"20,000","16,891","16,891",0,"-3,109"
201,10501,105,1,04,,,,0700000000-9,財產收入,,,"1,986,000",0,"1,552,000","1,588,196","1,588,196",0,"36,196"
201,10501,105,1,,01,,,0702010000-2,總統府,,,"1,986,000",0,"1,552,000","1,588,196","1,588,196",0,"36,196"
201,10501,105,1,,,01,,0702010100-7,財產孳息,,,"1,896,000",0,"1,552,000","1,588,196","1,588,196",0,"36,196"
201,10501,105,1,,,,01,0702010105-0,權利金,,,"1,370,000",0,"1,370,000","1,370,000","1,370,000",0,0
201,10501,105,1,,,,02,0702010106-3,租金收入,,,"526,000",0,"182,000","218,196","218,196",0,"36,196"
201,10501,105,1,,,02,,0702010600-0,廢舊物資售價,,,"90,000",0,0,0,0,0,0
201,10501,105,1,07,,,,1100000000-2,其他收入,,,"315,000",0,"12,000","25,844","25,844",0,"13,844"
201,10501,105,1,,01,,,1102010000-6,總統府,,,"315,000",0,"12,000","25,844","25,844",0,"13,844"
201,10501,105,1,,,01,,1102010900-7,雜項收入,,,"315,000",0,"12,000","25,844","25,844",0,"13,844"
201,10501,105,1,,,,01,1102010901-0,收回以前年度歲出,,,0,0,0,"7,293","7,293",0,"7,293"
201,10501,105,1,,,,02,1102010909-1,其他雜項收入,,,"315,000",0,"12,000","18,551","18,551",0,"6,551"
201,10501,105,1,,,,,合計,,,,"2,432,000",0,"1,584,000","1,630,931","1,630,931",0,"46,931"
201,10502,105,2,03,,,,0500000000-8,規費收入,,,"131,000",0,"35,000","14,208","31,099",0,"-3,901"
201,10502,105,2,,01,,,0502010000-1,總統府,,,"131,000",0,"35,000","14,208","31,099",0,"-3,901"
201,10502,105,2,,,01,,0502010300-5,使用規費收入,,,"131,000",0,"35,000","14,208","31,099",0,"-3,901"
201,10502,105,2,,,,01,0502010305-9,資料使用費,,,"131,000",0,"35,000","14,208","31,099",0,"-3,901"
201,10502,105,2,04,,,,0700000000-9,財產收入,,,"1,986,000",0,"1,566,000",0,"1,588,196",0,"22,196"
201,10502,105,2,,01,,,0702010000-2,總統府,,,"1,986,000",0,"1,566,000",0,"1,588,196",0,"22,196"
201,10502,105,2,,,01,,0702010100-7,財產孳息,,,"1,896,000",0,"1,566,000",0,"1,588,196",0,"22,196"
201,10502,105,2,,,,01,0702010105-0,權利金,,,"1,370,000",0,"1,370,000",0,"1,370,000",0,0
201,10502,105,2,,,,02,0702010106-3,租金收入,,,"526,000",0,"196,000",0,"218,196",0,"22,196"
201,10502,105,2,,,02,,0702010600-0,廢舊物資售價,,,"90,000",0,0,0,0,0,0
201,10502,105,2,07,,,,1100000000-2,其他收入,,,"315,000",0,"37,000","46,589","72,433",0,"35,433"
201,10502,105,2,,01,,,1102010000-6,總統府,,,"315,000",0,"37,000","46,589","72,433",0,"35,433"
201,10502,105,2,,,01,,1102010900-7,雜項收入,,,"315,000",0,"37,000","46,589","72,433",0,"35,433"
201,10502,105,2,,,,01,1102010901-0,收回以前年度歲出,,,0,0,0,"25,670","32,963",0,"32,963"
201,10502,105,2,,,,02,1102010909-1,其他雜項收入,,,"315,000",0,"37,000","20,919","39,470",0,"2,470"
201,10502,105,2,,,,,合計,,,,"2,432,000",0,"1,638,000","60,797","1,691,728",0,"53,728"
201,10503,105,3,02,,,,0400000000-2,罰款及賠償收入,,,0,0,0,"3,704","3,704",0,"3,704"
