id,time,會計年度,月份,款,項,目,節,預算科目編號,預算科目名稱,分支計畫編號,分支計畫名稱,用途別編號,用途別名稱,原預算數,追加減數,第一預備金,第二預備金,經費流用數,預算調整數,截至本月止分配預算數_1,本月實現數,截至本月止累計實現數_2,應付數,已分配尚未執行數,備註_預暫付數
201,10501,105,1,01,,,,0002000000-8,總統府主管,,,,,"1,114,839,000",0,0,0,0,0,"231,227,000","169,783,289","169,783,289",0,"61,443,711","31,941,563"
201,10501,105,1,,01,,,0002010000-4,總統府,,,,,"1,114,839,000",0,0,0,0,0,"231,227,000","169,783,289","169,783,289",0,"61,443,711","31,941,563"
201,10501,105,1,,,01,,3202010100-9,一般行政,,,,,"925,811,000",0,0,0,0,0,"215,982,000","163,251,321","163,251,321",0,"52,730,679","27,728,523"
201,10501,105,1,,,,,3202010100-9,一般行政,,,0100,01000000,"687,394,000",0,0,0,0,0,"202,959,000","160,445,769","160,445,769",0,"42,513,231","24,519,970"
201,10501,105,1,,,,,3202010100-9,一般行政,,,0200,02000000,"235,324,000",0,0,0,0,0,"11,997,000","1,953,552","1,953,552",0,"10,043,448","3,204,553"
201,10501,105,1,,,,,3202010100-9,一般行政,,,0400,04000000,"3,093,000",0,0,0,0,0,"1,026,000","852,000","852,000",0,"174,000","4,000"
201,10501,105,1,,,01,,3202010100-9*,一般行政,,,,,"50,279,000",0,0,0,0,0,"270,000",0,0,0,"270,000",0
201,10501,105,1,,,,,3202010100-9*,一般行政,,,0300,03000000,"50,279,000",0,0,0,0,0,"270,000",0,0,0,"270,000",0
201,10501,105,1,,,02,,3202010200-3,國務機要,,,,,"30,000,000",0,0,0,0,0,"8,000,000","3,526,580","3,526,580",0,"4,473,420","3,954,045"
201,10501,105,1,,,,,3202010200-3,國務機要,,,0200,02000000,"30,000,000",0,0,0,0,0,"8,000,000","3,526,580","3,526,580",0,"4,473,420","3,954,045"
201,10501,105,1,,,03,,3202010300-8,國家慶典,,,,,"51,612,000",0,0,0,0,0,"3,250,000","479,060","479,060",0,"2,770,940",0
201,10501,105,1,,,,,3202010300-8,國家慶典,,,0100,01000000,"500,000",0,0,0,0,0,"50,000",0,0,0,"50,000",0
201,10501,105,1,,,,,3202010300-8,國家慶典,,,0200,02000000,"51,112,000",0,0,0,0,0,"3,200,000","479,060","479,060",0,"2,720,940",0
201,10501,105,1,,,04,,3202010400-2,研究發展,,,,,"8,569,000",0,0,0,0,0,"307,000","224,826","224,826",0,"82,174",0
201,10501,105,1,,,,01,3202010401-5,國家發展研究及諮詢,,,,,"8,569,000",0,0,0,0,0,"307,000","224,826","224,826",0,"82,174",0
201,10501,105,1,,,,,3202010401-5,"國家發展研究及諮
詢",,,0200,02000000,"8,569,000",0,0,0,0,0,"307,000","224,826","224,826",0,"82,174",0
201,10501,105,1,,,05,,3202010500-7,新聞發布,,,,,"11,417,000",0,0,0,0,0,"1,036,000","532,199","532,199",0,"503,801","99,200"
201,10501,105,1,,,,,3202010500-7,新聞發布,,,0200,02000000,"11,417,000",0,0,0,0,0,"1,036,000","532,199","532,199",0,"503,801","99,200"
201,10501,105,1,,,06,,3202010600-1,卸任禮遇,,,,,"27,321,000",0,0,0,0,0,"2,337,000","1,769,183","1,769,183",0,"567,817","159,795"
201,10501,105,1,,,,,3202010600-1,卸任禮遇,,,0100,01000000,"8,075,000",0,0,0,0,0,"1,257,000","1,256,600","1,256,600",0,400,0
201,10501,105,1,,,,,3202010600-1,卸任禮遇,,,0200,02000000,"19,246,000",0,0,0,0,0,"1,080,000","512,583","512,583",0,"567,417","159,795"
201,10501,105,1,,,07,,3202010800-0,公報編印及印信勳章鑄造,,,,,"7,757,000",0,0,0,0,0,"45,000",120,120,0,"44,880",0
201,10501,105,1,,,,,3202010800-0,"公報編印及印信勳
章鑄造",,,0200,02000000,"7,757,000",0,0,0,0,0,"45,000",120,120,0,"44,880",0
201,10501,105,1,,,08,,3202019800-0,第一預備金,,,,,"2,073,000",0,0,0,0,0,0,0,0,0,0,0
201,10501,105,1,,,,,3202019800-0,第一預備金,,,0900,09000000,"2,073,000",0,0,0,0,0,0,0,0,0,0,0
201,10501,105,1,02,,,,8903304500-4,公教人員婚喪生育及子女教育補助,,,,,"195,450",0,0,0,0,0,"195,450","195,450","195,450",0,0,0
201,10501,105,1,,,,,8903304500-4,"公教人員婚喪生育及子女教育
補助",,,0100,01000000,"195,450",0,0,0,0,0,"195,450","195,450","195,450",0,0,0
201,10501,105,1,05,,,,6806205800-3,早期退休公教人員生活困難照護金,,,,,"93,000",0,0,0,0,0,"93,000","93,000","93,000",0,0,0
201,10501,105,1,,,,,6806205800-3,"早期退休公教人員生活困難照
護金",,,0400,04000000,"93,000",0,0,0,0,0,"93,000","93,000","93,000",0,0,0
201,10501,105,1,05,,,,7506205300-0,公務人員退休撫卹給付,,,,,"39,488,677",0,0,0,0,0,"39,488,677","39,488,677","39,488,677",0,0,0
201,10501,105,1,,,,,7506205300-0,公務人員退休撫卹給付,,,0100,01000000,"39,488,677",0,0,0,0,0,"39,488,677","39,488,677","39,488,677",0,0,0
201,10501,105,1,,,,,合計,,,,,,"1,154,616,127",0,0,0,0,0,"271,004,127","209,560,416","209,560,416",0,"61,443,711","31,941,563"
201,10502,105,2,01,,,,0002000000-8,總統府主管,,,,,"1,114,839,000",0,0,0,0,0,"289,029,000","53,697,088","223,480,377",0,"65,548,623","28,774,442"
201,10502,105,2,,01,,,0002010000-4,總統府,,,,,"1,114,839,000",0,0,0,0,0,"289,029,000","53,697,088","223,480,377",0,"65,548,623","28,774,442"
201,10502,105,2,,,01,,3202010100-9,一般行政,,,,,"925,811,000",0,0,0,0,0,"266,264,000","44,426,892","207,678,213",0,"58,585,787","26,429,322"
201,10502,105,2,,,,,3202010100-9,一般行政,,,0100,01000000,"687,394,000",0,0,0,0,0,"245,347,000","38,270,436","198,716,205",0,"46,630,795","24,519,970"
201,10502,105,2,,,,,3202010100-9,一般行政,,,0200,02000000,"235,324,000",0,0,0,0,0,"19,890,000","6,152,456","8,106,008",0,"11,783,992","1,909,352"
201,10502,105,2,,,,,3202010100-9,一般行政,,,0400,04000000,"3,093,000",0,0,0,0,0,"1,027,000","4,000","856,000",0,"171,000",0
201,10502,105,2,,,01,,3202010100-9*,一般行政,,,,,"50,279,000",0,0,0,0,0,"540,000","36,779","36,779",0,"503,221",0
201,10502,105,2,,,,,3202010100-9*,一般行政,,,0300,03000000,"50,279,000",0,0,0,0,0,"540,000","36,779","36,779",0,"503,221",0
201,10502,105,2,,,02,,3202010200-3,國務機要,,,,,"30,000,000",0,0,0,0,0,"10,600,000","3,438,898","6,965,478",0,"3,634,522","2,345,120"
201,10502,105,2,,,,,3202010200-3,國務機要,,,0200,02000000,"30,000,000",0,0,0,0,0,"10,600,000","3,438,898","6,965,478",0,"3,634,522","2,345,120"
201,10502,105,2,,,03,,3202010300-8,國家慶典,,,,,"51,612,000",0,0,0,0,0,"5,080,000","2,561,761","3,040,821",0,"2,039,179",0
201,10502,105,2,,,,,3202010300-8,國家慶典,,,0100,01000000,"500,000",0,0,0,0,0,"100,000",0,0,0,"100,000",0
201,10502,105,2,,,,,3202010300-8,國家慶典,,,0200,02000000,"51,112,000",0,0,0,0,0,"4,980,000","2,561,761","3,040,821",0,"1,939,179",0
201,10502,105,2,,,04,,3202010400-2,研究發展,,,,,"8,569,000",0,0,0,0,0,"695,000","191,666","416,492",0,"278,508",0
201,10502,105,2,,,,01,3202010401-5,國家發展研究及諮詢,,,,,"8,569,000",0,0,0,0,0,"695,000","191,666","416,492",0,"278,508",0
