id,time,會計年度,月份,會計分類,項目,預算科目編號,預算科目名稱,經資門,收入實現數,減項_收入待納庫數,加項_以前年度待納庫繳庫數,加項_以前年度撥款於本年度繳還數_材料,加項_以前年度撥款於本年度繳還數_存出保證金,加項_以前年度撥款於本年度繳還數_其他應收款,加項_預收款,加項_剔除經費,繳付公庫數
201,10901,109,01,1,本年度,,,,1475325,0,0,0,0,0,0,0,1475325
201,10901,109,01,1,,,,,1463467,0,0,0,0,0,0,0,1463467
201,10901,109,01,1,,,,,57,0,0,0,0,0,0,0,57
201,10901,109,01,1,,,,,11801,0,0,0,0,0,0,0,11801
201,10901,109,01,1,以前年度,,,,0,0,0,0,0,0,0,0,0
201,10901,109,01,1,一、以前年度應收(保留)數,,,,0,0,0,0,0,0,0,0,0
201,10901,109,01,1,二、以前年度歲入納庫款,,,,0,0,0,0,0,0,0,0,0
201,10901,109,01,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0
201,10901,109,01,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0
201,10901,109,01,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0
201,10901,109,01,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10901,109,01,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10901,109,01,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0
201,10901,109,01,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0
201,10901,109,01,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0
201,10901,109,01,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0
201,10901,109,01,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0
201,10902,109,02,1,本年度,,,,1661369,0,0,0,0,0,0,0,1661369
201,10902,109,02,1,,,,,21885,0,0,0,0,0,0,0,21885
201,10902,109,02,1,,,,,1597233,0,0,0,0,0,0,0,1597233
201,10902,109,02,1,,,,,2750,0,0,0,0,0,0,0,2750
201,10902,109,02,1,,,,,57,0,0,0,0,0,0,0,57
201,10902,109,02,1,,,,,39444,0,0,0,0,0,0,0,39444
201,10902,109,02,1,以前年度,,,,0,0,0,0,0,0,0,0,0
201,10902,109,02,1,一、以前年度應收(保留)數,,,,0,0,0,0,0,0,0,0,0
201,10902,109,02,1,二、以前年度歲入納庫款,,,,0,0,0,0,0,0,0,0,0
201,10902,109,02,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0
201,10902,109,02,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0
201,10902,109,02,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0
201,10902,109,02,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10902,109,02,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10902,109,02,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0
201,10902,109,02,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0
201,10902,109,02,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0
201,10902,109,02,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0
201,10902,109,02,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0
201,10903,109,03,1,本年度,,,,1773517,0,0,0,0,0,0,0,1773517
201,10903,109,03,1,,,,,20,0,0,0,0,0,0,0,20
201,10903,109,03,1,,,,,27172,0,0,0,0,0,0,0,27172
201,10903,109,03,1,,,,,1670733,0,0,0,0,0,0,0,1670733
201,10903,109,03,1,,,,,2750,0,0,0,0,0,0,0,2750
201,10903,109,03,1,,,,,4257,0,0,0,0,0,0,0,4257
201,10903,109,03,1,,,,,68585,0,0,0,0,0,0,0,68585
201,10903,109,03,1,以前年度,,,,0,0,0,0,0,0,0,0,0
201,10903,109,03,1,一、以前年度應收(保留)數,,,,0,0,0,0,0,0,0,0,0
201,10903,109,03,1,二、以前年度歲入納庫款,,,,0,0,0,0,0,0,0,0,0
201,10903,109,03,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0
201,10903,109,03,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0
201,10903,109,03,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0
201,10903,109,03,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10903,109,03,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10903,109,03,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0
201,10903,109,03,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0
201,10903,109,03,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0
201,10903,109,03,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0
201,10903,109,03,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,本年度,,,,1924003,0,0,0,0,0,0,0,1924003
201,10904,109,04,1,,0502010303,資料使用費,,20,0,0,0,0,0,0,0,20
201,10904,109,04,1,,0702010102,權利金,,28073,0,0,0,0,0,0,0,28073
201,10904,109,04,1,,0702010103,租金收入,,1797279,0,0,0,0,0,0,0,1797279
201,10904,109,04,1,,0702010500,廢舊物資售價,,2750,0,0,0,0,0,0,0,2750
201,10904,109,04,1,,1202010201,收回以前年度歲出,,4257,0,0,0,0,0,0,0,4257
201,10904,109,04,1,,1202010210,其他雜項收入,,91624,0,0,0,0,0,0,0,91624
201,10904,109,04,1,以前年度,,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,一、以前年度應收(保留)數,,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,二、以前年度歲入納庫款,,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0
201,10904,109,04,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,本年度,,,,2071440,0,0,0,0,0,0,0,2071440
201,10905,109,05,1,,0402010301,一般賠償收入,,18704,0,0,0,0,0,0,0,18704
201,10905,109,05,1,,0502010303,資料使用費,,20,0,0,0,0,0,0,0,20
201,10905,109,05,1,,0702010102,權利金,,29623,0,0,0,0,0,0,0,29623
201,10905,109,05,1,,0702010103,租金收入,,1872279,0,0,0,0,0,0,0,1872279
201,10905,109,05,1,,0702010500,廢舊物資售價,,35410,0,0,0,0,0,0,0,35410
201,10905,109,05,1,,1202010201,收回以前年度歲出,,4257,0,0,0,0,0,0,0,4257
201,10905,109,05,1,,1202010210,其他雜項收入,,111147,0,0,0,0,0,0,0,111147
201,10905,109,05,1,以前年度,,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,一、以前年度應收(保留)數,,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,二、以前年度歲入納庫款,,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,"5. 保留數、應付款-已撥款部分收回不再繼續支用",,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0
201,10905,109,05,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0
201,10906,109,06,1,本年度,,,,2173716,0,0,0,0,0,0,0,2173716
201,10906,109,06,1,,0402010301,一般賠償收入,,18704,0,0,0,0,0,0,0,18704
201,10906,109,06,1,,0502010303,資料使用費,,20,0,0,0,0,0,0,0,20
