id,time,會計年度,月份,會計分類,會計科目編號,會計科目名稱,金額
201,10506,105,06,2,1401,土地,2991282878
201,10506,105,06,2,1404,房屋建築及設備,25711107
201,10506,105,06,2,1405,機械及設備,22739739
201,10506,105,06,2,1406,交通及運輸設備,34046982
201,10506,105,06,2,1407,雜項設備,22915879
201,10506,105,06,2,1410,收藏品及傳承資產,3667787572
201,10506,105,06,2,1601,無形資產,34817868
201,10506,105,06,2,3601,資本資產總額,6799302025
201,10507,105,07,2,1401,土地,2991282878
201,10507,105,07,2,1404,房屋建築及設備,25542855
201,10507,105,07,2,1405,機械及設備,21995482
201,10507,105,07,2,1406,交通及運輸設備,33480910
201,10507,105,07,2,1407,雜項設備,22940342
201,10507,105,07,2,1410,收藏品及傳承資產,3667787572
201,10507,105,07,2,1601,無形資產,34852719
201,10507,105,07,2,3601,資本資產總額,6797882758
201,10508,105,08,2,1401,土地,2991282878
201,10508,105,08,2,1404,房屋建築及設備,25374603
201,10508,105,08,2,1405,機械及設備,22498328
201,10508,105,08,2,1406,交通及運輸設備,32896456
201,10508,105,08,2,1407,雜項設備,22756573
201,10508,105,08,2,1410,收藏品及傳承資產,3667787572
201,10508,105,08,2,1601,無形資產,34665693
201,10508,105,08,2,3601,資本資產總額,6797262103
201,10509,105,09,2,1401,土地,2991282878
201,10509,105,09,2,1404,房屋建築及設備,25206351
201,10509,105,09,2,1405,機械及設備,23277422
201,10509,105,09,2,1406,交通及運輸設備,32316804
201,10509,105,09,2,1407,雜項設備,22665614
201,10509,105,09,2,1410,收藏品及傳承資產,3667787572
201,10509,105,09,2,1601,無形資產,34110604
201,10509,105,09,2,3601,資本資產總額,6796647245
201,10510,105,10,2,1401,土地,2991282878
201,10510,105,10,2,1404,房屋建築及設備,25015744
201,10510,105,10,2,1405,機械及設備,22723834
201,10510,105,10,2,1406,交通及運輸設備,48854652
201,10510,105,10,2,1407,雜項設備,22614012
201,10510,105,10,2,1410,收藏品及傳承資產,3667787572
201,10510,105,10,2,1601,無形資產,33556956
201,10510,105,10,2,3601,資本資產總額,6811835648
201,10511,105,11,2,1401,土地,3769167687
201,10511,105,11,2,1404,房屋建築及設備,24847769
201,10511,105,11,2,1405,機械及設備,22671163
201,10511,105,11,2,1406,交通及運輸設備,49046137
201,10511,105,11,2,1407,雜項設備,31626964
201,10511,105,11,2,1410,收藏品及傳承資產,3768088072
201,10511,105,11,2,1601,無形資產,35178218
201,10511,105,11,2,3601,資本資產總額,7700626010
201,10512,105,12,2,1401,土地,3769167687
201,10512,105,12,2,1404,房屋建築及設備,24679794
201,10512,105,12,2,1405,機械及設備,28388642
201,10512,105,12,2,1406,交通及運輸設備,48362542
201,10512,105,12,2,1407,雜項設備,32094569
201,10512,105,12,2,1410,收藏品及傳承資產,3768088072
201,10512,105,12,2,1601,無形資產,34828402
201,10512,105,12,2,3601,資本資產總額,7705609708
201,10601,106,01,2,1401,土地,3769167687
201,10601,106,01,2,1404,房屋建築及設備,24511819
201,10601,106,01,2,1405,機械及設備,27636562
201,10601,106,01,2,1406,交通及運輸設備,47597491
201,10601,106,01,2,1407,雜項設備,31700310
201,10601,106,01,2,1410,收藏品及傳承資產,3768088072
201,10601,106,01,2,1601,無形資產,34250934
201,10601,106,01,2,3601,資本資產總額,7702952875
201,10602,106,02,2,1401,土地,3769167687
201,10602,106,02,2,1404,房屋建築及設備,24343844
201,10602,106,02,2,1405,機械及設備,26897369
201,10602,106,02,2,1406,交通及運輸設備,46828397
201,10602,106,02,2,1407,雜項設備,31131766
201,10602,106,02,2,1410,收藏品及傳承資產,3768088072
201,10602,106,02,2,1601,無形資產,33673466
201,10602,106,02,2,3601,資本資產總額,7700130601
201,10603,106,03,2,1401,土地,3769167687
201,10603,106,03,2,1404,房屋建築及設備,24175869
201,10603,106,03,2,1405,機械及設備,26273383
201,10603,106,03,2,1406,交通及運輸設備,46129849
201,10603,106,03,2,1407,雜項設備,30859860
201,10603,106,03,2,1410,收藏品及傳承資產,3768088072
201,10603,106,03,2,1601,無形資產,33095998
201,10603,106,03,2,3601,資本資產總額,7697790718
201,10604,106,04,2,1401,土地,3769167687
201,10604,106,04,2,1404,房屋建築及設備,24007894
201,10604,106,04,2,1405,機械及設備,25699925
201,10604,106,04,2,1406,交通及運輸設備,45392649
