id,time,會計年度,月份,會計分類,科目名稱,取得成本,以前年度累計折舊_長期投資評價,本年度資本資產成本變動_增加數,本年度資本資產成本變動_減少數,本年度累計折舊_長期投資評價變動數,期末帳面金額,備註
201,10506,105,06,2,130101採權益法之股權投資,0,0,0,0,0,0,"本表資本資產增加27,649,168元，較收入支出彙計表設備及投資支出4,432,048元，多出23,217,120元，係： (1)以104年度歲出保留款3,145,000元購置資本資產，該款項不計入收入支出彙計表中設備及投資支出。
 (2)103及104年度支付本府府徽(梅花及總統府設計圖)申請商標註冊等費用37,000元，於本年度增列資本資產，該款項不計入收入支出彙計表中設備及投資支出。 
(3)故宮鑑價本府存放受贈書畫作品40件計20,110,000元，於本年度增列資本資產，該款項不計入收入支出彙計表中設備及投資支出。
(4)購置套裝軟體ACDSee 18中文版10套及OFFICE2016 MAC中文版6套計74,880元，因每套單價未達1萬元，故未列入本表。"
201,10506,105,06,2,130201非採權益法之股權投資,0,0,0,0,0,0,
201,10506,105,06,2,139901其他長期投資,0,0,0,0,0,0,
201,10506,105,06,2,140101土地,2991282878,0,0,0,0,2991282878,
201,10506,105,06,2,140201土地改良物,0,0,0,0,0,0,
201,10506,105,06,2,140401房屋建築及設備,85939584,0,0,0,-60228477,25711107,
201,10506,105,06,2,140501機械及設備,132257317,0,3608127,681700,-112444005,22739739,
201,10506,105,06,2,140601交通及運輸設備,109169808,0,830500,498970,-75454356,34046982,
201,10506,105,06,2,140701雜項設備,143284522,0,21148383,19411975,-122105051,22915879,
201,10506,105,06,2,140801租賃資產,0,0,0,0,0,0,
201,10506,105,06,2,140901租賃權益改良,0,0,0,0,0,0,
201,10506,105,06,2,141001收藏品及傳承資產,3667787572,0,0,0,0,3667787572,
201,10506,105,06,2,141101購建中固定資產,0,0,0,0,0,0,
201,10506,105,06,2,149901其他固定資產,0,0,0,0,0,0,
201,10506,105,06,2,150101遞耗資產,0,0,0,0,0,0,
201,10506,105,06,2,160101權利,0,0,37000,3366,0,33634,
201,10506,105,06,2,160102電腦軟體,70791460,0,2025158,38032384,0,34784234,
201,10506,105,06,2,160104發展中之無形資產,0,0,0,0,0,0,
201,10506,105,06,2,160199其他無形資產,0,0,0,0,0,0,
201,10506,105,06,2,170201其他資本資產,0,0,0,0,0,0,
201,10507,105,07,2,130101採權益法之股權投資,0,0,0,0,0,0,"本表資本資產增加28,794,137元，較收入支出彙計表設備及投資支出5,577,017元，多出23,217,120元，係：
 (1)以104年度歲出保留款3,145,000元購置資本資產，該款項不計入收入支出彙計表中設備及投資支出。
 (2)103及104年度支付本府府徽(梅花及總統府設計圖)申請商標註冊等費用37,000元，於本年度增列資本資產，該款項不計入收入  支出彙計表中設備及投資支出。 
(3)故宮鑑價本府存放受贈書畫作品40件計20,110,000元，於本年度增列資本資產，該款項不計入收入支出彙計表中設備及投資支出。
(4)購置套裝軟體ACDSee 18中文版10套及OFFICE2016 MAC中文版6套計74,880元，因每套單價未達1萬元，故未列入本表。"
201,10507,105,07,2,130201非採權益法之股權投資,0,0,0,0,0,0,
201,10507,105,07,2,139901其他長期投資,0,0,0,0,0,0,
201,10507,105,07,2,140101土地,2991282878,0,0,0,0,2991282878,
201,10507,105,07,2,140201土地改良物,0,0,0,0,0,0,
201,10507,105,07,2,140401房屋建築及設備,85939584,0,0,0,-60396729,25542855,
201,10507,105,07,2,140501機械及設備,132257317,0,3637717,681700,-113217852,21995482,
201,10507,105,07,2,140601交通及運輸設備,109169808,0,845725,498970,-76035653,33480910,
201,10507,105,07,2,140701雜項設備,143284522,0,21656151,19474525,-122525806,22940342,
201,10507,105,07,2,140801租賃資產,0,0,0,0,0,0,
201,10507,105,07,2,140901租賃權益改良,0,0,0,0,0,0,
201,10507,105,07,2,141001收藏品及傳承資產,3667787572,0,0,0,0,3667787572,
201,10507,105,07,2,141101購建中固定資產,0,0,0,0,0,0,
201,10507,105,07,2,149901其他固定資產,0,0,0,0,0,0,
201,10507,105,07,2,150101遞耗資產,0,0,0,0,0,0,
201,10507,105,07,2,160101權利,0,0,37000,3672,0,33328,
201,10507,105,07,2,160102電腦軟體,70791460,0,2617544,38589613,0,34819391,
201,10507,105,07,2,160104發展中之無形資產,0,0,0,0,0,0,
201,10507,105,07,2,160199其他無形資產,0,0,0,0,0,0,
201,10507,105,07,2,170201其他資本資產,0,0,0,0,0,0,
201,10508,105,08,2,130101採權益法之股權投資,0,0,0,0,0,0,"本表資本資產增加30,720,664元，較收入支出彙計表設備及投資支出7,518,544元，多出23,202,120元，係：
 (1)以104年度歲出保留款3,145,000元購置資本資產，該款項不計入收入支出彙計表中設備及投資支出。
 (2)103及104年度支付本府府徽(梅花及總統府設計圖)申請商標註冊等費用37,000元，於本年度增列資本資產，該款項不計入收入   支出彙計表中設備及投資支出。 
 (3)故宮鑑價本府存放受贈書畫作品40件計20,110,000元，於本年度增列資本資產，該款項不計入收入支出彙計表中設備及投資支出。
(4)購置套裝軟體ACDSee 18中文版10套、OFFICE2016 MAC中文版6套及Lightroom 2套共計89,880元，因每套單價未達1萬元，故未列入本表。"
201,10508,105,08,2,130201非採權益法之股權投資,0,0,0,0,0,0,
201,10508,105,08,2,139901其他長期投資,0,0,0,0,0,0,
201,10508,105,08,2,140101土地,2991282878,0,0,0,0,2991282878,
201,10508,105,08,2,140201土地改良物,0,0,0,0,0,0,
201,10508,105,08,2,140401房屋建築及設備,85939584,0,0,0,-60564981,25374603,
201,10508,105,08,2,140501機械及設備,132257317,0,4907557,681700,-113984846,22498328,
201,10508,105,08,2,140601交通及運輸設備,109169808,0,845725,857970,-76261107,32896456,
201,10508,105,08,2,140701雜項設備,143284522,0,21946978,19707125,-122767802,22756573,
201,10508,105,08,2,140801租賃資產,0,0,0,0,0,0,
201,10508,105,08,2,140901租賃權益改良,0,0,0,0,0,0,
201,10508,105,08,2,141001收藏品及傳承資產,3667787572,0,0,0,0,3667787572,
201,10508,105,08,2,141101購建中固定資產,0,0,0,0,0,0,
201,10508,105,08,2,149901其他固定資產,0,0,0,0,0,0,
201,10508,105,08,2,150101遞耗資產,0,0,0,0,0,0,
201,10508,105,08,2,160101權利,0,0,37000,3978,0,33022,
201,10508,105,08,2,160102電腦軟體,70791460,0,2983404,39142193,0,34632671,
201,10508,105,08,2,160104發展中之無形資產,0,0,0,0,0,0,
201,10508,105,08,2,160199其他無形資產,0,0,0,0,0,0,
201,10508,105,08,2,170201其他資本資產,0,0,0,0,0,0,
201,10509,105,09,2,130101採權益法之股權投資,0,0,0,0,0,0,"1.資本資產成本增加數32,664,833元＝屬預算執行增加數12,517,833元＋其他依財產規制移入及受贈等增加數20,147,000元。
2.設備及投資預算執行數12,607,713元＝本年度預算執行數9,462,713元＋以前年度保留預算執行數3,145,000元。
3.預算採購增加數12,517,833元，較設備及投資預算執行數12,607,713元，減少89,880元，係因未達登載財產標準列為物品。"
201,10509,105,09,2,130201非採權益法之股權投資,0,0,0,0,0,0,
201,10509,105,09,2,139901其他長期投資,0,0,0,0,0,0,
201,10509,105,09,2,140101土地,2991282878,0,0,0,0,2991282878,
201,10509,105,09,2,140201土地改良物,0,0,0,0,0,0,
201,10509,105,09,2,140401房屋建築及設備,85939584,0,0,0,-60733233,25206351,
201,10509,105,09,2,140501機械及設備,132257317,0,6469267,681700,-114767462,23277422,
201,10509,105,09,2,140601交通及運輸設備,109169808,0,845725,857970,-76840759,32316804,
201,10509,105,09,2,140701雜項設備,143284522,0,22329437,19707125,-123241220,22665614,
201,10509,105,09,2,140801租賃資產,0,0,0,0,0,0,
201,10509,105,09,2,140901租賃權益改良,0,0,0,0,0,0,
201,10509,105,09,2,141001收藏品及傳承資產,3667787572,0,0,0,0,3667787572,
201,10509,105,09,2,141101購建中固定資產,0,0,0,0,0,0,
201,10509,105,09,2,149901其他固定資產,0,0,0,0,0,0,
201,10509,105,09,2,150101遞耗資產,0,0,0,0,0,0,
201,10509,105,09,2,160101權利,0,0,37000,4284,0,32716,
201,10509,105,09,2,160102電腦軟體,70791460,0,2983404,39696976,0,34077888,
201,10509,105,09,2,160104發展中之無形資產,0,0,0,0,0,0,
201,10509,105,09,2,160199其他無形資產,0,0,0,0,0,0,
201,10509,105,09,2,170201其他資本資產,0,0,0,0,0,0,
201,10510,105,10,2,130101採權益法之股權投資,0,0,0,0,0,0,"1.資本資產成本增加數50,463,539元＝屬預算執行增加數30,316,539元＋其他依財產規制移入、受贈或土地依公告地價申報增值等增加數20,147,000元。
2.設備及投資預算執行數30,425,919元＝本年度預算執行數27,280,919元＋以前年度保留預算執行數3,145,000元。
3.預算採購增加數30,316,539元，較設備及投資預算執行數30,425,919元，減少109,380元，係因未達登載財產標準列為物品致減少109,380元。"
201,10510,105,10,2,130201非採權益法之股權投資,0,0,0,0,0,0,
201,10510,105,10,2,139901其他長期投資,0,0,0,0,0,0,
201,10510,105,10,2,140101土地,2991282878,0,0,0,0,2991282878,
201,10510,105,10,2,140201土地改良物,0,0,0,0,0,0,
201,10510,105,10,2,140401房屋建築及設備,85939584,0,0,134000,-60789840,25015744,
201,10510,105,10,2,140501機械及設備,132257317,0,6721107,681700,-115572890,22723834,
201,10510,105,10,2,140601交通及運輸設備,109169808,0,17963225,857970,-77420411,48854652,
201,10510,105,10,2,140701雜項設備,143284522,0,22758803,19946325,-123482988,22614012,
201,10510,105,10,2,140801租賃資產,0,0,0,0,0,0,
201,10510,105,10,2,140901租賃權益改良,0,0,0,0,0,0,
201,10510,105,10,2,141001收藏品及傳承資產,3667787572,0,0,0,0,3667787572,
201,10510,105,10,2,141101購建中固定資產,0,0,0,0,0,0,
201,10510,105,10,2,149901其他固定資產,0,0,0,0,0,0,
201,10510,105,10,2,150101遞耗資產,0,0,0,0,0,0,
201,10510,105,10,2,160101權利,0,0,37000,4590,0,32410,
201,10510,105,10,2,160102電腦軟體,70791460,0,2983404,40250318,0,33524546,
201,10510,105,10,2,160104發展中之無形資產,0,0,0,0,0,0,
201,10510,105,10,2,160199其他無形資產,0,0,0,0,0,0,
201,10510,105,10,2,170201其他資本資產,0,0,0,0,0,0,
201,10511,105,11,2,130101採權益法之股權投資,0,0,0,0,0,0,"1.資本資產成本增加數942,086,436元＝屬預算執行增加數43,754,127元＋其他依財產規制移入、受贈或土地依公告地價申報增值等增加數898,332,309元。
2.設備及投資預算執行數43,863,507元＝本年度預算執行數40,718,507元＋以前年度保留預算執行數3,145,000元。
3.預算採購增加數43,754,127元，較設備及投資預算執行數43,863,507元，減少109,380元，係因未達登載財產標準列為物品致減少109,380元。"
201,10511,105,11,2,130201非採權益法之股權投資,0,0,0,0,0,0,
201,10511,105,11,2,139901其他長期投資,0,0,0,0,0,0,
201,10511,105,11,2,140101土地,2991282878,0,777884809,0,0,3769167687,
201,10511,105,11,2,140201土地改良物,0,0,0,0,0,0,
201,10511,105,11,2,140401房屋建築及設備,85939584,0,0,134000,-60957815,24847769,
201,10511,105,11,2,140501機械及設備,132257317,0,7528223,9642828,-107471549,22671163,
201,10511,105,11,2,140601交通及運輸設備,109169808,0,18911318,897760,-78137229,49046137,
201,10511,105,11,2,140701雜項設備,143284522,0,32264438,20907525,-123014471,31626964,
201,10511,105,11,2,140801租賃資產,0,0,0,0,0,0,
201,10511,105,11,2,140901租賃權益改良,0,0,0,0,0,0,
201,10511,105,11,2,141001收藏品及傳承資產,3667787572,0,100300500,0,0,3768088072,
201,10511,105,11,2,141101購建中固定資產,0,0,0,0,0,0,
201,10511,105,11,2,149901其他固定資產,0,0,0,0,0,0,
201,10511,105,11,2,150101遞耗資產,0,0,0,0,0,0,
201,10511,105,11,2,160101權利,0,0,37000,4896,0,32104,
201,10511,105,11,2,160102電腦軟體,70791460,0,5160148,40805494,0,35146114,
201,10511,105,11,2,160104發展中之無形資產,0,0,0,0,0,0,
201,10511,105,11,2,160199其他無形資產,0,0,0,0,0,0,
201,10511,105,11,2,170201其他資本資產,0,0,0,0,0,0,
201,10512,105,12,2,13長期投資,0,0,0,0,0,0,"1.資本資產成本增加數949,974,862元＝屬預算執行增加數51,642,553元＋其他依財產規制移入、受贈或土地依公告地價申報增值等增加數898,332,309元。
2.設備及投資預算執行數53,171,303元＝本年度預算執行數50,026,303元＋以前年度保留預算執行數3,145,000元。
3.預算採購增加數51,642,553元，較設備及投資預算執行數53,171,303元，減少1,528,750元，係因未達登載財產標準列為物品致減少1,528,750元。"
201,10512,105,12,2,140101土地,2991282878,0,777884809,0,0,3769167687,
201,10512,105,12,2,140201土地改良物,0,0,0,0,0,0,
201,10512,105,12,2,140401房屋建築及設備,85939584,0,0,134000,-61125790,24679794,
201,10512,105,12,2,140501機械及設備,132257317,0,14019663,9642828,-108245510,28388642,
201,10512,105,12,2,140601交通及運輸設備,109169808,0,18998208,919760,-78885714,48362542,
201,10512,105,12,2,140701雜項設備,143284522,0,33334534,21140325,-123384162,32094569,
201,10512,105,12,2,140801租賃資產,0,0,0,0,0,0,
201,10512,105,12,2,140901租賃權益改良,0,0,0,0,0,0,
201,10512,105,12,2,141001收藏品及傳承資產,3667787572,0,100300500,0,0,3768088072,
201,10512,105,12,2,141101購建中固定資產,0,0,0,0,0,0,
201,10512,105,12,2,149901其他固定資產,0,0,0,0,0,0,
201,10512,105,12,2,150101遞耗資產,0,0,0,0,0,0,
201,10512,105,12,2,160101權利,0,0,37000,5202,0,31798,
201,10512,105,12,2,160102電腦軟體,70791460,0,5400148,41395004,0,34796604,
201,10512,105,12,2,160104發展中之無形資產,0,0,0,0,0,0,
201,10512,105,12,2,160199其他無形資產,0,0,0,0,0,0,
201,10512,105,12,2,170201其他資本資產,0,0,0,0,0,0,
