id,time,會計年度,月份,會計分類,科目名稱,取得成本,以前年度累計折舊_長期投資評價,本年度資本資產成本變動_增加數,本年度資本資產成本變動_減少數,本年度累計折舊_長期投資評價變動數,期末帳面金額,備註
201,10901,109,01,2,13長期投資,0,0,0,0,0,0,"1.資本資產成本增加數0元＝屬預算執行增加數0元。
2.設備及投資預算執行數0元＝本年度預算執行數0元。                                                                                                                                                                     3.預算採購增加數0元＝設備及投資預算執行數0元。"
201,10901,109,01,2,140101土地,3769167687,0,0,0,0,3769167687,
201,10901,109,01,2,140201土地改良物,0,0,0,0,0,0,
201,10901,109,01,2,140401房屋建築及設備,82501204,-62371375,0,0,-101219,20028610,
201,10901,109,01,2,140501機械及設備,147943853,-113264022,0,0,-954890,33724941,
201,10901,109,01,2,140601交通及運輸設備,133930988,-106505338,0,76500,-479975,26869175,
201,10901,109,01,2,140701雜項設備,161444656,-137081205,0,125750,-519192,23718509,
201,10901,109,01,2,140801租賃資產,0,0,0,0,0,0,
201,10901,109,01,2,140901租賃權益改良,0,0,0,0,0,0,
201,10901,109,01,2,141001收藏品及傳承資產,3768088072,0,0,0,0,3768088072,
201,10901,109,01,2,141101購建中固定資產,0,0,0,0,0,0,
201,10901,109,01,2,150101遞耗資產,0,0,0,0,0,0,
201,10901,109,01,2,160101權利,20782,0,0,306,0,20476,
201,10901,109,01,2,160102電腦軟體,47817070,0,0,1419722,0,46397348,
201,10901,109,01,2,160104發展中之無形資產,0,0,0,0,0,0,
201,10901,109,01,2,160199其他無形資產,0,0,0,0,0,0,
201,10902,109,02,2,13長期投資,0,0,0,0,0,0,"1.資本資產成本增加數547,550元＝屬預算執行增加數547,550元。
2.設備及投資預算執行數547,550元＝本年度預算執行數547,550元。                                                                                                             3.預算採購增加數547,550元＝設備及投資預算執行數547,550元。"
201,10902,109,02,2,140101土地,3769167687,0,0,0,0,3769167687,
201,10902,109,02,2,140201土地改良物,0,0,0,0,0,0,
201,10902,109,02,2,140401房屋建築及設備,82501204,-62371375,0,0,-202438,19927391,
201,10902,109,02,2,140501機械及設備,147943853,-113264022,221964,0,-1904834,32996961,
201,10902,109,02,2,140601交通及運輸設備,133930988,-106505338,65310,103500,-1008946,26378514,
201,10902,109,02,2,140701雜項設備,161444656,-137081205,161576,498046,-794854,23232127,
201,10902,109,02,2,140801租賃資產,0,0,0,0,0,0,
201,10902,109,02,2,140901租賃權益改良,0,0,0,0,0,0,
201,10902,109,02,2,141001收藏品及傳承資產,3768088072,0,0,0,0,3768088072,
201,10902,109,02,2,141101購建中固定資產,0,0,0,0,0,0,
201,10902,109,02,2,150101遞耗資產,0,0,0,0,0,0,
201,10902,109,02,2,160101權利,20782,0,0,612,0,20170,
201,10902,109,02,2,160102電腦軟體,47817070,0,98700,2811146,0,45104624,
201,10902,109,02,2,160104發展中之無形資產,0,0,0,0,0,0,
201,10902,109,02,2,160199其他無形資產,0,0,0,0,0,0,
201,10902,109,02,2,189901什項資產,0,0,0,0,0,0,
201,10903,109,03,2,13長期投資,0,0,0,0,0,0,"1.資本資產成本增加數1,019,855元＝屬預算執行增加數1,019,855元。
2.設備及投資預算執行數1,019,855元＝本年度預算執行數1,019,855元。
3.預算採購增加數1,019,855元＝設備及投資預算執行數1,019,855元。"
201,10903,109,03,2,140101土地,3769167687,0,0,0,0,3769167687,
201,10903,109,03,2,140201土地改良物,0,0,0,0,0,0,
201,10903,109,03,2,140401房屋建築及設備,82501204,-62371375,0,0,-303657,19826172,
201,10903,109,03,2,140501機械及設備,147943853,-113264022,391848,101460,-2751425,32218794,
201,10903,109,03,2,140601交通及運輸設備,133930988,-106505338,77493,142992,-1526349,25833802,
201,10903,109,03,2,140701雜項設備,161444656,-137081205,411319,841811,-1098597,22834362,
201,10903,109,03,2,140801租賃資產,0,0,0,0,0,0,
201,10903,109,03,2,140901租賃權益改良,0,0,0,0,0,0,
201,10903,109,03,2,141001收藏品及傳承資產,3768088072,0,0,0,0,3768088072,
201,10903,109,03,2,141101購建中固定資產,0,0,0,0,0,0,
201,10903,109,03,2,150101遞耗資產,0,0,0,0,0,0,
201,10903,109,03,2,160101權利,20782,0,0,918,0,19864,
201,10903,109,03,2,160102電腦軟體,47817070,0,139195,4210719,0,43745546,
201,10903,109,03,2,160104發展中之無形資產,0,0,0,0,0,0,
201,10903,109,03,2,160199其他無形資產,0,0,0,0,0,0,
201,10903,109,03,2,189901什項資產,0,0,0,0,0,0,
201,10904,109,04,2,13長期投資,0,0,0,0,0,0,"1.資本資產成本增加數1,286,740元＝屬預算執行增加數1,286,740元。
2.設備及投資預算執行數1,286,740元＝本年度預算執行數1,286,740元。
3.預算採購增加數1,286,740元＝設備及投資預算執行數1,286,740元。"
201,10904,109,04,2,140101土地,3769167687,0,0,0,0,3769167687,
201,10904,109,04,2,140201土地改良物,0,0,0,0,0,0,
201,10904,109,04,2,140401房屋建築及設備,82501204,-62371375,0,0,-404876,19724953,
201,10904,109,04,2,140501機械及設備,147943853,-113264022,627233,101460,-3699929,31505675,
201,10904,109,04,2,140601交通及運輸設備,133930988,-106505338,77493,169992,-2056020,25277131,
201,10904,109,04,2,140701雜項設備,161444656,-137081205,442819,865511,-1721908,22218851,
201,10904,109,04,2,140801租賃資產,0,0,0,0,0,0,
201,10904,109,04,2,140901租賃權益改良,0,0,0,0,0,0,
201,10904,109,04,2,141001收藏品及傳承資產,3768088072,0,0,0,0,3768088072,
201,10904,109,04,2,141101購建中固定資產,0,0,0,0,0,0,
201,10904,109,04,2,150101遞耗資產,0,0,0,0,0,0,
201,10904,109,04,2,160101權利,20782,0,0,1224,0,19558,
201,10904,109,04,2,160102電腦軟體,47817070,0,139195,5601703,0,42354562,
201,10904,109,04,2,160104發展中之無形資產,0,0,0,0,0,0,
201,10904,109,04,2,160199其他無形資產,0,0,0,0,0,0,
201,10904,109,04,2,189901什項資產,0,0,0,0,0,0,
201,10905,109,05,2,13長期投資,0,0,0,0,0,0,"1.資本資產成本增加數11,753,287元＝設備及投資預算執行數11,753,287元。2.因「總統府府後博愛路側安全防護設施建置工程」已支付9,244,917元，惟財管單位俟該案監造技術服務款支付後始登載財產，故本表「房屋建築及設備」帳面金額較財產增減結存表增加9,244,917元。另本表「機械及設備」、「交通及運輸設備」及「雜項設備」帳面金額較財產增減結存表分別減少136,500、25,000及20,650元，係採購防火牆等136,500元、行動電話25,000元及冰箱20,650元，管理單位於5月份登財產帳，惟未及於5月份完成付款，致減少共計182,150元。"
201,10905,109,05,2,140101土地,3769167687,0,0,0,0,3769167687,
201,10905,109,05,2,140201土地改良物,0,0,0,0,0,0,
201,10905,109,05,2,140401房屋建築及設備,82501204,-62371375,9244917,0,-506095,28868651,
201,10905,109,05,2,140501機械及設備,147943853,-113264022,1410928,3256658,-1534287,31299814,
201,10905,109,05,2,140601交通及運輸設備,133930988,-106505338,165168,686892,-2100358,24803568,
201,10905,109,05,2,140701雜項設備,161444656,-137081205,793079,865511,-2366138,21924881,
201,10905,109,05,2,140801租賃資產,0,0,0,0,0,0,
201,10905,109,05,2,140901租賃權益改良,0,0,0,0,0,0,
201,10905,109,05,2,141001收藏品及傳承資產,3768088072,0,0,0,0,3768088072,
201,10905,109,05,2,141101購建中固定資產,0,0,0,0,0,0,
201,10905,109,05,2,150101遞耗資產,0,0,0,0,0,0,
201,10905,109,05,2,160101權利,20782,0,0,1530,0,19252,
201,10905,109,05,2,160102電腦軟體,47817070,0,139195,6992694,0,40963571,
201,10905,109,05,2,160104發展中之無形資產,0,0,0,0,0,0,
201,10905,109,05,2,160199其他無形資產,0,0,0,0,0,0,
201,10905,109,05,2,189901什項資產,0,0,0,0,0,0,
201,10906,109,06,2,13長期投資,0,0,0,0,0,0,"1.預算採購增加數12,449,378＝設備及投資預算執行數12,449,378元。2.因「總統府府後博愛路側安全防護設施建置工程案」依合約已先行支付9,244,917元，惟財管單位俟該案委託規劃設計監造技術服務款支付後始登載財產，故本表「房屋建築及設備」帳面金額較財產增減結存表金額增加9,244,917元。另本表「雜項設備」帳面金額較財產增減結存表金額減少62,300元，係採購咖啡機1台24,500元及跑步機1台37,800元，管理單位於6月份登財產帳，惟未及於6月份完成付款，致減少共計62,300元。以上增減數互抵後，致實際增加9,182,617元。"
201,10906,109,06,2,140101土地,3769167687,0,0,0,0,3769167687,
201,10906,109,06,2,140201土地改良物,0,0,0,0,0,0,
201,10906,109,06,2,140401房屋建築及設備,82501204,-62371375,9244917,0,-607314,28767432,
201,10906,109,06,2,140501機械及設備,147943853,-113264022,1668288,3287108,-2455493,30605518,
201,10906,109,06,2,140601交通及運輸設備,133930988,-106505338,202351,686892,-2656425,24284684,
201,10906,109,06,2,140701雜項設備,161444656,-137081205,1194627,1271417,-2612213,21674448,
201,10906,109,06,2,140801租賃資產,0,0,0,0,0,0,
201,10906,109,06,2,140901租賃權益改良,0,0,0,0,0,0,
201,10906,109,06,2,141001收藏品及傳承資產,3768088072,0,0,0,0,3768088072,
201,10906,109,06,2,141101購建中固定資產,0,0,0,0,0,0,
201,10906,109,06,2,150101遞耗資產,0,0,0,0,0,0,
201,10906,109,06,2,160101權利,20782,0,0,1836,0,18946,
201,10906,109,06,2,160102電腦軟體,47817070,0,139195,8345759,0,39610506,
201,10906,109,06,2,160104發展中之無形資產,0,0,0,0,0,0,
201,10906,109,06,2,160199其他無形資產,0,0,0,0,0,0,
201,10906,109,06,2,189901什項資產,0,0,0,0,0,0,
201,10907,109,07,2,13長期投資,0,0,0,0,0,0,"1.資本資產成本增加數23,130,081元＝屬預算執行增加數23,130,081元。
2.設備及投資預算執行數22,910,081元＝本年度預算執行數13,665,164元+以前年度預算執行數9,244,917元。 3.預算採購增加數23,130,081元，較設備及投資預算執行數22,910,081元，增加220,000元，係空調主機變頻器220,000元，管理單位已登財產，惟以維修費列帳，致增加220,000元。"
201,10907,109,07,2,140101土地,3769167687,0,0,0,0,3769167687,
201,10907,109,07,2,140201土地改良物,0,0,0,0,0,0,
201,10907,109,07,2,140401房屋建築及設備,82501204,-62371375,9244917,0,-708533,28666213,
201,10907,109,07,2,140501機械及設備,147943853,-113264022,10120424,14482528,7682712,38000439,
201,10907,109,07,2,140601交通及運輸設備,133930988,-106505338,495051,11359442,7343905,23905164,
201,10907,109,07,2,140701雜項設備,161444656,-137081205,2958494,1768891,-2772945,22780109,
201,10907,109,07,2,140801租賃資產,0,0,0,0,0,0,
201,10907,109,07,2,140901租賃權益改良,0,0,0,0,0,0,
201,10907,109,07,2,141001收藏品及傳承資產,3768088072,0,0,0,0,3768088072,
201,10907,109,07,2,141101購建中固定資產,0,0,0,0,0,0,
201,10907,109,07,2,150101遞耗資產,0,0,0,0,0,0,
201,10907,109,07,2,160101權利,20782,0,0,2142,0,18640,
201,10907,109,07,2,160102電腦軟體,47817070,0,311195,9698572,0,38429693,
201,10907,109,07,2,160104發展中之無形資產,0,0,0,0,0,0,
201,10907,109,07,2,160199其他無形資產,0,0,0,0,0,0,
201,10907,109,07,2,189901什項資產,0,0,0,0,0,0,
201,10908,109,08,2,13長期投資,0,0,0,0,0,0,"1.資本資產成本增加數24,578,030元＝屬預算執行增加數24,578,030元。
2.設備及投資預算執行數24,358,030元＝本年度預算執行數15,113,113元+以前年度預算執行數9,244,917元。 3.預算採購增加數24,578,030元較設備及投資預算執行數24,358,030元，增加220,000元，係空調主機變頻器220,000元，管理單位已登財產，惟以維修費列帳，致增加220,000元。"
201,10908,109,08,2,140101土地,3769167687,0,0,0,0,3769167687,
201,10908,109,08,2,140201土地改良物,0,0,0,0,0,0,
201,10908,109,08,2,140401房屋建築及設備,82501204,-62371375,9244917,0,-809752,28564994,
201,10908,109,08,2,140501機械及設備,147943853,-113264022,11021682,14482528,6566824,37785809,
201,10908,109,08,2,140601交通及運輸設備,133930988,-106505338,547551,11359442,6798485,23412244,
201,10908,109,08,2,140701雜項設備,161444656,-137081205,3452685,1799891,-3414417,22601828,
201,10908,109,08,2,140801租賃資產,0,0,0,0,0,0,
