id,time,會計年度,款,項,目,節,預算科目編號,預算科目名稱,細目編號,細目名稱,以前年度轉入數_應收數,以前年度轉入數_保留數,本年度減免註銷數_應收數,本年度減免註銷數_保留數,本年度實現數_應收數,本年度實現數_保留數,本年度調整數_應收數,本年度調整數_保留數,本年度未結清數_應收數,本年度未結清數_保留數
201,105,105,07,,,,1100000000-2,其他收入,,,"99,421",0,0,0,0,0,0,0,"99,421",0
201,105,105,,01,,,1102010000-6,總統府,,,"99,421",0,0,0,0,0,0,0,"99,421",0
201,105,105,,,01,,1102010900-7,雜項收入,,,"99,421",0,0,0,0,0,0,0,"99,421",0
201,105,105,,,,01,1102010901-0,收回以前年度歲出,,,"99,421",0,0,0,0,0,0,0,"99,421",0
201,105,105,,,,,,小計,,,"99,421",0,0,0,0,0,0,0,"99,421",0
201,105,105,07,,,,1100000000-2,其他收入,,,"139,378",0,0,0,"107,129",0,0,0,"32,249",0
201,105,105,,01,,,1102010000-6,總統府,,,"139,378",0,0,0,"107,129",0,0,0,"32,249",0
201,105,105,,,01,,1102010900-7,雜項收入,,,"139,378",0,0,0,"107,129",0,0,0,"32,249",0
201,105,105,,,,01,1102010901-0,收回以前年度歲出,,,"139,378",0,0,0,"107,129",0,0,0,"32,249",0
201,105,105,,,,,,小計,,,"139,378",0,0,0,"107,129",0,0,0,"32,249",0
201,105,105,null,null,null,null,,經常門小計,,,"238,799",0,0,0,"107,129",0,0,0,"131,670",0
201,105,105,null,null,null,null,,資本門小計,0,0,0,0,0,0,0,0,0,0,0,0
201,105,105,,,,,,"合    計",,,"238,799",0,0,0,"107,129",0,0,0,"131,670",0
201,106,106,07,,,,1100000000-2,其他收入,,,"99,421",0,"99,421",0,0,0,0,0,0,0
201,106,106,,01,,,1102010000-6,總統府,,,"99,421",0,"99,421",0,0,0,0,0,0,0
201,106,106,,,01,,1102010900-7,雜項收入,,,"99,421",0,"99,421",0,0,0,0,0,0,0
