id,time,會計年度,月份,基金別,會計分類,使用機關別,科目分類,會計科目編號,會計科目名稱,金額
201,105,105,12,1,1,2,1,110103,專戶存款,14957153
201,105,105,12,1,1,2,1,110303,應收帳款,131670
201,105,105,12,1,1,2,1,110398,其他應收款,1177058
201,105,105,12,1,1,2,1,110901,預付款,53602126
201,105,105,12,1,1,2,1,111201,存出保證金,1000
201,105,105,12,1,1,2,,1903,保證品,6250000
201,105,105,12,1,1,2,2,210301,應付帳款,53602126
201,105,105,12,1,1,2,2,210399,其他應付款,11581870
201,105,105,12,1,1,2,2,211201,存入保證金,7634089
201,105,105,12,1,1,2,2,211301,應付代收款,32058
201,105,105,12,1,1,2,2,211401,應付保管款,7291006
201,105,105,12,1,1,2,3,310101,資產負債淨額,-10272142
201,106,106,12,1,1,2,1,110103,專戶存款,12899666
201,106,106,12,1,1,2,1,110305,應收票據,1949053
201,106,106,12,1,1,2,1,110398,其他應收款,1149470
201,106,106,12,1,1,2,1,110901,預付款,53602126
201,106,106,12,1,1,2,1,111201,存出保證金,1000
201,106,106,12,1,1,2,,1903,保證品,1860910
201,106,106,12,1,1,2,,1904,債權憑證,1
201,106,106,12,1,1,2,2,210301,應付帳款,53602126
201,106,106,12,1,1,2,2,210399,其他應付款,10997315
201,106,106,12,1,1,2,2,211201,存入保證金,4209907
201,106,106,12,1,1,2,2,211301,應付代收款,40757
201,106,106,12,1,1,2,2,211401,應付保管款,8649002
201,106,106,12,1,1,2,3,310101,資產負債淨額,-7897792
201,107,107,12,1,1,2,1,110103,專戶存款,14073506
201,107,107,12,1,1,2,1,110305,應收票據,1299053
201,107,107,12,1,1,2,1,110901,預付款,53602126
201,107,107,12,1,1,2,1,111201,存出保證金,1000
201,107,107,12,1,1,2,,1903,保證品,1860910
201,107,107,12,1,1,2,,1904,債權憑證,1
201,107,107,12,1,1,2,2,210301,應付帳款,53602126
201,107,107,12,1,1,2,2,210399,其他應付款,7095065
201,107,107,12,1,1,2,2,211201,存入保證金,7998820
201,107,107,12,1,1,2,2,211301,應付代收款,48488
201,107,107,12,1,1,2,2,211401,應付保管款,6026198
201,107,107,12,1,1,2,3,310101,資產負債淨額,-5795012
201,109,109,12,1,1,2,1,110103,專戶存款,12516177
201,109,109,12,1,1,2,1,110901,預付款,53602126
201,109,109,12,1,1,2,1,140101,土地,3643518483
201,109,109,12,1,1,2,1,140401,房屋建築及設備,82501204
201,109,109,12,1,1,2,1,140402,累計折舊─房屋建築及設備,-63586003
201,109,109,12,1,1,2,1,140501,機械及設備,148826451
201,109,109,12,1,1,2,1,140502,累計折舊─機械及設備,-110655205
201,109,109,12,1,1,2,1,140601,交通及運輸設備,128126396
201,109,109,12,1,1,2,1,140602,累計折舊─交通及運輸設備,-98560593
201,109,109,12,1,1,2,1,140701,雜項設備,157264240
201,109,109,12,1,1,2,1,140702,累計折舊─雜項設備,-134979508
201,109,109,12,1,1,2,1,141001,收藏品及傳承資產,3730960845
201,109,109,12,1,1,2,1,160101,權利,17110
201,109,109,12,1,1,2,1,160102,電腦軟體,52661605
201,109,109,12,1,1,2,1,180201,存出保證金,1000
201,109,109,12,1,1,2,,1903,保證品,1860910
201,109,109,12,1,1,2,,1904,債權憑證,1
201,109,109,12,1,1,2,2,210301,應付帳款,53602126
201,109,109,12,1,1,2,2,210302,應付代收款,9483
201,109,109,12,1,1,2,2,280301,存入保證金,9503669
201,109,109,12,1,1,2,2,280401,應付保管款,3003025
201,109,109,12,1,1,2,3,310101,資產負債淨額,7536096025
201,110,110,12,1,1,2,1,110103,專戶存款,13728426
201,110,110,12,1,1,2,1,110901,預付款,53602126
201,110,110,12,1,1,2,1,140101,土地,3638696058
201,110,110,12,1,1,2,1,140401,房屋建築及設備,79053700
201,110,110,12,1,1,2,1,140402,累計折舊─房屋建築及設備,-61906861
201,110,110,12,1,1,2,1,140501,機械及設備,145014993
201,110,110,12,1,1,2,1,140502,累計折舊─機械及設備,-106387504
201,110,110,12,1,1,2,1,140601,交通及運輸設備,134345366
201,110,110,12,1,1,2,1,140602,累計折舊─交通及運輸設備,-102455332
201,110,110,12,1,1,2,1,140701,雜項設備,146530156
201,110,110,12,1,1,2,1,140702,累計折舊─雜項設備,-127743885
201,110,110,12,1,1,2,1,141001,收藏品及傳承資產,3730960845
201,110,110,12,1,1,2,1,160101,權利,13438
201,110,110,12,1,1,2,1,160102,電腦軟體,58318522
201,110,110,12,1,1,2,1,180201,存出保證金,1000
201,110,110,12,1,1,2,,1904,債權憑證,1
201,110,110,12,1,1,2,2,210301,應付帳款,53602126
201,110,110,12,1,1,2,2,210302,應付代收款,46313
201,110,110,12,1,1,2,2,280301,存入保證金,10631069
201,110,110,12,1,1,2,2,280401,應付保管款,3051044
201,110,110,12,1,1,2,3,310101,資產負債淨額,7534440496
240,105,105,12,1,1,2,1,110103,專戶存款,237167447
240,105,105,12,1,1,2,1,110901,預付款,985949764
240,105,105,12,1,1,2,1,111201,存出保證金,5855649
240,105,105,12,1,1,2,,1901,保管有價證券,1320191
240,105,105,12,1,1,2,,1903,保證品,56552704
240,105,105,12,1,1,2,,1904,債權憑證,1
240,105,105,12,1,1,2,2,210399,其他應付款,1737077582
240,105,105,12,1,1,2,2,211201,存入保證金,124436910
240,105,105,12,1,1,2,2,211301,應付代收款,39076159
240,105,105,12,1,1,2,2,211401,應付保管款,73654378
240,105,105,12,1,1,2,3,310101,資產負債淨額,-745272169
401,105,105,12,1,1,2,1,110103,專戶存款,161148830
401,105,105,12,1,1,2,1,111201,存出保證金,29000
401,105,105,12,1,1,2,,1903,保證品,12334761
401,105,105,12,1,1,2,2,210399,其他應付款,11903986
401,105,105,12,1,1,2,2,211201,存入保證金,33066637
401,105,105,12,1,1,2,2,211301,應付代收款,4728018
401,105,105,12,1,1,2,2,211401,應付保管款,123354175
401,105,105,12,1,1,2,3,310101,資產負債淨額,-11874986
401,106,106,12,1,1,2,1,110103,專戶存款,165019128
401,106,106,12,1,1,2,,1903,保證品,13069940
401,106,106,12,1,1,2,2,210399,其他應付款,290771
401,106,106,12,1,1,2,2,211201,存入保證金,38152479
401,106,106,12,1,1,2,2,211301,應付代收款,3430452
401,106,106,12,1,1,2,2,211401,應付保管款,123436197
401,106,106,12,1,1,2,3,310101,資產負債淨額,-290771
401,109,109,12,1,1,2,1,110103,專戶存款,78234939
401,109,109,12,1,1,2,1,110398,其他應收款,415130
401,109,109,12,1,1,2,1,140101,土地,4596333949
401,109,109,12,1,1,2,1,140401,房屋建築及設備,1639719725
401,109,109,12,1,1,2,1,140402,累計折舊─房屋建築及設備,-628878921
401,109,109,12,1,1,2,1,140501,機械及設備,837677544
401,109,109,12,1,1,2,1,140502,累計折舊─機械及設備,-736401832
401,109,109,12,1,1,2,1,140601,交通及運輸設備,539930879
401,109,109,12,1,1,2,1,140602,累計折舊─交通及運輸設備,-380372408
401,109,109,12,1,1,2,1,140701,雜項設備,377939311
401,109,109,12,1,1,2,1,140702,累計折舊─雜項設備,-329632907
401,109,109,12,1,1,2,1,160102,電腦軟體,126006317
401,109,109,12,1,1,2,1,160104,發展中之無形資產,950000
401,109,109,12,1,1,2,,1903,保證品,24885000
401,109,109,12,1,1,2,2,210302,應付代收款,3190368
401,109,109,12,1,1,2,2,280301,存入保證金,46256251
401,109,109,12,1,1,2,2,280401,應付保管款,28788320
401,109,109,12,1,1,2,3,310101,資產負債淨額,6043686787
401,110,110,12,1,1,2,1,110103,專戶存款,80432566
401,110,110,12,1,1,2,1,110398,其他應收款,428430
401,110,110,12,1,1,2,1,140101,土地,4596333949
401,110,110,12,1,1,2,1,140401,房屋建築及設備,1639719725
401,110,110,12,1,1,2,1,140402,累計折舊─房屋建築及設備,-655856742
401,110,110,12,1,1,2,1,140501,機械及設備,820708729
401,110,110,12,1,1,2,1,140502,累計折舊─機械及設備,-734666239
401,110,110,12,1,1,2,1,140601,交通及運輸設備,630874131
401,110,110,12,1,1,2,1,140602,累計折舊─交通及運輸設備,-414571579
401,110,110,12,1,1,2,1,140701,雜項設備,300726264
401,110,110,12,1,1,2,1,140702,累計折舊─雜項設備,-233163751
401,110,110,12,1,1,2,1,141101,購建中固定資產,18745219
401,110,110,12,1,1,2,1,160102,電腦軟體,90063592
401,110,110,12,1,1,2,1,160104,發展中之無形資產,3450000
401,110,110,12,1,1,2,,1903,保證品,27810300
401,110,110,12,1,1,2,,1904,債權憑證,2
401,110,110,12,1,1,2,2,210302,應付代收款,3081640
401,110,110,12,1,1,2,2,210399,其他應付款,20489949
401,110,110,12,1,1,2,2,210901,預收款,467477
401,110,110,12,1,1,2,2,280301,存入保證金,50530883
401,110,110,12,1,1,2,2,280401,應付保管款,26352566
401,110,110,12,1,1,2,3,310101,資產負債淨額,6042301779
501,105,105,12,1,1,2,1,110103,專戶存款,90011201
501,105,105,12,1,1,2,1,111201,存出保證金,800
501,105,105,12,1,1,2,,1902,保管品,1
501,105,105,12,1,1,2,,1903,保證品,206683453
501,105,105,12,1,1,2,,1904,債權憑證,1
501,105,105,12,1,1,2,2,211201,存入保證金,45816089
501,105,105,12,1,1,2,2,211301,應付代收款,91842
501,105,105,12,1,1,2,2,211401,應付保管款,44103270
501,105,105,12,1,1,2,3,310101,資產負債淨額,800
501,109,109,12,1,1,2,1,110103,專戶存款,128229931
501,109,109,12,1,1,2,1,110901,預付款,19396336
501,109,109,12,1,1,2,1,140101,土地,2452635244
501,109,109,12,1,1,2,1,140401,房屋建築及設備,338117168
501,109,109,12,1,1,2,1,140402,累計折舊─房屋建築及設備,-196108238
501,109,109,12,1,1,2,1,140501,機械及設備,189700184
501,109,109,12,1,1,2,1,140502,累計折舊─機械及設備,-101919015
501,109,109,12,1,1,2,1,140601,交通及運輸設備,43882336
501,109,109,12,1,1,2,1,140602,累計折舊─交通及運輸設備,-32918184
501,109,109,12,1,1,2,1,140701,雜項設備,99086080
501,109,109,12,1,1,2,1,140702,累計折舊─雜項設備,-77500123
501,109,109,12,1,1,2,1,141001,收藏品及傳承資產,3989
501,109,109,12,1,1,2,1,141101,購建中固定資產,3835362
501,109,109,12,1,1,2,1,160102,電腦軟體,314011075
501,109,109,12,1,1,2,1,160104,發展中之無形資產,48467906
501,109,109,12,1,1,2,1,180201,存出保證金,800
501,109,109,12,1,1,2,,1903,保證品,13076539
501,109,109,12,1,1,2,2,210302,應付代收款,43335
501,109,109,12,1,1,2,2,280301,存入保證金,79976838
501,109,109,12,1,1,2,2,280401,應付保管款,48209758
501,109,109,12,1,1,2,3,310101,資產負債淨額,3100690920
501,110,110,12,1,1,2,1,110103,專戶存款,137552498
501,110,110,12,1,1,2,1,110901,預付款,109642945
501,110,110,12,1,1,2,1,140101,土地,2452635244
501,110,110,12,1,1,2,1,140401,房屋建築及設備,338117168
501,110,110,12,1,1,2,1,140402,累計折舊─房屋建築及設備,-203118737
501,110,110,12,1,1,2,1,140501,機械及設備,257747679
501,110,110,12,1,1,2,1,140502,累計折舊─機械及設備,-130668496
501,110,110,12,1,1,2,1,140601,交通及運輸設備,64639670
501,110,110,12,1,1,2,1,140602,累計折舊─交通及運輸設備,-31217534
501,110,110,12,1,1,2,1,140701,雜項設備,104917509
501,110,110,12,1,1,2,1,140702,累計折舊─雜項設備,-78017645
501,110,110,12,1,1,2,1,141001,收藏品及傳承資產,3989
501,110,110,12,1,1,2,1,141101,購建中固定資產,5525587
501,110,110,12,1,1,2,1,160102,電腦軟體,350584299
501,110,110,12,1,1,2,1,160104,發展中之無形資產,145633034
501,110,110,12,1,1,2,1,180201,存出保證金,800
501,110,110,12,1,1,2,,1903,保證品,21436655
501,110,110,12,1,1,2,2,210302,應付代收款,189273
501,110,110,12,1,1,2,2,280301,存入保證金,84327952
501,110,110,12,1,1,2,2,280401,應付保管款,53035273
501,110,110,12,1,1,2,3,310101,資產負債淨額,3386425512
2001,105,105,12,1,1,2,1,110103,專戶存款,210825160
2001,105,105,12,1,1,2,1,110303,應收帳款,35342000
2001,105,105,12,1,1,2,1,110398,其他應收款,171938215
2001,105,105,12,1,1,2,1,110701,暫付款,279062
2001,105,105,12,1,1,2,1,110901,預付款,790115088
2001,105,105,12,1,1,2,1,111001,預付其他基金款,2105328350
2001,105,105,12,1,1,2,1,111101,預付其他政府款,140809314
2001,105,105,12,1,1,2,1,111201,存出保證金,49400
2001,105,105,12,1,1,2,,1903,保證品,61370705
2001,105,105,12,1,1,2,,1904,債權憑證,2
2001,105,105,12,1,1,2,2,210301,應付帳款,30963322
2001,105,105,12,1,1,2,2,210399,其他應付款,1219416737
2001,105,105,12,1,1,2,2,210401,應付其他基金款,200068786
2001,105,105,12,1,1,2,2,211201,存入保證金,80434323
2001,105,105,12,1,1,2,2,211301,應付代收款,41431281
2001,105,105,12,1,1,2,2,211401,應付保管款,89238618
2001,105,105,12,1,1,2,3,310101,資產負債淨額,1793133522
2001,109,109,12,1,1,2,1,110103,專戶存款,463739192
2001,109,109,12,1,1,2,1,110303,應收帳款,21797124
2001,109,109,12,1,1,2,1,110398,其他應收款,76030824
2001,109,109,12,1,1,2,1,110901,預付款,166693069
2001,109,109,12,1,1,2,1,111001,預付其他基金款,36066583
2001,109,109,12,1,1,2,1,111101,預付其他政府款,122118334
2001,109,109,12,1,1,2,1,130101,採權益法之投資,256069464540
2001,109,109,12,1,1,2,1,130102,採權益法之投資評價調整,103406175279
2001,109,109,12,1,1,2,1,130201,其他長期投資,68045056
2001,109,109,12,1,1,2,1,140101,土地,243805519990
2001,109,109,12,1,1,2,1,140201,土地改良物,422675285
2001,109,109,12,1,1,2,1,140202,累計折舊─土地改良物,-130577174
2001,109,109,12,1,1,2,1,140401,房屋建築及設備,62340692055
2001,109,109,12,1,1,2,1,140402,累計折舊─房屋建築及設備,-8152013399
2001,109,109,12,1,1,2,1,140501,機械及設備,1083685095
2001,109,109,12,1,1,2,1,140502,累計折舊─機械及設備,-829333370
2001,109,109,12,1,1,2,1,140601,交通及運輸設備,35599930
2001,109,109,12,1,1,2,1,140602,累計折舊─交通及運輸設備,-25948879
2001,109,109,12,1,1,2,1,140701,雜項設備,318911814
2001,109,109,12,1,1,2,1,140702,累計折舊─雜項設備,-139640771
2001,109,109,12,1,1,2,1,141001,收藏品及傳承資產,14284249857
2001,109,109,12,1,1,2,1,141101,購建中固定資產,564422108
2001,109,109,12,1,1,2,1,160101,權利,133367
2001,109,109,12,1,1,2,1,160102,電腦軟體,165772305
2001,109,109,12,1,1,2,1,180101,暫付款,41445134
2001,109,109,12,1,1,2,1,180201,存出保證金,29990
2001,109,109,12,1,1,2,,1903,保證品,7039901
2001,109,109,12,1,1,2,,1904,債權憑證,5
2001,109,109,12,1,1,2,2,210301,應付帳款,154203860
2001,109,109,12,1,1,2,2,210302,應付代收款,243123832
2001,109,109,12,1,1,2,2,210401,應付其他基金款,1323459
2001,109,109,12,1,1,2,2,210501,應付其他政府款,99678676
2001,109,109,12,1,1,2,2,280301,存入保證金,47685097
2001,109,109,12,1,1,2,2,280401,應付保管款,214375397
2001,109,109,12,1,1,2,3,310101,資產負債淨額,673455363017
