id,time,會計年度,項目及摘要,金額
201,105,105,收項,0
201,105,105,一、上期結存,"24,152,687"
201,105,105,1.專戶存款,"24,152,687"
201,105,105,二、本期收入,"1,101,508,635"
201,105,105,1.本年度歲入,"2,407,058"
201,105,105,1.實現數,"2,407,058"
201,105,105,2.歲入應收數,"107,129"
201,105,105,1.以前年度轉入實現數,"107,129"
201,105,105,3.存入保證金淨增減數,"1,240,760"
201,105,105,4.應付代收款淨增減數,"-8,725,087"
201,105,105,5.應付保管款淨增減數,"-1,711,207"
201,105,105,6.公庫撥入數,"1,106,845,450"
201,105,105,1.本年度歲出撥款,"1,094,021,551"
201,105,105,2.以前年度歲出撥款,"12,823,899"
201,105,105,7.資產負債淨額淨增減數,"1,344,532"
201,105,105,1.註銷以前年度歲出保留數,"1,363,586"
201,105,105,2.註銷存出保證金-,"-19,054"
201,105,105," 收項總計","1,125,661,322"
201,105,105,付項,0
201,105,105,一、本期支出,"1,110,704,169"
201,105,105,1.本年度歲出,"1,141,192,788"
201,105,105,1.實現數,"1,094,020,551"
201,105,105,2.保留數,"47,172,237"
201,105,105,2.歲出應付數,"15,715"
201,105,105,1.以前年度轉入實現數,"15,715"
201,105,105,3.歲出保留數,"-32,984,752"
201,105,105,1.以前年度轉入實現數,"12,823,899"
201,105,105,2.以前年度轉入註銷數,"1,363,586"
201,105,105,3.本年度新增保留數-,"-47,172,237"
201,105,105,4.預付款淨增減數,"-15,715"
201,105,105,5.存出保證金淨增減數,"-37,108"
201,105,105,6.繳付公庫數,"2,533,241"
201,105,105,1.本年度歲入繳庫,"2,407,058"
201,105,105,2.以前年度歲入繳庫,"107,129"
201,105,105,3.以前年度歲出賸餘繳庫,"19,054"
201,105,105,二、本期結存,"14,957,153"
201,105,105,1.專戶存款,"14,957,153"
201,105,105," 付項總計","1,125,661,322"
240,105,105,收項,0
240,105,105,一、上期結存,"242,473,404"
240,105,105,1.專戶存款,"242,473,404"
240,105,105,二、本期收入,"15,670,009,780"
240,105,105,1.本年度歲入,"170,413,359"
240,105,105,1.實現數,"170,413,359"
240,105,105,2.其他應收款淨增減數,0
240,105,105,1.以前年度應付及保留數已撥註銷待繳庫數-,"-901,463"
240,105,105,2.以前年度歲出賸餘繳庫數,"901,463"
240,105,105,3.預收款淨增減數,"-73,093"
240,105,105,4.存入保證金淨增減數,"15,566,613"
240,105,105,5.應付代收款淨增減數,"-19,745,308"
240,105,105,6.應付保管款淨增減數,"-1,127,262"
240,105,105,7.公庫撥入數,"15,499,279,656"
240,105,105,1.本年度歲出撥款,"14,753,180,070"
240,105,105,2.以前年度歲出撥款,"745,933,794"
240,105,105,3.退還以前年度歲入繳庫款,"92,699"
240,105,105,4.退還以前年度預收繳庫款,"73,093"
240,105,105,8.資產負債淨額淨增減數,"5,695,815"
240,105,105,1.退還以前年度歲入繳庫數-,"-92,699"
240,105,105,2.註銷以前年度歲出保留數,"5,788,514"
240,105,105," 收項總計","15,912,483,184"
240,105,105,付項,0
240,105,105,一、本期支出,"15,675,315,737"
240,105,105,1.本年度歲出,"15,166,550,805"
240,105,105,1.實現數,"14,699,645,093"
240,105,105,2.保留數,"466,905,712"
240,105,105,2.歲出保留數,"826,782,013"
240,105,105,1.以前年度轉入實現數,"1,287,899,211"
240,105,105,2.以前年度轉入註銷數,"5,788,514"
240,105,105,3.本年度新增保留數-,"-466,905,712"
240,105,105,3.預付款淨增減數,"-489,331,903"
240,105,105,4.繳付公庫數,"171,314,822"
240,105,105,1.本年度歲入繳庫,"170,413,359"
240,105,105,2.以前年度歲出賸餘繳庫,"901,463"
240,105,105,二、本期結存,"237,167,447"
240,105,105,1.專戶存款,"237,167,447"
240,105,105," 付項總計","15,912,483,184"
401,105,105,收項,0
401,105,105,一、上期結存,"161,304,510"
401,105,105,1.專戶存款,"161,304,510"
401,105,105,二、本期收入,"3,550,952,652"
401,105,105,1.本年度歲入,"45,800,817"
401,105,105,1.實現數,"45,800,817"
401,105,105,2.存入保證金淨增減數,"-1,525,004"
401,105,105,3.應付代收款淨增減數,"-2,116,767"
401,105,105,4.應付保管款淨增減數,"3,486,091"
401,105,105,5.公庫撥入數,"3,478,870,259"
401,105,105,1.本年度歲出撥款,"3,420,542,382"
401,105,105,2.以前年度歲出撥款,"58,327,877"
401,105,105,6.資產負債淨額淨增減數,"26,437,256"
401,105,105,1.註銷以前年度歲出保留數,"26,437,256"
401,105,105," 收項總計","3,712,257,162"
401,105,105,付項,0
401,105,105,一、本期支出,"3,551,108,332"
401,105,105,1.本年度歲出,"3,539,325,321"
401,105,105,1.實現數,"3,420,542,382"
401,105,105,2.保留數,"118,782,939"
401,105,105,2.歲出保留數,"-34,017,806"
401,105,105,1.以前年度轉入實現數,"58,327,877"
401,105,105,2.以前年度轉入註銷數,"26,437,256"
401,105,105,3.本年度新增保留數-,"-118,782,939"
401,105,105,3.繳付公庫數,"45,800,817"
401,105,105,1.本年度歲入繳庫,"45,800,817"
401,105,105,二、本期結存,"161,148,830"
401,105,105,1.專戶存款,"161,148,830"
401,105,105," 付項總計","3,712,257,162"
501,105,105,收項,0
501,105,105,一、上期結存,"85,777,662"
501,105,105,1.專戶存款,"85,777,662"
501,105,105,二、本期收入,"2,628,550,332"
501,105,105,1.本年度歲入,"9,386,258"
501,105,105,1.實現數,"9,386,258"
501,105,105,2.存入保證金淨增減數,"9,007,231"
501,105,105,3.應付代收款淨增減數,"48,111"
501,105,105,4.應付保管款淨增減數,"-4,821,803"
501,105,105,5.公庫撥入數,"2,613,993,205"
501,105,105,1.本年度歲出撥款,"2,567,596,939"
501,105,105,2.以前年度歲出撥款,"46,396,266"
501,105,105,6.資產負債淨額淨增減數,"937,330"
501,105,105,1.註銷以前年度歲出保留數,"937,330"
501,105,105," 收項總計","2,714,327,994"
501,105,105,付項,0
501,105,105,一、本期支出,"2,624,316,793"
501,105,105,1.本年度歲出,"2,728,615,515"
501,105,105,1.實現數,"2,567,596,939"
501,105,105,2.保留數,"161,018,576"
501,105,105,2.歲出保留數,"-113,684,980"
501,105,105,1.以前年度轉入實現數,"46,396,266"
501,105,105,2.以前年度轉入註銷數,"937,330"
501,105,105,3.本年度新增保留數-,"-161,018,576"
501,105,105,3.繳付公庫數,"9,386,258"
501,105,105,1.本年度歲入繳庫,"9,386,258"
501,105,105,二、本期結存,"90,011,201"
501,105,105,1.專戶存款,"90,011,201"
501,105,105," 付項總計","2,714,327,994"
501,106,106,收項,0
501,106,106,一、上期結存,"90,011,201"
501,106,106,1.專戶存款,"90,011,201"
501,106,106,二、本期收入,"2,916,486,466"
501,106,106,1.本年度歲入,"15,012,957"
501,106,106,1.實現數,"15,012,957"
501,106,106,2.存入保證金淨增減數,"12,464,044"
501,106,106,3.應付代收款淨增減數,"-71,654"
501,106,106,4.應付保管款淨增減數,"4,453,542"
501,106,106,5.公庫撥入數,"2,884,627,577"
501,106,106,1.本年度歲出撥款,"2,753,980,690"
501,106,106,2.以前年度歲出撥款,"130,646,887"
501,106,106," 收項總計","3,006,497,667"
501,106,106,付項,0
501,106,106,一、本期支出,"2,899,640,534"
501,106,106,1.本年度歲出,"2,841,111,255"
501,106,106,1.實現數,"2,743,192,546"
501,106,106,2.保留數,"97,918,709"
501,106,106,2.歲出保留數,"32,728,178"
501,106,106,1.以前年度轉入實現數,"130,646,887"
501,106,106,2.本年度新增保留數-,"-97,918,709"
501,106,106,3.預付款淨增減數,"10,788,144"
501,106,106,4.繳付公庫數,"15,012,957"
501,106,106,1.本年度歲入繳庫,"15,012,957"
501,106,106,二、本期結存,"106,857,133"
501,106,106,1.專戶存款,"106,857,133"
501,106,106," 付項總計","3,006,497,667"
501,107,107,收項,0
501,107,107,一、上期結存,"106,857,133"
501,107,107,1.專戶存款,"106,857,133"
501,107,107,二、本期收入,"2,839,547,798"
501,107,107,1.本年度歲入,"16,299,900"
501,107,107,1.實現數,"16,299,900"
501,107,107,2.其他應收款淨增減數,0
501,107,107,1.以前年度應付及保留數已撥註銷待繳庫數-,"-2,348,221"
501,107,107,2.以前年度歲出賸餘繳庫數,"2,348,221"
501,107,107,3.存入保證金淨增減數,"5,684,748"
501,107,107,4.應付代收款淨增減數,"-4,273"
501,107,107,5.應付保管款淨增減數,"5,500,771"
501,107,107,6.公庫撥入數,"2,812,066,652"
501,107,107,1.本年度歲出撥款,"2,771,601,287"
501,107,107,2.以前年度歲出撥款,"40,465,365"
501,107,107," 收項總計","2,946,404,931"
501,107,107,付項,0
501,107,107,一、本期支出,"2,828,366,552"
501,107,107,1.本年度歲出,"2,937,230,685"
501,107,107,1.實現數,"2,762,574,926"
501,107,107,2.保留數,"174,655,759"
501,107,107,2.歲出保留數,"-125,750,471"
501,107,107,1.以前年度轉入實現數,"48,905,288"
501,107,107,2.本年度新增保留數-,"-174,655,759"
501,107,107,3.預付款淨增減數,"-1,761,783"
501,107,107,4.繳付公庫數,"18,648,121"
