id,time,會計年度,款,項,目,節,預算科目編號,預算科目名稱,細目編號,細目名稱,預算數_原預算數,預算數_預算增減數,預算數_合計1,決算數_實現數,決算數_應收數,決算數_保留數,決算數_合計2,預決算比較增減數,決算數占預算數之比率
201,105,105,02,,,,0400000000-2,罰款及賠償收入,,,0,0,0,"7,238",0,0,"7,238","7,238",
201,105,105,,01,,,0402010000-6,總統府,,,0,0,0,"7,238",0,0,"7,238","7,238",
201,105,105,,,01,,0402010300-0,賠償收入,,,0,0,0,"7,238",0,0,"7,238","7,238",
201,105,105,,,,01,0402010301-2,一般賠償收入,,,0,0,0,"7,238",0,0,"7,238","7,238",
201,105,105,03,,,,0500000000-8,規費收入,,,"131,000",0,"131,000","96,024",0,0,"96,024","-34,976",73.30
201,105,105,,01,,,0502010000-1,總統府,,,"131,000",0,"131,000","96,024",0,0,"96,024","-34,976",73.30
201,105,105,,,01,,0502010300-5,使用規費收入,,,"131,000",0,"131,000","96,024",0,0,"96,024","-34,976",73.30
201,105,105,,,,01,0502010305-9,資料使用費,,,"131,000",0,"131,000","96,024",0,0,"96,024","-34,976",73.30
201,105,105,04,,,,0700000000-9,財產收入,,,"1,986,000",0,"1,986,000","1,719,696",0,0,"1,719,696","-266,304",86.59
201,105,105,,01,,,0702010000-2,總統府,,,"1,986,000",0,"1,986,000","1,719,696",0,0,"1,719,696","-266,304",86.59
201,105,105,,,01,,0702010100-7,財產孳息,,,"1,896,000",0,"1,896,000","1,417,365",0,0,"1,417,365","-478,635",74.76
201,105,105,,,,01,0702010105-0,權利金,,,"1,370,000",0,"1,370,000","930,710",0,0,"930,710","-439,290",67.94
201,105,105,,,,02,0702010106-3,租金收入,,,"526,000",0,"526,000","486,655",0,0,"486,655","-39,345",92.52
201,105,105,,,02,,0702010600-0,廢舊物資售價,,,"90,000",0,"90,000","302,331",0,0,"302,331","212,331",335.92
201,105,105,07,,,,1100000000-2,其他收入,,,"315,000",0,"315,000","584,100",0,0,"584,100","269,100",185.43
201,105,105,,01,,,1102010000-6,總統府,,,"315,000",0,"315,000","584,100",0,0,"584,100","269,100",185.43
201,105,105,,,01,,1102010900-7,雜項收入,,,"315,000",0,"315,000","584,100",0,0,"584,100","269,100",185.43
201,105,105,,,,01,1102010901-0,收回以前年度歲出,,,0,0,0,"259,871",0,0,"259,871","259,871",
