id,time,會計年度,款,項,目,節,預算科目編號,預算科目名稱,分計畫編號,分計畫名稱,用途別編號,用途別名稱,原預算數,預算追加減數,動支第一預備金數,動支第二預備金數,經費流用數,預算調整數,預算增減數小計,預算數合計1,實現數,應付數,保留數,決算數合計2,預決算比較增減數,決算數占預算數之比率
201,106,106,01,,,,0002000000-8,總統府主管,,,,,"953,475,000",0,0,0,0,0,0,"953,475,000","878,073,939",0,"7,698,406","885,772,345","-67,702,655",92.90
201,106,106,,,,,　經常門小計,,,,,,"934,140,000",0,0,0,"-3,323,978",0,"-3,323,978","930,816,022","856,802,716",0,"6,310,651","863,113,367","-67,702,655",92.73
201,106,106,,,,,　資本門小計,,,,,,"19,335,000",0,0,0,"3,323,978",0,"3,323,978","22,658,978","21,271,223",0,"1,387,755","22,658,978",0,100.00
201,106,106,,01,,,0002010000-4,總統府,,,,,"953,475,000",0,0,0,0,0,0,"953,475,000","878,073,939",0,"7,698,406","885,772,345","-67,702,655",92.90
201,106,106,,,,,　經常門小計,,,,,,"934,140,000",0,0,0,"-3,323,978",0,"-3,323,978","930,816,022","856,802,716",0,"6,310,651","863,113,367","-67,702,655",92.73
201,106,106,,,,,　資本門小計,,,,,,"19,335,000",0,0,0,"3,323,978",0,"3,323,978","22,658,978","21,271,223",0,"1,387,755","22,658,978",0,100.00
201,106,106,,,01,,3202010100-9,一般行政,,,,,"827,525,000",0,0,0,"-3,323,978",0,"-3,323,978","824,201,022","763,119,754",0,"229,200","763,348,954","-60,852,068",92.62
201,106,106,,,,,01,人事費,,,0100,人事費,"634,510,000",0,0,0,0,0,0,"634,510,000","590,682,779",0,0,"590,682,779","-43,827,221",93.09
201,106,106,,,,,02,業務費,,,0200,業務費,"191,948,000",0,0,0,"-3,323,978",0,"-3,323,978","188,624,022","171,547,975",0,"229,200","171,777,175","-16,846,847",91.07
201,106,106,,,,,04,獎補助費,,,0400,獎補助費,"1,067,000",0,0,0,0,0,0,"1,067,000","889,000",0,0,"889,000","-178,000",83.32
201,106,106,,,01,,3202010100-9*,一般行政,,,,,"19,335,000",0,0,0,"3,323,978",0,"3,323,978","22,658,978","21,271,223",0,"1,387,755","22,658,978",0,100.00
201,106,106,,,,,03,設備及投資,,,0300,設備及投資,"19,335,000",0,0,0,"3,323,978",0,"3,323,978","22,658,978","21,271,223",0,"1,387,755","22,658,978",0,100.00
201,106,106,,,02,,3202010200-3,國務機要,,,,,"30,000,000",0,0,0,0,0,0,"30,000,000","29,592,031",0,0,"29,592,031","-407,969",98.64
201,106,106,,,,,02,業務費,,,0200,業務費,"30,000,000",0,0,0,0,0,0,"30,000,000","29,592,031",0,0,"29,592,031","-407,969",98.64
201,106,106,,,03,,3202010300-8,國家慶典,,,,,"16,575,000",0,0,0,0,0,0,"16,575,000","14,906,409",0,0,"14,906,409","-1,668,591",89.93
201,106,106,,,,,02,業務費,,,0200,業務費,"16,575,000",0,0,0,0,0,0,"16,575,000","14,906,409",0,0,"14,906,409","-1,668,591",89.93
201,106,106,,,04,,3202010400-2,研究發展,,,,,"12,126,000",0,0,0,0,0,0,"12,126,000","10,269,264",0,0,"10,269,264","-1,856,736",84.69
201,106,106,,,,01,3202010401-5,國家發展研究及諮詢,,,,,"12,126,000",0,0,0,0,0,0,"12,126,000","10,269,264",0,0,"10,269,264","-1,856,736",84.69
201,106,106,,,,,02,業務費,,,0200,業務費,"12,126,000",0,0,0,0,0,0,"12,126,000","10,269,264",0,0,"10,269,264","-1,856,736",84.69
201,106,106,,,05,,3202010500-7,新聞發布,,,,,"11,366,000",0,0,0,0,0,0,"11,366,000","9,793,191",0,"787,000","10,580,191","-785,809",93.09
201,106,106,,,,,02,業務費,,,0200,業務費,"11,366,000",0,0,0,0,0,0,"11,366,000","9,793,191",0,"787,000","10,580,191","-785,809",93.09
201,106,106,,,06,,3202010600-1,卸任禮遇,,,,,"25,255,000",0,"1,800,000",0,0,0,"1,800,000","27,055,000","22,313,294",0,"4,624,256","26,937,550","-117,450",99.57
201,106,106,,,,,01,人事費,,,0100,人事費,"8,405,000",0,0,0,0,0,0,"8,405,000","8,404,800",0,0,"8,404,800",-200,100.00
201,106,106,,,,,02,業務費,,,0200,業務費,"16,850,000",0,"1,800,000",0,0,0,"1,800,000","18,650,000","13,908,494",0,"4,624,256","18,532,750","-117,250",99.37
201,106,106,,,07,,3202010800-0,公報編印及印信勳章鑄造,,,,,"9,220,000",0,0,0,0,0,0,"9,220,000","6,808,773",0,"670,195","7,478,968","-1,741,032",81.12
201,106,106,,,,,02,業務費,,,0200,業務費,"9,220,000",0,0,0,0,0,0,"9,220,000","6,808,773",0,"670,195","7,478,968","-1,741,032",81.12
201,106,106,,,08,,3202019800-0,第一預備金,,,,,"2,073,000",0,"-1,800,000",0,0,0,"-1,800,000","273,000",0,0,0,0,"-273,000",0.00
201,106,106,,,,,09,預備金,,,0900,預備金,"2,073,000",0,"-1,800,000",0,0,0,"-1,800,000","273,000",0,0,0,0,"-273,000",0.00
201,106,106,02,,,,8903304500-4,"公教人員婚喪生育及子女教育
補助",,,,,"7,749,958",0,0,0,0,0,0,"7,749,958","7,749,958",0,0,"7,749,958",0,100.00
201,106,106,,,,,01,人事費,,,0100,人事費,"7,749,958",0,0,0,0,0,0,"7,749,958","7,749,958",0,0,"7,749,958",0,100.00
201,106,106,,,,,　經常門小計,,,,,,"7,749,958",0,0,0,0,0,0,"7,749,958","7,749,958",0,0,"7,749,958",0,100.00
201,106,106,05,,,,6806205800-3,"早期退休公教人員生活困難照
護金",,,,,"279,000",0,0,0,0,0,0,"279,000","279,000",0,0,"279,000",0,100.00
201,106,106,,,,,04,獎補助費,,,0400,獎補助費,"279,000",0,0,0,0,0,0,"279,000","279,000",0,0,"279,000",0,100.00
201,106,106,05,,,,7506205300-0,公務人員退休撫卹給付,,,,,"88,429,317",0,0,"1,568,525",0,0,"1,568,525","89,997,842","89,997,842",0,0,"89,997,842",0,100.00
201,106,106,,,,,01,人事費,,,0100,人事費,"88,429,317",0,0,"1,568,525",0,0,"1,568,525","89,997,842","89,997,842",0,0,"89,997,842",0,100.00
201,106,106,,,,,　經常門小計,,,,,,"88,708,317",0,0,"1,568,525",0,0,"1,568,525","90,276,842","90,276,842",0,0,"90,276,842",0,100.00
201,106,106,,,,,統籌科目小計,,,,,,"96,458,275",0,0,"1,568,525",0,0,"1,568,525","98,026,800","98,026,800",0,0,"98,026,800",0,100.00
201,106,106,,,,,合計,,,,,,"1,049,933,275",0,0,"1,568,525",0,0,"1,568,525","1,051,501,800","976,100,739",0,"7,698,406","983,799,145","-67,702,655",93.56
201,107,107,01,,,,0002000000-8,總統府主管,,,,,"920,582,000",0,0,0,0,0,0,"920,582,000","881,814,521",0,"13,632,196","895,446,717","-25,135,283",97.27
201,107,107,,,,,　經常門小計,,,,,,"898,700,000",0,0,0,"-4,364,049",0,"-4,364,049","894,335,951","855,568,472",0,"13,632,196","869,200,668","-25,135,283",97.19
201,107,107,,,,,　資本門小計,,,,,,"21,882,000",0,0,0,"4,364,049",0,"4,364,049","26,246,049","26,246,049",0,0,"26,246,049",0,100.00
201,107,107,,01,,,0002010000-4,總統府,,,,,"920,582,000",0,0,0,0,0,0,"920,582,000","881,814,521",0,"13,632,196","895,446,717","-25,135,283",97.27
201,107,107,,,,,　經常門小計,,,,,,"898,700,000",0,0,0,"-4,364,049",0,"-4,364,049","894,335,951","855,568,472",0,"13,632,196","869,200,668","-25,135,283",97.19
201,107,107,,,,,　資本門小計,,,,,,"21,882,000",0,0,0,"4,364,049",0,"4,364,049","26,246,049","26,246,049",0,0,"26,246,049",0,100.00
201,107,107,,,01,,3202010100-9,一般行政,,,,,"804,501,000",0,0,0,"-4,364,049",0,"-4,364,049","800,136,951","769,252,695",0,"8,509,251","777,761,946","-22,375,005",97.20
201,107,107,,,,,01,人事費,,,0100,人事費,"615,358,000",0,0,0,0,0,0,"615,358,000","607,112,306",0,0,"607,112,306","-8,245,694",98.66
201,107,107,,,,,02,業務費,,,0200,業務費,"188,166,000",0,0,0,"-4,364,049",0,"-4,364,049","183,801,951","161,280,889",0,"8,509,251","169,790,140","-14,011,811",92.38
201,107,107,,,,,04,獎補助費,,,0400,獎補助費,"977,000",0,0,0,0,0,0,"977,000","859,500",0,0,"859,500","-117,500",87.97
201,107,107,,,01,,3202010100-9*,一般行政,,,,,"21,882,000",0,0,0,"4,364,049",0,"4,364,049","26,246,049","26,246,049",0,0,"26,246,049",0,100.00
201,107,107,,,,,03,設備及投資,,,0300,設備及投資,"21,882,000",0,0,0,"4,364,049",0,"4,364,049","26,246,049","26,246,049",0,0,"26,246,049",0,100.00
201,107,107,,,02,,3202010200-3,國務機要,,,,,"30,000,000",0,0,0,0,0,0,"30,000,000","29,998,454",0,0,"29,998,454","-1,546",99.99
201,107,107,,,,,02,業務費,,,0200,業務費,"30,000,000",0,0,0,0,0,0,"30,000,000","29,998,454",0,0,"29,998,454","-1,546",99.99
