id,time,會計年度,款,項,目,節,預算科目編號,預算科目名稱,分計畫編號,分計畫名稱,經常支出_人事費,經常支出_業務費,經常支出_獎補助費,經常支出_債務費,經常支出_小計,資本資出_業務費,資本資出_設備及投資,資本資出_獎補助費,資本資出_小計,合計,備註
201,105,105,01,,,,0002000000-8,總統府主管,,,"659,654,577","286,910,720","2,593,200",0,"949,158,497",0,"50,026,303",0,"50,026,303","999,184,800",
201,105,105,,01,,,0002010000-4,總統府,,,"659,654,577","286,910,720","2,593,200",0,"949,158,497",0,"50,026,303",0,"50,026,303","999,184,800",
201,105,105,,,01,,3202010100-9,一般行政,,,"651,227,782","170,681,311","2,593,200",0,"824,502,293",0,"50,026,303",0,"50,026,303","874,528,596",
201,105,105,,,02,,3202010200-3,國務機要,,,0,"29,785,831",0,0,"29,785,831",0,0,0,0,"29,785,831",
201,105,105,,,03,,3202010300-8,國家慶典,,,"354,586","45,720,736",0,0,"46,075,322",0,0,0,0,"46,075,322",
201,105,105,,,04,,3202010400-2,研究發展,,,0,"7,406,478",0,0,"7,406,478",0,0,0,0,"7,406,478",
201,105,105,,,,01,3202010401-5,"國家發展研究及
諮詢",,,0,"7,406,478",0,0,"7,406,478",0,0,0,0,"7,406,478",
201,105,105,,,05,,3202010500-7,新聞發布,,,0,"9,732,529",0,0,"9,732,529",0,0,0,0,"9,732,529",
201,105,105,,,06,,3202010600-1,卸任禮遇,,,"8,072,209","16,473,530",0,0,"24,545,739",0,0,0,0,"24,545,739",
201,105,105,,,07,,3202010800-0,"公報編印及印信勳
章鑄造",,,0,"7,110,305",0,0,"7,110,305",0,0,0,0,"7,110,305",
201,105,105,,,,,00020000000-8,"總統
府主
管",,,"659,654,577","286,910,720","2,593,200",0,"949,158,497",0,"50,026,303",0,"50,026,303","999,184,800",
201,105,105,01,,,,0002000000-8,總統府主管,,,0,"47,172,237",0,0,"47,172,237",0,0,0,0,"47,172,237",
201,105,105,,01,,,0002010000-4,總統府,,,0,"47,172,237",0,0,"47,172,237",0,0,0,0,"47,172,237",
201,105,105,,,01,,3202010100-9,一般行政,,,0,"42,522,954",0,0,"42,522,954",0,0,0,0,"42,522,954",
201,105,105,,,06,,3202010600-1,卸任禮遇,,,0,"4,649,283",0,0,"4,649,283",0,0,0,0,"4,649,283",
201,105,105,,,,,00020000000-8,"總統
府主
管",,,0,"47,172,237",0,0,"47,172,237",0,0,0,0,"47,172,237",
201,105,105,,,,,00020000000-8,"總
統
府
主
管",,,"659,654,577","334,082,957","2,593,200",0,"996,330,734",0,"50,026,303",0,"50,026,303","1,046,357,037",
201,110,110,1,,,,0002000000-8,總統府主管,,,0,0,0,0,0,0,0,0,0,0,
201,110,110,,1,,,0002010000-4,總統府,,,606473984,257282309,796669,0,864552962,0,46213023,0,46213023,910765985,
201,110,110,,,1,,3102010100-3,一般行政,,,603291284,195483823,796669,0,799571776,0,38214704,0,38214704,837786480,
201,110,110,,,2,,3102010200-8,國務機要,,,0,29999482,0,0,29999482,0,0,0,0,29999482,
201,110,110,,,3,,3102010300-2,國家慶典,,,0,15220658,0,0,15220658,0,0,0,0,15220658,
201,110,110,,,4,,3102010400-7,研究發展,,,0,4438108,0,0,4438108,0,0,0,0,4438108,
201,110,110,,,,1,3102010401-0,"國家發展研究及
諮詢",,,0,4438108,0,0,4438108,0,0,0,0,4438108,
201,110,110,,,5,,3102010500-1,新聞發布,,,0,5025341,0,0,5025341,0,0,0,0,5025341,
201,110,110,,,6,,3102010600-6,卸任禮遇,,,3182700,2935531,0,0,6118231,0,0,0,0,6118231,
201,110,110,,,7,,3102010800-5,"公報編印及印信勳
章鑄造",,,0,4179366,0,0,4179366,0,0,0,0,4179366,
201,110,110,,,8,,3102019000-8,一般建築及設備,,,0,0,0,0,0,0,7998319,0,7998319,7998319,
201,110,110,,,,1,3102019011-4,交通及運輸設備,,,0,0,0,0,0,0,7998319,0,7998319,7998319,
201,110,110,,,,,,小計,,,606473984,257282309,796669,0,864552962,0,46213023,0,46213023,910765985,
201,110,110,1,,,,0002000000-8,總統府主管,,,0,0,0,0,0,0,0,0,0,0,
201,110,110,,1,,,0002010000-4,總統府,,,0,5315144,0,0,5315144,0,7188000,0,7188000,12503144,
201,110,110,,,1,,3102010100-3,一般行政,,,0,3045000,0,0,3045000,0,7188000,0,7188000,10233000,
201,110,110,,,6,,3102010600-6,卸任禮遇,,,0,2270144,0,0,2270144,0,0,0,0,2270144,
201,110,110,,,,,,保留數,,,0,5315144,0,0,5315144,0,7188000,0,7188000,12503144,
201,110,110,,,,,,合計,,,606473984,262597453,796669,0,869868106,0,53401023,0,53401023,923269129,
201,111,111,1,,,,0002000000-8,總統府主管,,,0,0,0,0,0,0,0,0,0,0,
201,111,111,,1,,,0002010000-4,總統府,,,616487503,242247878,792500,0,859527881,0,43627207,0,43627207,903155088,
201,111,111,,,1,,3102010100-3,一般行政,,,613304803,179516215,792500,0,793613518,0,33877726,0,33877726,827491244,
201,111,111,,,2,,3102010200-8,國務機要,,,0,29972723,0,0,29972723,0,0,0,0,29972723,
201,111,111,,,3,,3102010300-2,國家慶典,,,0,15596668,0,0,15596668,0,0,0,0,15596668,
201,111,111,,,4,,3102010400-7,研究發展,,,0,4551940,0,0,4551940,0,0,0,0,4551940,
201,111,111,,,,1,3102010401-0,"國家發展研究及
諮詢",,,0,4551940,0,0,4551940,0,0,0,0,4551940,
201,111,111,,,5,,3102010500-1,新聞發布,,,0,6525261,0,0,6525261,0,0,0,0,6525261,
201,111,111,,,6,,3102010600-6,卸任禮遇,,,3182700,2685630,0,0,5868330,0,0,0,0,5868330,
201,111,111,,,7,,3102010800-5,"公報編印及印信勳
章鑄造",,,0,3399441,0,0,3399441,0,0,0,0,3399441,
201,111,111,,,8,,3102019000-8,一般建築及設備,,,0,0,0,0,0,0,9749481,0,9749481,9749481,
201,111,111,,,,1,3102019011-4,交通及運輸設備,,,0,0,0,0,0,0,9749481,0,9749481,9749481,
201,111,111,,,,,,小計,,,616487503,242247878,792500,0,859527881,0,43627207,0,43627207,903155088,
201,111,111,1,,,,0002000000-8,總統府主管,,,0,0,0,0,0,0,0,0,0,0,
201,111,111,,1,,,0002010000-4,總統府,,,0,38956159,0,0,38956159,0,12221985,0,12221985,51178144,
201,111,111,,,1,,3102010100-3,一般行政,,,0,36418673,0,0,36418673,0,12221985,0,12221985,48640658,
