id,time,會計年度,預算科目編號,預算科目名稱,分計畫編號,分計畫名稱,用途別編號,用途別名稱,執行數,保留數
201,105,105,32020010100,一般行政,,,01,人事費,"651,227,782.00",
201,105,105,32020010200,國務機要,,,01,人事費,0.00,
201,105,105,32020010300,國家慶典,,,01,人事費,"354,586.00",
201,105,105,32020010401,國家發展研究及諮詢,,,01,人事費,0.00,
201,105,105,32020010500,新聞發布,,,01,人事費,0.00,
201,105,105,32020010600,卸任禮遇,,,01,人事費,"8,072,209.00",
201,105,105,32020010800,公報編印及印信勳章鑄造,,,01,人事費,0.00,
201,105,105,32020010100,一般行政,,,0102,政務人員待遇,"16,037,687.00",
201,105,105,32020010200,國務機要,,,0102,政務人員待遇,0.00,
201,105,105,32020010300,國家慶典,,,0102,政務人員待遇,0.00,
201,105,105,32020010401,國家發展研究及諮詢,,,0102,政務人員待遇,0.00,
201,105,105,32020010500,新聞發布,,,0102,政務人員待遇,0.00,
201,105,105,32020010600,卸任禮遇,,,0102,政務人員待遇,"8,072,209.00",
201,105,105,32020010800,公報編印及印信勳章鑄造,,,0102,政務人員待遇,0.00,
201,105,105,32020010100,一般行政,,,0103,法定編制人員待遇,"306,056,062.00",
201,105,105,32020010200,國務機要,,,0103,法定編制人員待遇,0.00,
201,105,105,32020010300,國家慶典,,,0103,法定編制人員待遇,0.00,
201,105,105,32020010401,國家發展研究及諮詢,,,0103,法定編制人員待遇,0.00,
201,105,105,32020010500,新聞發布,,,0103,法定編制人員待遇,0.00,
201,105,105,32020010600,卸任禮遇,,,0103,法定編制人員待遇,0.00,
201,105,105,32020010800,公報編印及印信勳章鑄造,,,0103,法定編制人員待遇,0.00,
201,105,105,32020010100,一般行政,,,0104,約聘僱人員待遇,"11,421,943.00",
201,105,105,32020010200,國務機要,,,0104,約聘僱人員待遇,0.00,
201,105,105,32020010300,國家慶典,,,0104,約聘僱人員待遇,0.00,
201,105,105,32020010401,國家發展研究及諮詢,,,0104,約聘僱人員待遇,0.00,
201,105,105,32020010500,新聞發布,,,0104,約聘僱人員待遇,0.00,
201,105,105,32020010600,卸任禮遇,,,0104,約聘僱人員待遇,0.00,
201,105,105,32020010800,公報編印及印信勳章鑄造,,,0104,約聘僱人員待遇,0.00,
201,105,105,32020010100,一般行政,,,0105,技工及工友待遇,"49,814,038.00",
201,105,105,32020010200,國務機要,,,0105,技工及工友待遇,0.00,
201,105,105,32020010300,國家慶典,,,0105,技工及工友待遇,0.00,
201,105,105,32020010401,國家發展研究及諮詢,,,0105,技工及工友待遇,0.00,
201,105,105,32020010500,新聞發布,,,0105,技工及工友待遇,0.00,
201,105,105,32020010600,卸任禮遇,,,0105,技工及工友待遇,0.00,
201,105,105,32020010800,公報編印及印信勳章鑄造,,,0105,技工及工友待遇,0.00,
201,105,105,32020010100,一般行政,,,0111,獎金,"108,635,363.00",
201,105,105,32020010200,國務機要,,,0111,獎金,0.00,
201,105,105,32020010300,國家慶典,,,0111,獎金,0.00,
201,105,105,32020010401,國家發展研究及諮詢,,,0111,獎金,0.00,
201,105,105,32020010500,新聞發布,,,0111,獎金,0.00,
201,105,105,32020010600,卸任禮遇,,,0111,獎金,0.00,
201,105,105,32020010800,公報編印及印信勳章鑄造,,,0111,獎金,0.00,
201,105,105,32020010100,一般行政,,,0121,其他給與,"9,434,373.00",
201,105,105,32020010200,國務機要,,,0121,其他給與,0.00,
201,105,105,32020010300,國家慶典,,,0121,其他給與,0.00,
201,105,105,32020010401,國家發展研究及諮詢,,,0121,其他給與,0.00,
201,105,105,32020010500,新聞發布,,,0121,其他給與,0.00,
201,105,105,32020010600,卸任禮遇,,,0121,其他給與,0.00,
201,105,105,32020010800,公報編印及印信勳章鑄造,,,0121,其他給與,0.00,
201,105,105,32020010100,一般行政,,,0131,加班值班費,"31,717,776.00",
201,105,105,32020010200,國務機要,,,0131,加班值班費,0.00,
201,105,105,32020010300,國家慶典,,,0131,加班值班費,"354,586.00",
201,105,105,32020010401,國家發展研究及諮詢,,,0131,加班值班費,0.00,
201,105,105,32020010500,新聞發布,,,0131,加班值班費,0.00,
201,105,105,32020010600,卸任禮遇,,,0131,加班值班費,0.00,
201,105,105,32020010800,公報編印及印信勳章鑄造,,,0131,加班值班費,0.00,
201,105,105,32020010100,一般行政,,,0142,退休退職給付,"737,266.00",
201,105,105,32020010200,國務機要,,,0142,退休退職給付,0.00,
201,105,105,32020010300,國家慶典,,,0142,退休退職給付,0.00,
201,105,105,32020010401,國家發展研究及諮詢,,,0142,退休退職給付,0.00,
201,105,105,32020010500,新聞發布,,,0142,退休退職給付,0.00,
201,105,105,32020010600,卸任禮遇,,,0142,退休退職給付,0.00,
201,105,105,32020010800,公報編印及印信勳章鑄造,,,0142,退休退職給付,0.00,
201,105,105,32020010100,一般行政,,,0143,退休離職儲金,"81,426,745.00",
201,105,105,32020010200,國務機要,,,0143,退休離職儲金,0.00,
