id,time,車輛數,車輛種類,乘客人數不含司機,購置年月,汽缸總排氣量_立方公分,油料費_數量_公升,油料費_單價_元,油料費_金額,油料費2_數量_公升,油料費2_單價_元,油料費2_金額,養護費,其他,備註,bq_fiscalyear,bq_fundkind,bq_budgetkind,bq_specialbudgetno,bq_agenno,bq_agentype,bq_budgetstate,bq_budgetno,bq_objectno,bq_carid,bq_versiondate
201,105,1,,4,09408,3498,1668,27.70,,0,0.00,,51000.00,41000.00,,105,1,1,,02001,C,2,32020010100,07350400,0158-QH,
201,105,1,,4,09504,2378,1668,27.70,,0,0.00,,51000.00,21000.00,,105,1,1,,02001,C,2,32020010100,07350100,0159-QH,
201,105,1,,4,09504,2378,1668,27.70,,0,0.00,,51000.00,21000.00,,105,1,1,,02001,C,2,32020010100,07350400,0160-QH,
201,105,1,,4,09607,1998,1668,27.70,,0,0.00,,51000.00,23000.00,,105,1,1,,02001,C,2,32020010100,07350400,0615-QH,
201,105,1,,6,09407,3189,1668,27.70,,0,0.00,,51000.00,57000.00,,105,1,1,,02001,C,2,32020010100,07351500,0616-QH,
201,105,1,,6,09407,3189,1668,27.70,,0,0.00,,51000.00,57000.00,,105,1,1,,02001,C,2,32020010100,07351500,0617-QH,
201,105,1,,1,09403,125,312,27.70,,0,0.00,,1700.00,2000.00,J5Z-697。,105,1,1,,02001,C,2,32020010100,07351600,1,
201,105,2,,1,09502,124,624,27.70,,0,0.00,,3400.00,5000.00,CYN-559、CYN-560。,105,1,1,,02001,C,2,32020010100,07351600,2,
201,105,1,,4,09607,1998,1668,27.70,,0,0.00,,51000.00,21000.00,,105,1,1,,02001,C,2,32020010100,07350400,2028-QL,
201,105,1,,4,09607,1998,1668,27.70,,0,0.00,,51000.00,21000.00,,105,1,1,,02001,C,2,32020010100,07350400,2078-QL,
201,105,1,,4,09607,1998,1668,27.70,,0,0.00,,51000.00,21000.00,,105,1,1,,02001,C,2,32020010100,07350400,2167-QL,
201,105,1,,4,09607,1998,1668,27.70,,0,0.00,,51000.00,21000.00,,105,1,1,,02001,C,2,32020010100,07350400,2316-QL,
201,105,1,,4,09607,1998,1668,27.70,,0,0.00,,51000.00,21000.00,,105,1,1,,02001,C,2,32020010100,07350400,2318-QL,
201,105,1,,4,09607,1998,1668,27.70,,0,0.00,,51000.00,21000.00,,105,1,1,,02001,C,2,32020010100,07350400,2536-QL,
201,105,1,,20,09706,4009,1668,22.20,,0,0.00,,51000.00,40000.00,,105,1,1,,02001,C,2,32020010100,07350600,259-WB,
201,105,1,,4,09607,1998,1668,27.70,,0,0.00,,51000.00,21000.00,,105,1,1,,02001,C,2,32020010100,07350400,2608-QL,
201,105,1,,4,09607,1998,1668,27.70,,0,0.00,,51000.00,21000.00,,105,1,1,,02001,C,2,32020010100,07350400,2736-QL,
201,105,1,,6,09503,1998,1668,27.70,,0,0.00,,51000.00,23000.00,,105,1,1,,02001,C,2,32020010100,07350901,3037-ET,
201,105,1,,1,10103,149,312,27.70,,0,0.00,,2000.00,4000.00,"279-KJF。&lt;#H1&gt;車輛油料依行政院共同性費用編列標準公升數及104年3月30日中油公告牌價:高級柴油每公升22.2元，98無鉛汽油每公升27.7元，液化石油氣依104年6月2日中油公告牌價每公升18.4元編列，原應編列2,649千元，落實節能減碳撙節減列1,707千元，計編列942千元。&lt;#H1&gt;車輛養護費依行政院共同性費用標準編列，原應編列2,914千元，落實節能減碳撙節減列1,573千元，計編列1,341千元。",105,1,1,,02001,C,2,32020010100,07351600,4,
201,105,1,,10,09709,5400,1668,27.70,,0,0.00,,51000.00,43000.00,,105,1,1,,02001,C,2,32020010100,07351500,509-WB,
201,105,1,,4,09407,1998,1668,27.70,,0,0.00,,51000.00,21000.00,,105,1,1,,02001,C,2,32020010100,07350400,5308-DA,
201,105,1,,4,09407,1998,1668,27.70,,0,0.00,,51000.00,21000.00,,105,1,1,,02001,C,2,32020010100,07351500,5309-DA,
201,105,1,,4,09407,1998,1668,27.70,,0,0.00,,51000.00,21000.00,,105,1,1,,02001,C,2,32020010100,07350400,5310-DA,
