id,time,工作計畫名稱,工作計畫編號,第一二級用途別科目名稱,第一二級用途別科目編號,科目編號,科目名稱,金額
201,105,,,合計,,total,total,1114839.00
201,105,,,人事費,0100,total,total,695969.00
201,105,,,政務人員待遇,0102,total,total,24637.00
201,105,,,法定編制人員待遇,0103,total,total,316806.00
201,105,,,約聘僱人員待遇,0104,total,total,12332.00
201,105,,,技工及工友待遇,0105,total,total,56972.00
201,105,,,獎金,0111,total,total,110416.00
201,105,,,其他給與,0121,total,total,10701.00
201,105,,,加班值班費,0131,total,total,32411.00
201,105,,,退休退職給付,0142,total,total,5771.00
201,105,,,退休離職儲金,0143,total,total,85008.00
201,105,,,保險,0151,total,total,40915.00
201,105,,,業務費,0200,total,total,363425.00
201,105,,,教育訓練費,0201,total,total,1372.00
201,105,,,水電費,0202,total,total,23062.00
201,105,,,通訊費,0203,total,total,11405.00
201,105,,,資訊服務費,0215,total,total,18130.00
201,105,,,其他業務租金,0219,total,total,4560.00
201,105,,,稅捐及規費,0221,total,total,1347.00
201,105,,,保險費,0231,total,total,629.00
201,105,,,兼職費,0241,total,total,152.00
201,105,,,臨時人員酬金,0249,total,total,4057.00
201,105,,,按日按件計資酬金,0250,total,total,3785.00
201,105,,,委辦費,0251,total,total,1163.00
201,105,,,物品,0271,total,total,18404.00
201,105,,,一般事務費,0279,total,total,126010.00
201,105,,,房屋建築養護費,0282,total,total,63127.00
201,105,,,車輛及辦公器具養護費,0283,total,total,2104.00
201,105,,,設施及機械設備養護費,0284,total,total,49314.00
201,105,,,國內旅費,0291,total,total,1033.00
201,105,,,國外旅費,0293,total,total,342.00
201,105,,,短程車資,0295,total,total,423.00
201,105,,,機要費,0297,total,total,30000.00
201,105,,,特別費,0299,total,total,3006.00
201,105,,,設備及投資,0300,total,total,50279.00
201,105,,,房屋建築及設備費,0302,total,total,3670.00
201,105,,,機械設備費,0304,total,total,21919.00
201,105,,,資訊軟硬體設備費,0306,total,total,16423.00
201,105,,,雜項設備費,0319,total,total,8267.00
201,105,,,獎補助費,0400,total,total,3093.00
201,105,,,對國內團體之捐助,0437,total,total,18.00
201,105,,,獎勵及慰問,0475,total,total,3075.00
201,105,,,預備金,0900,total,total,2073.00
201,105,,,第一預備金,0901,total,total,2073.00
201,106,,,合計,,total,total,953475.00
201,106,,,合計,,3202010100,,846860.00
201,106,,,合計,,3202010600,,25255.00
201,106,,,合計,,3202010200,,30000.00
201,106,,,合計,,3202010300,,16575.00
201,106,,,合計,,3202010401,,12126.00
201,106,,,合計,,3202010500,,11366.00
201,106,,,合計,,3202010800,,9220.00
201,106,,,合計,,3202019800,,2073.00
201,106,,,人事費,0100,total,total,642915.00
201,106,,,人事費,0100,3202010100,,634510.00
201,106,,,人事費,0100,3202010600,,8405.00
201,106,,,人事費,0100,3202010200,,
201,106,,,人事費,0100,3202010300,,
201,106,,,人事費,0100,3202010401,,
201,106,,,人事費,0100,3202010500,,
201,106,,,人事費,0100,3202010800,,
201,106,,,人事費,0100,3202019800,,
201,106,,,政務人員待遇,0102,total,total,24967.00
201,106,,,政務人員待遇,0102,3202010100,,16562.00
201,106,,,政務人員待遇,0102,3202010600,,8405.00
201,106,,,政務人員待遇,0102,3202010200,,
201,106,,,政務人員待遇,0102,3202010300,,
201,106,,,政務人員待遇,0102,3202010401,,
201,106,,,政務人員待遇,0102,3202010500,,
201,106,,,政務人員待遇,0102,3202010800,,
201,106,,,政務人員待遇,0102,3202019800,,
201,106,,,法定編制人員待遇,0103,total,total,317231.00
201,106,,,法定編制人員待遇,0103,3202010100,,317231.00
201,106,,,法定編制人員待遇,0103,3202010600,,
201,106,,,法定編制人員待遇,0103,3202010200,,
201,106,,,法定編制人員待遇,0103,3202010300,,
201,106,,,法定編制人員待遇,0103,3202010401,,
201,106,,,法定編制人員待遇,0103,3202010500,,
201,106,,,法定編制人員待遇,0103,3202010800,,
201,106,,,法定編制人員待遇,0103,3202019800,,
201,106,,,約聘僱人員待遇,0104,total,total,12332.00
201,106,,,約聘僱人員待遇,0104,3202010100,,12332.00
201,106,,,約聘僱人員待遇,0104,3202010600,,
201,106,,,約聘僱人員待遇,0104,3202010200,,
201,106,,,約聘僱人員待遇,0104,3202010300,,
201,106,,,約聘僱人員待遇,0104,3202010401,,
201,106,,,約聘僱人員待遇,0104,3202010500,,
201,106,,,約聘僱人員待遇,0104,3202010800,,
201,106,,,約聘僱人員待遇,0104,3202019800,,
201,106,,,技工及工友待遇,0105,total,total,56972.00
201,106,,,技工及工友待遇,0105,3202010100,,56972.00
201,106,,,技工及工友待遇,0105,3202010600,,
201,106,,,技工及工友待遇,0105,3202010200,,
201,106,,,技工及工友待遇,0105,3202010300,,
201,106,,,技工及工友待遇,0105,3202010401,,
201,106,,,技工及工友待遇,0105,3202010500,,
201,106,,,技工及工友待遇,0105,3202010800,,
201,106,,,技工及工友待遇,0105,3202019800,,
201,106,,,獎金,0111,total,total,110416.00
201,106,,,獎金,0111,3202010100,,110416.00
201,106,,,獎金,0111,3202010600,,
201,106,,,獎金,0111,3202010200,,
201,106,,,獎金,0111,3202010300,,
201,106,,,獎金,0111,3202010401,,
201,106,,,獎金,0111,3202010500,,
201,106,,,獎金,0111,3202010800,,
201,106,,,獎金,0111,3202019800,,
201,106,,,其他給與,0121,total,total,10541.00
201,106,,,其他給與,0121,3202010100,,10541.00
201,106,,,其他給與,0121,3202010600,,
201,106,,,其他給與,0121,3202010200,,
201,106,,,其他給與,0121,3202010300,,
201,106,,,其他給與,0121,3202010401,,
201,106,,,其他給與,0121,3202010500,,
201,106,,,其他給與,0121,3202010800,,
201,106,,,其他給與,0121,3202019800,,
201,106,,,加班值班費,0131,total,total,31911.00
201,106,,,加班值班費,0131,3202010100,,31911.00
201,106,,,加班值班費,0131,3202010600,,
201,106,,,加班值班費,0131,3202010200,,
201,106,,,加班值班費,0131,3202010300,,
201,106,,,加班值班費,0131,3202010401,,
201,106,,,加班值班費,0131,3202010500,,
201,106,,,加班值班費,0131,3202010800,,
201,106,,,加班值班費,0131,3202019800,,
201,106,,,退休退職給付,0142,total,total,5506.00
201,106,,,退休退職給付,0142,3202010100,,5506.00
201,106,,,退休退職給付,0142,3202010600,,
201,106,,,退休退職給付,0142,3202010200,,
201,106,,,退休退職給付,0142,3202010300,,
201,106,,,退休退職給付,0142,3202010401,,
201,106,,,退休退職給付,0142,3202010500,,
201,106,,,退休退職給付,0142,3202010800,,
201,106,,,退休退職給付,0142,3202019800,,
201,106,,,退休離職儲金,0143,total,total,32124.00
201,106,,,退休離職儲金,0143,3202010100,,32124.00
201,106,,,退休離職儲金,0143,3202010600,,
201,106,,,退休離職儲金,0143,3202010200,,
201,106,,,退休離職儲金,0143,3202010300,,
201,106,,,退休離職儲金,0143,3202010401,,
201,106,,,退休離職儲金,0143,3202010500,,
201,106,,,退休離職儲金,0143,3202010800,,
201,106,,,退休離職儲金,0143,3202019800,,
