id,time,款,項,目,節,科目名稱及編號,預算數,預計執行內容
240,111,1,,,,0002000000,,
240,111,,,,,總統府主管,,
240,111,,5,,,0002400000,2755,
240,111,,,,,中央研究院,,
240,111,,,,,5202400000,2755,
240,111,,,,,科學支出,,
240,111,,,2,,5202401000,2755,
240,111,,,,,一般學術研究及評議,,
240,111,,,,2,5202401020,2755,
240,111,,,,,學術研究與人才培育,,
240,111,1,,,,0002000000,,
240,111,,,,,總統府主管,,
240,111,,5,,,0002400000,2900,
240,111,,,,,中央研究院,,
240,111,,,,,5202400000,2900,
240,111,,,,,科學支出,,
240,111,,,2,,5202401000,2900,
240,111,,,,,一般學術研究及評議,,
240,111,,,,2,5202401020,2900,
240,111,,,,,學術研究與人才培育,,
301,111,2,,,,0003000000,,
301,111,,,,,行政院主管,,
301,111,,1,,,0003010000,13314,
301,111,,,,,行政院,,
301,111,,,,,3203010000,13314,
301,111,,,,,行政支出,,
301,111,,,8,,3203012000,949,
301,111,,,,,性別平等業務,,
301,111,,,9,,3203012200,525,
301,111,,,,,消保及食安業務,,
301,111,,,11,,3203012400,11840,
301,111,,,,,新聞傳播業務,,
501,111,4," "," "," ",0005000000," "," "
501,111," "," "," "," ",司法院主管," "," "
501,111," ",1," "," ",0005010000,72467," "
501,111," "," "," "," ",司法院," "," "
501,111," "," "," "," ",3405010000,70052," "
501,111," "," "," "," ",司法支出," "," "
501,111," "," ",1," ",3405010100,58800," 辦理司法行政業務，有關辦理對一般社會大眾宣導國民法官制度44,800千元及辦理綜合性司法政策對外溝通宣導等之相關媒體宣導製作、託播及刊登等經費14,000千元。"
501,111," "," "," "," ",一般行政," "," "
501,111," "," ",3," ",3405011300,52," 辦理民事審判行政，有關推動及宣導設置商業審理法之相關媒體宣導製作、託播及刊登等經費52千元。"
501,111," "," "," "," ",審判行政," "," "
501,111," "," ",4," ",3405011700,11200," 辦理研究改進司法制度業務，有關辦理法律教育推廣之相關媒體宣導製作、託播及刊登等經費11,200千元。"
501,111," "," "," "," ",司法業務規劃研考," "," "
501,111," "," "," "," ",6305010000,2415," "
501,111," "," "," "," ",福利服務支出," "," "
501,111," "," ",7," ",6305011900,2415," 捐助法律扶助基金會，有關法律扶助基金會之相關媒體宣導製作、託播及刊登等經費2,415千元。"
501,111," "," "," "," ",對財團法人法律扶助基金會捐助," "," "
501,111,4,0005000000,,,,
501,111,,司法院主管,,,,
501,111,,0005010000,1,103525,,
501,111,,司法院,,,,
501,111,,3405010000,,100075,,
501,111,,司法支出,,,,
501,111,,3405010100,,84000,1,"辦理司法行政業務，有關辦理對一般社會大眾宣導國民法官制度及辦理綜合性司法政策對外溝通宣導等之相關媒體宣導製作、託播及刊登等經費84,000千元。"
501,111,,一般行政,,,,
501,111,,3405011300,,75,3,辦理民事審判行政，有關推動及宣導設置商業審理法之相關媒體宣導製作、託播及刊登等經費75千元。
501,111,,審判行政,,,,
501,111,,3405011700,,16000,4,"辦理研究改進司法制度業務，有關辦理法律教育推廣之相關媒體宣導製作、託播及刊登等經費16,000千元。"
501,111,,司法業務規劃研考,,,,
