id,time,款,項,目,節,科目名稱及編號,預算數,預計執行內容
240,112,1,,,,0002000000,,
240,112,,,,,總統府主管,,
240,112,,5,,,0002400000,5840,
240,112,,,,,中央研究院,,
240,112,,,,,5202400000,5840,
240,112,,,,,科學支出,,
240,112,,,2,,5202401000,4100,
240,112,,,,,一般學術研究及評議,,
240,112,,,,2,5202401020,4100,
240,112,,,,,學術研究與人才培育,,
240,112,,,3,,5202402000,1740,
240,112,,,,,自然及人文社會科學研究,,
240,112,,,,1,5202402010,600,
240,112,,,,,數理科學研究,,
240,112,,,,2,5202402020,700,
240,112,,,,,生命科學研究,,
240,112,,,,3,5202402030,440,
240,112,,,,,人文及社會科學研究,,
240,113,1,,,,0002000000,總統府主管,6050,
240,113,,5,,,0002400000,中央研究院,6050,
240,113,,,,,5202400000,科學支出,6050,
240,113,,,2,,5202401000,一般學術研究及評議,4500,
240,113,,,,2,5202401020,學術研究與人才培育,4500,"1.基本行政工作維持，相關院區開放參觀活動、外縣市科普演講等經費計300千元。
2.學術規劃及交流合作，辦理研究成果科普推廣經費計4,000千元。
3.人才培育及延攬計畫-與國內大學合作培育國際研究生計畫(TIGP)，刊登招生廣告宣傳國際研究生學程200千元。"
240,113,,,3,,5202402000,自然及人文社會科學研究,1550,
240,113,,,,1,5202402010,數理科學研究,700,"1.數學研究國際研討會，與國內外各機構、學校及學會等合作之活動宣導、製作、託播、刊登及訊息傳播等費用200千元。
2.物理研究計400千元，包括： 
  (1)辦理通俗演講和研討會網路直播衍生費用50千元。  
  (2)為延攬人才並符合吸引現今學生及科學人才觀看習慣，擬重新拍攝對外宣傳簡介影片(預期包含中英文版、完整版及精簡版)費用350千元。
3.原子與分子科學研究辦理研討會與研究推廣相關影片及網頁製作、訊息刊登及傳播等費用100千元。"
240,113,,,,2,5202402020,生命科學研究,700,"1.生物化學研究宣傳國際研討會之影片製作及網站建置等經費計200千元。
2.分子生物研究辦理分子生物研究推廣相關宣導經費計150千元。
3.生醫轉譯醫學研究計350千元，包括： 
  (1)規劃拍攝介紹影片展現年度亮點成果計300千元。 
  (2)規劃透過社群影音媒體（經營臉書粉絲團、YouTube影音頻道），推廣介紹各進駐單位及活動廣宣計50千元。"
240,113,,,,3,5202402030,人文及社會科學研究,150,人文社會科學研究辦理群眾外包媒合平台推廣與傳播資料庫足跡和經驗徵求參與者活動，相關宣導、訊息託播、刊登傳播等費用150千元。
240,112,1,,,,0002000000,,
240,112,,,,,總統府主管,,
240,112,,5,,,0002400000,5840,
240,112,,,,,中央研究院,,
240,112,,,,,5202400000,5840,
240,112,,,,,科學支出,,
240,112,,,2,,5202401000,4100,
240,112,,,,,一般學術研究及評議,,
240,112,,,,2,5202401020,4100,
240,112,,,,,學術研究與人才培育,,
240,112,,,3,,5202402000,1740,
240,112,,,,,自然及人文社會科學研究,,
240,112,,,,1,5202402010,600,
240,112,,,,,數理科學研究,,
240,112,,,,2,5202402020,700,
240,112,,,,,生命科學研究,,
240,112,,,,3,5202402030,440,
240,112,,,,,人文及社會科學研究,,
240,113,,,,,5202400000,6050,
240,113,,,,,科學支出,,
240,113,1,,,,0002000000,,
240,113,,,,,總統府主管,,
240,113,,5,,,0002400000,6050,
240,113,,,,,中央研究院,,
240,113,,,,,5202400000,6050,
240,113,,,,,科學支出,,
240,113,,,2,,5202401000,4500,
240,113,,,,,一般學術研究及評議,,
240,113,,,,2,5202401020,4500,
240,113,,,,,學術研究與人才培育,,
