id,time,捐助計畫,計畫起訖年度,捐助對象,捐助內容,捐助經費之用途分析_經常門_人事費,捐助經費之用途分析_經常門_業務費,捐助經費之用途分析_經常門_其他,捐助經費之用途分析_資本門_營建工程,捐助經費之用途分析_資本門_其他,捐助經費之用途分析_合計
201,113,合計,,,,,,914,,,914
201,113,1.對團體之捐助,,,,,,50,,,50
201,113,4040對國內團體之捐助,,,,,,50,,,50
201,113,(1)3102010100一般行政,,,,,,50,,,50
201,113,[1]捐助總統府公務人員協會　01,113-113,總統府公務人員協會,捐助本府公務人員協會辦理會員與機關間糾紛之調處、福利、訓練進修、交流互訪等事項經費。,,,50,,,50
201,113,2.對個人之捐助,,,,,,864,,,864
201,113,4085獎勵及慰問,,,,,,864,,,864
201,113,(1)3102010100一般行政,,,,,,864,,,864
201,113,[1]退休退職人員三節慰問金　02,113-113,退休退職人員,退休公務人員支(兼)領月退休金2萬8千元以下者、退職工友(含技工、駕駛)等符合資格之退休退職人員三節慰問金。,,,864,,,864
201,114,合計,,,,,,914,,,914
201,114,1.對團體之捐助,,,,,,50,,,50
201,114,4040對國內團體之捐助,,,,,,50,,,50
201,114,(1)3102010100一般行政,,,,,,50,,,50
201,114,[1]捐助總統府公務人員協會　01,114-114,總統府公務人員協會,捐助本府公務人員協會辦理會員福利及訓練進修等事項經費。,,,50,,,50
201,114,2.對個人之捐助,,,,,,864,,,864
201,114,4085獎勵及慰問,,,,,,864,,,864
201,114,(1)3102010100一般行政,,,,,,864,,,864
201,114,[1]退休退職人員三節慰問金　02,114-114,退休退職人員,退休公務人員支（兼）領月退休金2萬8千元以下者、退職工友（含技工、駕駛）等符合資格之退休退職人員三節慰問金。,,,864,,,864
240,113,合計,,,,,,709157,,,709157
240,113,1.對團體之捐助,,,,,,6758,,,6758
240,113,4040對國內團體之捐助,,,,,,6008,,,6008
240,113,(1)5202401020學術研究與人才培育,,,,,,6008,,,6008
240,113,[1]捐助中華民國天文學會　01,113-113,中華民國天文學會,學會日常會務運作,,,20,,,20
240,113,[2]捐助國際毒物學聯合會中華民國委員會　02,113-113,國際毒物學聯合會中華民國委員會,學會日常會務運作,,,10,,,10
240,113,[3]捐助國際科學史與科學哲學聯合會科學史組中華民國委員會　03,113-113,國際科學史與科學哲學聯合會科學史組中華民國委員會,學會日常會務運作,,,20,,,20
240,113,[4]國際科學資料委員會中華民國委員會　04,113-113,國際科學資料委員會中華民國委員會,學會日常會務運作,,,20,,,20
240,113,[5]捐助國際無線電科學聯合會中華民國委員會　05,113-113,國際無線電科學聯合會中華民國委員會,學會日常會務運作,,,10,,,10
240,113,[6]捐助太平洋科學協會中華民國委員會　06,113-113,太平洋科學協會中華民國委員會,學會日常會務運作,,,15,,,15
240,113,[7]捐助臺灣生物化學及分子生物學學會　07,113-113,臺灣生物化學及分子生物學學會,學會日常會務運作,,,10,,,10
240,113,[8]捐助台灣社會學會　08,113-113,台灣社會學會,學會日常會務運作,,,20,,,20
240,113,[9]捐助國際環境科學委員會中華民國委員會　09,113-113,國際環境科學委員會中華民國委員會,學會日常會務運作,,,10,,,10
240,113,[10]參與國際組織活動　10,113-113,民間社團及有關人士,補助及協助國內學術團體繳交國際組織會費,,,5873,,,5873
240,113,4045對私校之獎助,,,,,,750,,,750
240,113,(1)5202401020學術研究與人才培育,,,,,,250,,,250
240,113,[1]中研學者計畫,113-113,中研學者所屬私立學校,學校另聘教師授課鐘點費,,,250,,,250
240,113,(2)5202404000南部院區,,,,,,500,,,500
240,113,[1]關鍵議題研究-行政維運　01,113-113,私立大學,補助所招募之私立大學合聘教授減授鐘點費,,,500,,,500
240,113,2.對個人之捐助,,,,,,689099,,,689099
240,113,4050對學生之獎助,,,,,,543667,,,543667
240,113,(1)5202401020學術研究與人才培育,,,,,,406687,,,406687
240,113,[1]碩博士研究生獎助學金-人才培育及延攬計畫　01,113-113,碩博士研究生,碩博士研究生獎助學金,,,292013,,,292013
240,113,[2]碩博士研究生獎助學金-跨領域開發及研究設施之改善　02,113-113,碩博士研究生,碩博士研究生獎助學金,,,82750,,,82750
240,113,[3]碩博士研究生獎助學金-任務型專案研究計畫　03,113-113,碩博士研究生,碩博士研究生獎助學金,,,29624,,,29624
240,113,[4]碩博士研究生獎助學金-學研合作　04,113-113,碩博士研究生,碩博士研究生獎助學金,,,2300,,,2300
240,113,(2)5202402010數理科學研究,,,,,,47578,,,47578
240,113,[1]碩博士研究生獎助學金-數學研究　01,113-113,碩博士研究生,碩博士研究生獎助學金,,,960,,,960
240,113,[2]碩博士研究生獎助學金-物理研究　02,113-113,碩博士研究生,碩博士研究生獎助學金,,,2000,,,2000
240,113,[3]碩博士研究生獎助學金-化學研究　03,113-113,碩博士研究生,碩博士研究生獎助學金,,,6000,,,6000
240,113,[4]碩博士研究生獎助學金-資訊科學研究　04,113-113,碩博士研究生,碩博士研究生獎助學金,,,11026,,,11026
