id,time,款,項,目,節,名稱,編號,本年度預算數,上年度預算數,前年度決算數,本年度與上年度比較,說明,blevel,ordinaryid
201,105,,,,,"合         計",,2432.000000,2431.000000,2333.000000,1.000000,,9,1
201,105,2,,,,罰款及賠償收入,04000000000,0.000000,0.000000,401.000000,0.000000,,1,
201,105,,01,,,總統府,04020010000,0.000000,0.000000,401.000000,0.000000,,2,
201,105,,,01,,賠償收入,04020010300,0.000000,0.000000,401.000000,0.000000,,3,
201,105,,,,01,一般賠償收入,04020010301,0.000000,0.000000,401.000000,0.000000,"前年度決算數係廠商違約逾期交
貨等賠償收入。",04020010301xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,4,
201,105,3,,,,規費收入,05000000000,131.000000,168.000000,156.000000,-37.000000,,1,
201,105,,01,,,總統府,05020010000,131.000000,168.000000,156.000000,-37.000000,,2,
201,105,,,01,,使用規費收入,05020010300,131.000000,168.000000,156.000000,-37.000000,,3,
201,105,,,,01,資料使用費,05020010305,131.000000,168.000000,156.000000,-37.000000,"本年度預算數係出售總統府公報
之收入。",05020010305xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,4,
201,105,4,,,,財產收入,07000000000,1986.000000,1937.000000,1428.000000,49.000000,,1,
201,105,,01,,,總統府,07020010000,1986.000000,1937.000000,1428.000000,49.000000,,2,
201,105,,,01,,財產孳息,07020010100,1896.000000,1847.000000,1390.000000,49.000000,,3,
201,105,,,,01,權利金,07020010105,1370.000000,1370.000000,902.000000,0.000000,"本年度預算數係紀念品中心權利
金收入。",07020010105xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,4,
201,105,,,,02,租金收入,07020010106,526.000000,477.000000,488.000000,49.000000,"本年度預算數係員工消費合作社
、美髮部、洗衣部、交誼廳餐飲
部、自動販賣機及提款機等場地
租金收入。",07020010106xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,4,
201,105,,,02,,廢舊物資售價,07020010600,90.000000,90.000000,38.000000,0.000000,"本年度預算數係出售報廢辦公設
備等收入。",07020010600xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,3,
201,105,7,,,,其他收入,11000000000,315.000000,326.000000,349.000000,-11.000000,,1,
201,105,,01,,,總統府,11020010000,315.000000,326.000000,349.000000,-11.000000,,2,
201,105,,,01,,雜項收入,11020010900,315.000000,326.000000,349.000000,-11.000000,,3,
201,105,,,,01,收回以前年度歲出,11020010901,0.000000,0.000000,33.000000,0.000000,"前年度決算數係收回以前年度員
工不休假加班費等繳庫數。",11020010901xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,4,
201,105,,,,02,其他雜項收入,11020010909,315.000000,326.000000,316.000000,-11.000000,"本年度預算數係醫務所收取藥品
費用收入及借用宿舍員工自薪資
扣回繳庫數。",11020010909xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,4,
201,106,,,,,"合         計",,2857.000000,2865.000000,2441.000000,-8.000000,,9,1
201,106,2,,,,罰款及賠償收入,04000000000,0.000000,0.000000,68.000000,0.000000,,1,
201,106,,01,,,總統府,04020010000,0.000000,0.000000,68.000000,0.000000,,2,
201,106,,,01,,賠償收入,04020010300,0.000000,0.000000,68.000000,0.000000,,3,
201,106,,,,01,一般賠償收入,04020010301,0.000000,0.000000,68.000000,0.000000,"前年度決算數係民間團體損壞廣
場柏油路面等賠償收入。",04020010301xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,4,
201,106,3,,,,規費收入,05000000000,123.000000,131.000000,121.000000,-8.000000,,1,
201,106,,01,,,總統府,05020010000,123.000000,131.000000,121.000000,-8.000000,,2,
201,106,,,01,,使用規費收入,05020010300,123.000000,131.000000,121.000000,-8.000000,,3,
201,106,,,,01,資料使用費,05020010305,123.000000,131.000000,121.000000,-8.000000,"本年度預算數係檔案閱覽抄錄複
製等收入。",05020010305xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,4,
201,106,4,,,,財產收入,07000000000,2428.000000,2428.000000,1720.000000,0.000000,,1,
201,106,,01,,,總統府,07020010000,2428.000000,2428.000000,1720.000000,0.000000,,2,
201,106,,,01,,財產孳息,07020010100,2338.000000,2338.000000,1417.000000,0.000000,,3,
201,106,,,,01,權利金,07020010105,1370.000000,1370.000000,931.000000,0.000000,"本年度預算數係紀念品中心權利
金收入。",07020010105xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,4,
201,106,,,,02,租金收入,07020010106,968.000000,968.000000,487.000000,0.000000,"本年度預算數係美髮部、洗衣部
、交誼廳餐飲部、自動販賣機、
提款機等場地租金及南北廣場停
車費收入。",07020010106xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,4,
201,106,,,02,,廢舊物資售價,07020010600,90.000000,90.000000,302.000000,0.000000,"本年度預算數係出售報廢辦公設
備等收入。",07020010600xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,3,
201,106,7,,,,其他收入,11000000000,306.000000,306.000000,532.000000,0.000000,,1,
201,106,,01,,,總統府,11020010000,306.000000,306.000000,532.000000,0.000000,,2,
201,106,,,01,,雜項收入,11020010900,306.000000,306.000000,532.000000,0.000000,,3,
201,106,,,,01,收回以前年度歲出,11020010901,0.000000,0.000000,208.000000,0.000000,"前年度決算數係收回以前年度年
撫卹金及進修補助費等繳庫數。",11020010901xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,4,
201,106,,,,02,其他雜項收入,11020010909,306.000000,306.000000,324.000000,0.000000,"本年度預算數係醫務所收取藥品
費用收入及借用宿舍員工自薪資
扣回繳庫數。",11020010909xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,4,
201,107,,,,,"合         計",,2986.000000,2857.000000,2407.000000,129.000000,,9,1
201,107,2,,,,罰款及賠償收入,04000000000,0.000000,0.000000,7.000000,0.000000,,1,
201,107,,01,,,總統府,04020010000,0.000000,0.000000,7.000000,0.000000,,2,
201,107,,,01,,賠償收入,04020010300,0.000000,0.000000,7.000000,0.000000,,3,
201,107,,,,01,一般賠償收入,04020010301,0.000000,0.000000,7.000000,0.000000,"前年度決算數係廠商逾期違約金
之賠償收入。",04020010301xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,4,
201,107,3,,,,規費收入,05000000000,5.000000,123.000000,96.000000,-118.000000,,1,
201,107,,01,,,總統府,05020010000,5.000000,123.000000,96.000000,-118.000000,,2,
201,107,,,01,,使用規費收入,05020010300,5.000000,123.000000,96.000000,-118.000000,,3,
201,107,,,,01,資料使用費,05020010305,5.000000,123.000000,96.000000,-118.000000,"本年度預算數係檔案閱覽抄錄複
製費收入。",05020010305xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,4,
201,107,4,,,,財產收入,07000000000,2601.000000,2428.000000,1720.000000,173.000000,,1,
201,107,,01,,,總統府,07020010000,2601.000000,2428.000000,1720.000000,173.000000,,2,
201,107,,,01,,財產孳息,07020010100,2511.000000,2338.000000,1417.000000,173.000000,,3,
201,107,,,,01,權利金,07020010105,1370.000000,1370.000000,931.000000,0.000000,"本年度預算數係紀念品中心權利
金收入。",07020010105xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,4,
201,107,,,,02,租金收入,07020010106,1141.000000,968.000000,487.000000,173.000000,"本年度預算數係美髮部、洗衣部
、交誼廳餐飲部等場地租金及南
北廣場停車費收入。",07020010106xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,4,
201,107,,,02,,廢舊物資售價,07020010600,90.000000,90.000000,302.000000,0.000000,"本年度預算數係出售報廢財產等
收入。",07020010600xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,3,
201,107,7,,,,其他收入,11000000000,380.000000,306.000000,584.000000,74.000000,,1,
201,107,,01,,,總統府,11020010000,380.000000,306.000000,584.000000,74.000000,,2,
201,107,,,01,,雜項收入,11020010900,380.000000,306.000000,584.000000,74.000000,,3,
201,107,,,,01,收回以前年度歲出,11020010901,0.000000,0.000000,260.000000,0.000000,"前年度決算數係收回以前年度勞
工退休金及不休假加班費等繳庫
數。",11020010901xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,4,
201,107,,,,02,其他雜項收入,11020010909,380.000000,306.000000,324.000000,74.000000,"本年度預算數係醫務所收取藥品
費用、借用宿舍員工自薪資扣回
及出售總統府公報等收入繳庫數
。",11020010909xxxxxxxxxxxxxxxxxxxxxxxx1R1x0,4,
201,108,,,,,"合         計",,2904.000000,2986.000000,10407.000000,-82.000000,,9,1
201,108,2,,,,罰款及賠償收入,04000000000,0.000000,0.000000,2682.000000,0.000000,,1,
