id,time,款,項,目,節,名稱,經常支出_人事費,經常支出_業務費,經常支出_獎補助費,經常支出_債務費,經常支出_預備金,經常支出_小計,資本支出_業務費,資本支出_設備及投資,資本支出_獎補助費,資本支出_預備金,資本支出_小計,合計
201,113,1,,,,總統府主管,,,,,,,,,,,,
201,113,,1,,,總統府,661285,396511,914,,3372,1062082,,75199,,,75199,1137281
201,113,,,,,國務支出,661285,396511,914,,3372,1062082,,75199,,,75199,1137281
201,113,,,1,,一般行政,657474,283590,914,,,941978,,64909,,,64909,1006887
201,113,,,2,,國務機要,,30000,,,,30000,,,,,,30000
201,113,,,3,,國家慶典,500,55568,,,,56068,,,,,,56068
201,113,,,4,,研究發展,,5042,,,,5042,,,,,,5042
201,113,,,,1,國家發展研究及諮詢,,5042,,,,5042,,,,,,5042
201,113,,,5,,新聞發布,,8184,,,,8184,,,,,,8184
201,113,,,6,,卸任禮遇,3311,8500,,,,11811,,,,,,11811
201,113,,,7,,公報編印及印信勳章鑄造,,5627,,,,5627,,,,,,5627
201,113,,,8,,一般建築及設備,,,,,,,,10290,,,10290,10290
201,113,,,,1,交通及運輸設備,,,,,,,,10290,,,10290,10290
201,113,,,9,,第一預備金,,,,,3372,3372,,,,,,3372
201,114,1,,,,總統府主管,,,,,,,,,,,,
201,114,,1,,,總統府,690869,352325,914,,3372,1047480,,75543,,,75543,1123023
201,114,,,,,國務支出,690869,352325,914,,3372,1047480,,75543,,,75543,1123023
201,114,,,1,,一般行政,687426,280580,914,,,968920,,70783,,,70783,1039703
201,114,,,2,,國務機要,,30000,,,,30000,,,,,,30000
201,114,,,3,,國家慶典,,16801,,,,16801,,,,,,16801
201,114,,,4,,研究發展,,5542,,,,5542,,,,,,5542
201,114,,,,1,國家發展研究及諮詢,,5542,,,,5542,,,,,,5542
201,114,,,5,,新聞發布,,8184,,,,8184,,,,,,8184
201,114,,,6,,卸任禮遇,3443,7500,,,,10943,,,,,,10943
201,114,,,7,,公報編印及印信勳章鑄造,,3718,,,,3718,,,,,,3718
201,114,,,8,,一般建築及設備,,,,,,,,4760,,,4760,4760
201,114,,,,1,交通及運輸設備,,,,,,,,4760,,,4760,4760
201,114,,,9,,第一預備金,,,,,3372,3372,,,,,,3372
240,113,1,,,,總統府主管,,,,,,,,,,,,
240,113,,5,,,中央研究院,2797783,6653295,1503434,,7375,10961887,,2534407,,,2534407,13496294
240,113,,,,,科學支出,2797783,6653295,1503434,,7375,10961887,,2534407,,,2534407,13496294
240,113,,,1,,一般行政,224912,47649,432,,,272993,,1742,,,1742,274735
240,113,,,2,,一般學術研究及評議,2572871,2821218,569195,,,5963284,,708270,,,708270,6671554
240,113,,,,1,人力資源,2572871,,70000,,,2642871,,,,,,2642871
240,113,,,,2,學術研究與人才培育,,2821218,499195,,,3320413,,708270,,,708270,4028683
240,113,,,3,,自然及人文社會科學研究,,3545534,135380,,,3680914,,767864,,,767864,4448778
240,113,,,,1,數理科學研究,,1232229,47578,,,1279807,,334679,,,334679,1614486
240,113,,,,2,生命科學研究,,1554157,62860,,,1617017,,268553,,,268553,1885570
240,113,,,,3,人文及社會科學研究,,759148,24942,,,784090,,164632,,,164632,948722
240,113,,,4,,南部院區,,238894,5000,,,243894,,576486,,,576486,820380
240,113,,,5,,非營業特種基金,,,793427,,,793427,,471965,,,471965,1265392
240,113,,,,1,科學研究基金,,,793427,,,793427,,471965,,,471965,1265392
240,113,,,6,,一般建築及設備,,,,,,,,8080,,,8080,8080
240,113,,,,1,交通及運輸設備,,,,,,,,8080,,,8080,8080
240,113,,,7,,第一預備金,,,,,7375,7375,,,,,,7375
240,114,1,,,,總統府主管,,,,,,,,,,,,
240,114,,5,,,中央研究院,3026217,7261753,1483881,,7375,11779226,,2575646,,,2575646,14354872
240,114,,,,,科學支出,3026217,7261753,1483881,,7375,11779226,,2575646,,,2575646,14354872
240,114,,,1,,一般行政,251049,49554,456,,,301059,,2069,,,2069,303128
240,114,,,2,,一般學術研究及評議,2775168,3201176,593229,,,6569573,,897047,,,897047,7466620
240,114,,,,1,人力資源,2775168,,70000,,,2845168,,,,,,2845168
240,114,,,,2,學術研究與人才培育,,3201176,523229,,,3724405,,897047,,,897047,4621452
240,114,,,3,,自然及人文社會科學研究,,3720029,138788,,,3858817,,806424,,,806424,4665241
240,114,,,,1,數理科學研究,,1301989,53152,,,1355141,,340855,,,340855,1695996
240,114,,,,2,生命科學研究,,1615636,60060,,,1675696,,297460,,,297460,1973156
240,114,,,,3,人文及社會科學研究,,802404,25576,,,827980,,168109,,,168109,996089
240,114,,,4,,南部院區,,290994,5980,,,296974,,354339,,,354339,651313
240,114,,,5,,非營業特種基金,,,745428,,,745428,,513317,,,513317,1258745
240,114,,,,1,科學研究基金,,,745428,,,745428,,513317,,,513317,1258745
240,114,,,6,,一般建築及設備,,,,,,,,2450,,,2450,2450
240,114,,,,1,交通及運輸設備,,,,,,,,2450,,,2450,2450
240,114,,,7,,第一預備金,,,,,7375,7375,,,,,,7375
301,113,2,,,,行政院主管,,,,,,,,,,,,
301,113,,1,,,行政院,996619,310241,3624,,3800,1314284,,122365,,,122365,1436649
301,113,,,,,行政支出,996619,310241,3624,,3800,1314284,,122365,,,122365,1436649
301,113,,,1,,一般行政,958619,85396,450,,,1044465,,3029,,,3029,1047494
301,113,,,2,,施政及法制業務,,13412,,,,13412,,,,,,13412
301,113,,,3,,施政推展聯繫,,6150,,,,6150,,,,,,6150
301,113,,,4,,聯合服務業務,,30710,,,,30710,,654,,,654,31364
301,113,,,5,,災害防救及國土安全,,14161,1200,,,15361,,127,,,127,15488
301,113,,,6,,性別平等業務,,15959,,,,15959,,,,,,15959
301,113,,,7,,消保及食安業務,,9860,1954,,,11814,,,,,,11814
301,113,,,8,,資訊管理,,29334,,,,29334,,28870,,,28870,58204
301,113,,,9,,新聞傳播業務,,43223,20,,,43243,,977,,,977,44220
301,113,,,11,,人權及轉型正義,,13593,,,,13593,,,,,,13593
301,113,,,12,,個資保護委員會籌備業務,38000,48443,,,,86443,,31365,,,31365,117808
301,113,,,13,,一般建築及設備,,,,,,,,57343,,,57343,57343
301,113,,,,1,營建工程,,,,,,,,49549,,,49549,49549
301,113,,,,2,交通及運輸設備,,,,,,,,3802,,,3802,3802
301,113,,,,3,其他設備,,,,,,,,3992,,,3992,3992
301,113,,,14,,第一預備金,,,,,3800,3800,,,,,,3800
301,114,2,,,,行政院主管,,,,,,,,,,,,
301,114,,1,,,行政院,1049957,339790,3516,,3800,1397063,,136583,,,136583,1533646
301,114,,,,,行政支出,1049957,339790,3516,,3800,1397063,,136583,,,136583,1533646
301,114,,,1,,一般行政,1004031,100936,450,,,1105417,,3029,,,3029,1108446
301,114,,,2,,施政及法制業務,,14885,,,,14885,,,,,,14885
301,114,,,3,,施政推展聯繫,,6150,,,,6150,,,,,,6150
301,114,,,4,,聯合服務業務,,36895,,,,36895,,992,,,992,37887
