id,time,款,項,目,節,編號,名稱,本年度預算數,上年度預算數,前年度決算數,本年度與上年度比較,說明
201,105,,,"合    計","合    計",,,1114839000,938318000,876030373,176521000,
201,105,02001,C,總統府主管,總統府主管,00020000000,,1114839000,938318000,876030373,176521000,
201,105,02001,C,總統府,總統府,00020010000,,1114839000,938318000,876030373,176521000,
201,105,02001,C,國務支出,國務支出,32020010000,,1114839000,938318000,876030373,176521000,
201,105,02001,C,一般行政,一般行政,32020010100,"<#H1>本年度預算數976,090千元，包括人事費687,394千元，業務費235,324千元，設備及投資50,279千元，獎補助費3,093千元。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>人員維持費687,394千元，較上年度核實減列人事費14,292千元，增列撥補勞工退休準備金專戶差額經費52,884千元，計淨增38,592千元。<#H2>基本行政工作維持費243,276千元，較上年度增列第十四任總統副總統辦公區域、寓所及總統府房屋建築養護等經費97,050千元。其中電力匯流排更新工程計畫總經費66,000千元，分2年辦理，本年度編列第1年經費36,000千元。<#H2>資訊行政工作維持費40,433千元，較上年度增列資訊軟硬體設備等經費10,260千元。<#H2>警衛行政工作維持費4,987千元，較上年度減列購置服裝等經費190千元。",976090000,830378000,779038791,145712000,
201,105,02001,C,國務機要,國務機要,32020010200,"<#H1>本年度預算數30,000千元，全數為業務費。<#H1>本年度預算數30,000千元，係國家元首國內外訪視、犒賞、獎助、慰問、接待、贈禮及其他相關經費等，與上年度同。",30000000,30000000,29975579,0,
201,105,02001,C,國家慶典,國家慶典,32020010300,"<#H1>本年度預算數51,612千元，包括人事費500千元，業務費51,112千元。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>慶典佈置經費3,115千元，較上年度增列慶典裝飾等經費180千元。<#H2>慶典接待經費12,186千元，較上年度增列致贈賓客紀念品等經費1,202千元。<#H2>新增第十四任總統副總統就職經費36,311千元。",51612000,13919000,13347173,37693000,
201,105,02001,C,研究發展,研究發展,32020010400,,8569000,8577000,8333662,-8000,
201,105,02001,C,國家發展研究及諮詢,國家發展研究及諮詢,32020010401,"<#H1>本年度預算數8,569千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>國政規劃與諮詢經費6,078千元，較上年度增列辦理提名新任司法院大法官幕僚作業等經費44千元。<#H2>國政建言經費1,793千元，較上年度減列辦理民眾陳情業務等經費40千元。<#H2>兩岸關係與區域發展經費698千元，較上年度減列委託研究經費12千元。",8569000,8577000,8333662,-8000,
201,105,02001,C,新聞發布,新聞發布,32020010500,"<#H1>本年度預算數11,417千元，全數為業務費。<#H1>本年度預算數11,417千元，係辦理新聞聯繫與發布所需經費，較上年度減列辦理相關新聞活動等經費56千元。",11417000,11473000,11581750,-56000,
201,105,02001,C,卸任禮遇,卸任禮遇,32020010600,"<#H1>本年度預算數27,321千元，包括人事費8,075千元，業務費19,246千元。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>第九任卸任總統禮遇經費8,590千元，與上年度同。<#H2>新增第十三任卸任總統禮遇經費10,211千元。<#H2>第十一任卸任副總統禮遇經費1,944千元，較上年度減列禮遇金及處理事務等經費3,131千元。<#H2>第十二任卸任副總統禮遇經費991千元，較上年度減列禮遇金及處理事務等經費4,084千元。<#H2>新增第十三任卸任副總統禮遇經費5,585千元。",27321000,18740000,19551183,8581000,
201,105,02001,C,公報編印及印信勳章鑄造,公報編印及印信勳章鑄造,32020010800,"<#H1>本年度預算數7,757千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>公報編印經費565千元，較上年度減列公報印刷等經費63千元。<#H2>印信鑄造頒發經費1,339千元，較上年度減列各機關印信製(換)發經費15,198千元。<#H2>製作勳章及敬老事宜經費5,853千元，較上年度減列勳章製作等經費140千元。",7757000,23158000,14202235,-15401000,
201,105,02001,C,第一預備金,第一預備金,32020019800,仍照上年度預算數編列。,2073000,2073000,0,0,
201,106,,,"合    計","合    計",,,953475000,1000197000,1075862135,-46722000,
201,106,02001,C,總統府主管,總統府主管,00020000000,,953475000,1000197000,1075862135,-46722000,
201,106,02001,C,總統府,總統府,00020010000,,953475000,1000197000,1075862135,-46722000,
201,106,02001,C,國務支出,國務支出,32020010000,,953475000,1000197000,1075862135,-46722000,
201,106,02001,C,一般行政,一般行政,32020010100,"<#H1>本年度預算數846,860千元，包括人事費634,510千元，業務費191,948千元，設備及投資19,335千元，獎補助費1,067千元。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>人員維持費634,510千元，較上年度減列員額10人及撥補勞工退休準備金專戶差額等經費52,884千元。<#H2>基本行政工作維持費165,431千元，較上年度減列府區電子圍籬暨風雷防闖警報器系統設備等經費27,901千元。其中電力匯流排更新工程計畫總經費65,230千元，分2年辦理，105年度已編列36,000千元，本年度續編最後1年經費29,230千元。<#H2>資訊行政工作維持費42,161千元，較上年度增列資訊設備、系統維護及委託專案研究等經費1,728千元。<#H2>警衛行政工作維持費4,758千元，較上年度減列購置服裝等經費229千元。<#H2>上年度辦理第十四任總統副總統辦公區域、寓所修繕及設備購置等預算業已編竣，所列49,944千元如數減列。",846860000,897139000,946076438,-50279000,
201,106,02001,C,國務機要,國務機要,32020010200,"<#H1>本年度預算數30,000千元，全數為業務費。<#H1>本年度預算數30,000千元，係國家元首國內外訪視、犒賞、獎助、慰問、接待、贈禮及其他相關經費，與上年度同。",30000000,30000000,29996118,0,
201,106,02001,C,國家慶典,國家慶典,32020010300,"<#H1>本年度預算數16,575千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>慶典佈置經費3,857千元，較上年度增列佈置會場等經費742千元。<#H2>慶典接待經費12,718千元，較上年度增列元旦升旗典禮等經費532千元。<#H2>上年度辦理第十四任總統副總統就職預算業已編竣，所列36,311千元如數減列。",16575000,16575000,46075322,0,
201,106,02001,C,研究發展,研究發展,32020010400,,12126000,8569000,7676401,3557000,
201,106,02001,C,國家發展研究及諮詢,國家發展研究及諮詢,32020010401,"<#H1>本年度預算數12,126千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>國政規劃與諮詢經費7,775千元，較上年度增列專案議題會議幕僚作業等經費1,697千元。<#H2>國政建言經費1,722千元，較上年度減列辦理民眾陳情業務等經費71千元。<#H2>兩岸關係與區域發展經費2,629千元，較上年度增列出國考察及參與研討會等經費1,931千元。",12126000,8569000,7676401,3557000,
201,106,02001,C,新聞發布,新聞發布,32020010500,"<#H1>本年度預算數11,366千元，全數為業務費。<#H1>本年度預算數11,366千元，係辦理新聞聯繫與發布所需經費，較上年度減列辦理相關新聞活動等經費51千元。",11366000,11366000,9732529,0,
