id,time,計畫名稱及領域代碼,擬前往國家,擬拜會或視察機構,計畫內容,預計前往期間,預計天數,擬派人數,旅費預算_交通費,旅費預算_生活費,旅費預算_辦公費,旅費預算_合計,歸屬預算科目,前三年有無赴同一機構拜會視察,前三年赴同一機構拜會視察之內容
201,113,一、考察,,,,,,,,,,,,,
201,113,01　日本歷史建物之管理、維護、再利用與開放參觀等業務考察94,日本,京都文化博物館、京都府廳舊本館、大阪市中央公會堂、大阪造幣局（大阪造幣博物館）、東京火車站及東京國立博物館等歷史建物,本府為國定古蹟，亦為正副元首辦公及接待訪賓之場所，並為國家中樞慶典集會及重要活動舉辦之場域，建築屬後期文藝復興式風格，為落實文化資產保存責任，發揮古蹟永續及再利用之最大效益，爰規劃考察日本京都、大阪及東京地區與本府建築風格相近或竣工建成年代相當之歷史建物，參研該國文化資產管理維護暨開放參觀相關事項，以提供本府業務推動借鏡及參考。,113.01-113.12,7,5,171,274,62,507,一般行政,無,
201,114,一、考察,,,,,,,,,,,,,
201,114,01　澳洲國家與原住民族的和解及合作83,澳洲,澳洲人權委員會、和解澳洲等機關、團體、原住民族組織與學者專家,為進一步了解國家與原住民族和解合作的相關議題，擬前往澳洲進行實地考察，汲取實務經驗，作為幕僚業務參考。,114.10-114.10,6,3,270,166,71,507,一般行政,無,
240,113,一、訪問,,,,,,,,,,,,,
240,113,01　參訪科學教育推動工作及蒐集相關資料92,東北亞,學術研究機構,參訪科學教育推動工作及蒐集相關資料,113.01-113.12,6,3,135,102,33,270,學術研究與人才培育,無,
240,113,02　採訪研究成果92,歐美亞澳洲,學術研究機構,採訪研究成果,113.01-113.12,6,2,16,8,1,25,學術研究與人才培育,無,
240,113,03　延攬資深學人開辦費16,歐美亞澳地區,相關學術機構,交流訪問及洽談合作事宜,113.01-113.12,6,6,200,150,50,400,學術研究與人才培育,無,
240,113,04　人文社會科學新領域之開發及研究環境之改善91,歐美亞澳地區,相關學術機構,交流訪問及洽談合作事宜,113.01-113.12,6,3,90,50,16,156,學術研究與人才培育,無,
240,113,05　創新性研究計畫16,歐美亞澳地區,相關學術機構,交流訪問及洽談合作事宜,113.01-113.12,6,4,160,80,32,272,學術研究與人才培育,無,
240,113,06　生物技術之研發及在醫學之應用4L,歐美亞澳地區,相關學術機構,交流訪問及洽談合作事宜,113.01-113.12,6,6,250,150,27,427,學術研究與人才培育,無,
240,113,07　數理科學新領域之開發及研究環境之改善16,歐美亞澳地區,相關學術機構,交流訪問及洽談合作事宜,113.01-113.12,6,4,200,140,18,358,學術研究與人才培育,無,
240,113,08　主題研究計畫16,歐美亞澳地區,相關學術機構,交流訪問及洽談合作事宜,113.01-113.12,6,8,300,350,67,717,學術研究與人才培育,無,
240,113,09　任務導向生技研究計畫4L,歐美亞澳非洲,研究機構、國際藥廠,技術交流、訪問,113.01-113.12,5,1,79,50,10,139,學術研究與人才培育,無,
240,113,10　重要新興領域推動計畫41,歐美亞澳非洲,研究機構,技術交流、訪問,113.01-113.12,6,2,125,120,10,255,學術研究與人才培育,無,
240,113,11　永續農學計畫15,歐美亞澳非洲,學術研究單位,學術交流及研究訪問,113.01-113.12,8,1,55,80,4,139,學術研究與人才培育,有,訪問之實驗室為近期CRISPR基因編輯技術之重要實驗室
240,113,12　與國內大學合作培育國際研究生計畫(TIGP)16,亞太、歐洲,科學院及知名大學,TIGP出國宣訪,113.01-113.12,15,30,210,396,25,631,學術研究與人才培育,無,
240,113,13　歐美亞澳學術參訪11,歐美亞澳洲,歐美亞澳學術機構,學術訪問討論,113.01-113.12,8,12,513,876,51,1440,數理科學研究,無,
240,113,14　生物化學研究15,歐美亞澳非洲,相關學術研究、合作機構,學術交流、洽談合作事宜,113.01-113.12,5,10,250,345,55,650,生命科學研究,無,
240,113,15　分子生物學相關學術機構訪問15,歐美亞澳洲,相關學術機構,學術交流及訪問,113.01-113.12,5,2,120,30,10,160,生命科學研究,無,
240,113,16　合作天文台學術交流11,歐美亞澳非洲,相關學術研究、合作機構,合作訪問、技術研發,113.01-113.12,20,12,600,400,,1000,數理科學研究,有,考察訪問、技術研發
240,113,17　望遠鏡訪查、維修、設置22,歐美亞澳非洲,相關學術研究、合作機構,望遠鏡維護、考察訪問、技術研發、運轉討論,113.01-113.12,20,15,1279,1020,,2299,數理科學研究,有,望遠鏡維護、考察訪問、技術研發、運轉討論
240,113,18　參訪與洽談合作事宜15,歐美亞澳非洲,學術研究機構,學術交流及研究訪問,113.01-113.12,2,2,20,10,3,33,生命科學研究,無,
240,113,19　史學及考文研究之相關計畫76,歐美亞澳非等地區,當地重點大學及學術機構,"與法國遠東學院等單位之學者交換研究或其他學術單位之交流、訪 問、洽談合作研究計畫、田野調查及蒐集資料等",113.01-113.12,6,6,360,480,60,900,人文及社會科學研究,無,
240,113,20　民族學研究75,歐美澳亞,相關學術研究/合作機構,學術交流、研究訪問及田野調查,113.01-113.12,10,1,38,58,14,110,人文及社會科學研究,無,
240,113,21　各學門經濟問題學術研究及訪問85,歐美亞地區,學術研究單位,與專家學者學術研究討論,113.01-113.12,10,10,360,580,40,980,人文及社會科學研究,無,
