id,time,計畫名稱及領域代碼,擬前往國家或地區,主要會議議題談判重點等,預計天數,擬派人數,旅費預算_交通費,旅費預算_生活費,旅費預算_辦公費,旅費預算_合計,歸屬預算科目,最近三次有關同一出國計畫之實際執行情形_出國地點1,最近三次有關同一出國計畫之實際執行情形_出國期間1,最近三次有關同一出國計畫之實際執行情形_出國人數1,最近三次有關同一出國計畫之實際執行情形_國外旅費1,最近三次有關同一出國計畫之實際執行情形_出國地點2,最近三次有關同一出國計畫之實際執行情形_出國期間2,最近三次有關同一出國計畫之實際執行情形_出國人數2,最近三次有關同一出國計畫之實際執行情形_國外旅費2,最近三次有關同一出國計畫之實際執行情形_出國地點3,最近三次有關同一出國計畫之實際執行情形_出國期間3,最近三次有關同一出國計畫之實際執行情形_出國人數3,最近三次有關同一出國計畫之實際執行情形_國外旅費3
240,113,一、定期會議,,,,,,,,,,,,,,,,,,,,,
240,113,01　網際網路會議、電腦系統技術與管理等研討會-2M,歐美亞洲,網路技術發展及資源分享、電腦系統技術與管理等相關研究,4,2,70,39,29,138,學術研究與人才培育,美國舊金山,108.08,1,143,馬來西亞,108.07,3,148,新加坡,108.10,1,40
240,113,02　軟體技術與發展、資料儲存技術與應用等研討會-3M,歐美亞洲,電腦軟體技術與應用相關事宜,3,1,60,32,18,110,學術研究與人才培育,美國舊金山,107.11,1,158,美國聖他克拉拉,107.09,1,119,德國柏林,107.06,1,138
240,113,03　資訊安全研討會-30,歐美亞洲,電腦資訊安全相關事宜,5,1,56,24,52,132,學術研究與人才培育,美國拉斯維加斯,108.08,2,304,美國拉斯維加斯,107.08,1,149,美國拉斯維加斯,106.07,1,142
240,113,04　太平洋鄰里協會年會暨聯合會議-3M,歐美亞洲,資訊共享與資源交換，促進國際合作,5,15,402,710,5,1117,學術研究與人才培育,日本沖繩,112.02,2,96,美國亞利桑那,111.09,4,487,新加坡,108.10,11,629
240,113,"05　2024 PRIM&R conference-48",美國,醫學研究倫理及人文社會科學研究倫理,8,3,140,80,80,300,學術研究與人才培育,美國聖地牙哥,107.11,5,634,美國波士頓,108.11,2,321,美國(視訊會議),109.12,10,253
240,113,"06　2024 FERCAP conference-48",亞洲,醫學研究倫理,6,2,55,42,15,112,學術研究與人才培育,韓國大邱,111.11,2,138,馬來西亞檳城,108.11,2,84,菲律賓(視訊會議),109.12,2,3
240,113,"07　2024 AAHRPP conference-48",美國,醫學研究倫理及人文社會科學研究倫理,6,3,140,80,80,300,學術研究與人才培育,美國丹佛,107.04,2,181,美國底特律,106.05,2,217,美國紐奧蘭,108.05,4,452
240,113,08　實驗動物照護及使用委員會-15,歐美亞洲,實驗動物趨勢、新知與交流分享,15,1,91,74,6,171,學術研究與人才培育,捷克,108.06,1,106,美國,108.10,1,87,美國,111.11,1,138
240,113,09　中長程學術發展-91,希臘,世界研究誠信大會,7,3,292,144,100,536,學術研究與人才培育,香港,108.06,3,170,,,,,,,,
240,113,10　深耕計畫-15,歐美亞地區,發表論文及參加會議,90,50,2000,2700,300,5000,學術研究與人才培育,,,,,,,,,,,,
240,113,11　表現理論與組合-10,歐美亞洲,發表論文,7,5,100,90,,190,數理科學研究,,,,,,,,,,,,
240,113,12　代數與數論-10,歐美亞洲,發表論文,7,5,100,90,,190,數理科學研究,,,,,,,,,,,,
240,113,13　幾何與數學物理-10,歐美亞洲,發表論文,7,5,100,90,,190,數理科學研究,,,,,,,,,,,,
240,113,14　微分方程-10,歐美亞洲,發表論文,7,5,100,90,,190,數理科學研究,,,,,,,,,,,,
240,113,15　幾何分析-10,歐美亞洲,發表論文,7,5,100,90,,190,數理科學研究,,,,,,,,,,,,
240,113,16　美國物理年會-11,美國,參加會議及發表論文,6,6,256,383,66,705,數理科學研究,美國,112.03,4,292,,,,,,,,
240,113,17　美國地球物理聯合會-14,美國,發表論文,7,14,504,720,42,1266,數理科學研究,美國舊金山,111.12,2,140,,,,,,,,
240,113,18　數理統計研究、統計計算、統計機器學習-10,歐美亞澳洲,國際統計學會年會、聯合統計會議、歐美亞各區域學會會議,7,10,320,330,80,730,數理科學研究,美國、日本、印度,109.02,16,454,,,,,,,,
240,113,19　生物統計、生物資訊-10,歐美亞洲,數理統計、生物資訊與統計遺傳學、癌症研究等會議,5,3,180,120,90,390,數理科學研究,美國、亞洲,108.08,3,284,,,,,,,,
240,113,20　資料庫整合統計方法學、實驗設計、函數資料與序貫分析-10,歐美亞澳洲,實驗設計、函數資料與序貫分析會議,7,5,120,150,30,300,數理科學研究,歐美亞,111.06,6,210,,,,,,,,
240,113,21　醫學與遺傳統計、社會網絡、精準醫療-10,歐美亞澳洲,醫學與遺傳統計、社會網絡、精準醫療會議,6,4,125,120,10,255,數理科學研究,美、亞,108.07,3,317,,,,,,,,
240,113,22　生醫資料智慧化計畫-10,歐美亞澳,參加國際學術會議、進行學術交流,7,5,191,190,25,406,學術研究與人才培育,,,,,,,,,,,,
240,113,23　神經科學會議-15,歐美亞澳洲,參加國際學術會議,7,3,180,105,75,360,生命科學研究,瑞士,111.09,1,40,法國,111.09,2,238,美國,111.09,1,100
240,113,24　植物生物學會議-15,歐美亞澳洲,參加國際學術會議,7,2,120,70,50,240,生命科學研究,西班牙,111.09,5,192,比利時,111.08,1,120,美國,108.08,1,120
240,113,25　細胞生物學會議-15,歐美亞澳洲,參加國際學術會議,7,2,120,70,50,240,生命科學研究,加拿大,109.02,1,90,美國,108.12,1,60,美國,108.11,2,165
240,113,26　天文及天文物理相關研究之定期會議-11,歐美亞澳洲,研討CFHT發展、東亞地區天文發展、Subaru-HSC合作方向、赴ALMA天文台進行諮詢委員合作會議,6,8,440,200,,640,數理科學研究,美、亞,109.01,5,493,,,,,,,,
240,113,27　台灣、中國與世界民族誌研究-75,歐美亞洲,參加學術會議,14,2,68,55,5,128,人文及社會科學研究,西雅圖、費城,111.11,1,120,,,,,,,,
240,113,28　原住民及宗教生活研究-75,歐美亞澳,參加學術會議,20,2,75,62,9,146,人文及社會科學研究,,,,,,,,,,,,
240,113,29　文化、心理與身體經驗-81,歐美亞洲,參加學術會議,22,2,71,65,7,143,人文及社會科學研究,,,,,,,,,,,,
240,113,30　文化生產與共作-75,歐美亞澳,參加學術會議,30,3,95,88,6,189,人文及社會科學研究,,,,,,,,,,,,
240,113,31　民族學研究-75,歐美地區,參加學術會議,28,2,84,76,5,165,人文及社會科學研究,明尼阿波利斯,111.11,1,39,,,,,,,,
240,113,32　出席歐美研究相關議題會議-72,美國,美國研究,7,1,50,25,2,77,人文及社會科學研究,瑞士,112.02,1,120,,,,,,,,
240,113,33　出席歐美研究相關議題會議-73,美國,美國哲學學會2024年會,5,1,50,24,2,76,人文及社會科學研究,英國,111.09,1,120,,,,,,,,
240,113,34　出席歐美研究相關議題會議-73,美國,美國哲學學會太平洋區年會,6,1,50,24,2,76,人文及社會科學研究,美國,111.06,1,96,,,,,,,,
240,113,35　出席歐美研究相關議題會議-80,美國,美國民意研究協會第79屆年會,8,1,50,24,2,76,人文及社會科學研究,,,,,,,,,,,,
240,113,36　出席歐美研究相關議題會議-80,美國,美國人口學會,4,1,50,17,2,69,人文及社會科學研究,,,,,,,,,,,,
240,113,37　出席歐美研究相關議題會議-80,加拿大,美國社會學會2024年會,5,1,50,17,2,69,人文及社會科學研究,,,,,,,,,,,,
240,113,38　出席歐美研究相關議題會議-84,英國,歐洲國際法學會年會,5,1,55,19,2,76,人文及社會科學研究,,,,,,,,,,,,
240,113,39　出席歐美研究相關議題會議-84,法國,世界國際法學會雙年會，會議議題：國際消費者保護的最新發展與司法實踐,8,1,55,19,2,76,人文及社會科學研究,,,,,,,,,,,,
240,113,40　台灣史研究-76,歐亞地區,參加國際學術會議,15,2,65,142,2,209,人文及社會科學研究,,,,,,,,,,,,
240,113,41　國際社會學會議-80,歐亞美澳非,國際社會學會議,5,14,400,513,,913,人文及社會科學研究,日本,109.02,1,98,美國哥倫比亞及英國倫敦,108.10,1,150,斯洛維尼亞,111.11,1,233
