id,time,bm_fiscalyear,bm_fundkind,bm_budgetkind,bm_specialbudgetno,bm_agenno,bm_agentype,bm_budgetstate,bm_abroadplan,bm_projtype,bm_projno,bm_abroadplanname,bm_visitsts,bm_visitexplain,bm_dispatchstaffs,bm_abroadsite1,bm_abroadsite2,bm_abroadsite3,bm_abroadperiod1,bm_abroadperiodto1,bm_abroadperiod2,bm_abroadperiodto2,bm_abroadperiod3,bm_abroadperiodto3,bm_abroadstaffs1,bm_abroadstaffs2,bm_abroadstaffs3,bm_abroadallowance1,bm_abroadallowance2,bm_abroadallowance3,bm_budgetno,bm_regionno,bm_country,bm_agency,bm_cont_text,bm_durationfrom,bm_durationto,bm_days,bm_persons,bm_amt_trans,bm_amt_life,bm_amt_public,bm_amt_books,bm_amt_flight,bm_versiondate
201,105,105,1,1,,02001,C,2,1,"1 ",01,察訪資安防護年會展覽、說明會及訪察創新資訊安全公司,0,,0,,,,,,,,,,0,0,0,0.00,0.00,0.00,32020010100,3M,美國,"DEF CON 24。FireEye, Inc.  /At&amp;t,  Inc. ","美國 DEF 年會有多場先進資訊安全問題與防護方案說明會及專業產品展示極具參考價值。察訪 FireEye 或 At&amp;t 不斷提供資安創新技術之公司，可掌握未來資安防護之整體方向。",10507,10508,6,2,150000.00,96000.00,96000.00,0.00,0.00,
201,106,106,1,1,,02001,C,2,1,"1 ",01,日本歷史建物之管理、維護、再利用與開放民眾參觀等業務考察,0,,0,,,,,,,,,,0,0,0,0.00,0.00,0.00,32020010100,94,日本,日本大阪市中央公會堂、京都府廳舊本館等歷史建物,本府建物為國家一級古蹟，係日據時期台灣總督府，建築風格屬後期文藝復興式，目前為總統、副總統辦公及接待訪賓之場所，並為國家中樞慶典集會及重要活動舉辦之場所。第三局職司本府建物管理、維護、再利用與開放民眾參觀業務，為善盡管理維護責任，發揮古蹟再利用之最大效益，爰計畫參訪日本大阪市中央公會堂、大阪造幣局、京都府廳舊本館等與本府建築風格相近之歷史建物，瞭解該國古蹟管理、維護、再利用與開放民眾參觀之制度與作法等，以作為業務改進與借鏡之參考。,10607,10612,5,3,120000.00,136000.00,86000.00,0.00,0.00,
201,106,106,1,1,,02001,C,2,1,"1 ",02,東南亞、南亞各國國家發展現況(分4次辦理),0,,0,,,,,,,,,,0,0,0,0.00,0.00,0.00,32020010401,94,東南亞、南亞各國,學術單位、政府單位、經貿團體,藉實地訪問瞭解東南亞及南亞各國現階段產業現況和需求及我未來與東協各國可行合作方向。,10601,10612,36,2,189000.00,765000.00,86000.00,0.00,0.00,
201,106,106,1,1,,02001,C,2,1,"3 ",01,參加有關新南向政策交流研討會(分2次辦理),,,0,,,,,,,,,,0,0,0,0.00,0.00,0.00,32020010401,94,東南亞、南亞各國,,新南向政策有關台灣與東南亞國家及台灣與南亞國家合作計畫之討論。,10601,10612,18,3,121000.00,463000.00,39000.00,0.00,0.00,
201,107,107,1,1,,02001,C,2,1,"1 ",01,察訪並借鏡新加坡資安防護及訪察創新資訊安全公司,0,,0,,,,,,,,,,0,0,0,0.00,0.00,0.00,32020010100,3M,新加坡,新加坡雲端應用部門及美國微軟亞太總部,參訪新加坡資訊通信發展管理局，觀摩雲端應用及資安防護業務，並參訪美國微軟亞太總部網路犯罪防護中心及Azure雲端資料中心，考察網路犯罪防範及雲端技術，並進行技術交流及研討。,10701,10712,6,3,60000.00,136000.00,136000.00,0.00,0.00,
201,108,108,1,1,,02001,C,2,1,"1 ",01,澳洲及南韓人權委員會運作情形,0,,0,,,,,,,,,,0,0,0,0.00,0.00,0.00,32020010100,83,澳洲、南韓,澳洲人權委員會、南韓國家人權委員會、南韓國民權益委員會等政府機關，相關人權組織及知名智庫或學者專家。,為辦理「總統府人權諮詢委員會」幕僚業務，爰規劃實地瞭解澳洲及南韓人權委員會運作情形，以供參考。,10810,10810,11,3,255000.00,240000.00,67000.00,0.00,0.00,
201,109,109,1,1,,02001,C,2,1,"1 ",01,日本、德國榮典制度、檔案管理、資通安全管理及創新服務,0,,0,,,,,,,,,,0,0,0,0.00,0.00,0.00,31020010100,94,日本、德國,1.日本內閣府賞勳局、國立公文書館等2.德國柏林檔案館及聯邦託管前東德國安部檔案局、聯邦資訊安全局等,&lt;#H1&gt;考察日本榮典勳賞制度、勳章綬帶製作，以為業務精進參考及為民服務創新作為。&lt;#H1&gt;考察檔案管理數位化及加值應用服務，作為檔案典藏、維護及應用等作為參考，加強為民服務創新作為。&lt;#H1&gt;考察觀摩德國資訊服務及資安管理設施及管理，作為強化本府資訊安全系統建置及維護借鏡。,10901,10912,7,3,387000.00,127000.00,20000.00,0.00,0.00,
201,110,110,1,1,,02001,C,2,1,"1 ",01,美國政府禮賓制度與開放參觀作業考察,0,,0,,,,,,,,,,0,0,0,0.00,0.00,0.00,31020010100,94,美國,美國國務院禮賓處及其他政府機構,"考察美國禮賓制度及拜訪開放參觀之歷史建物管理部門，實地瞭解有關典禮籌辦、禮賓接待、總務、布置及開放參觀等作業規劃方式及程序，汲取相關業務推動現況與成效，作為業務精進之參考。
",11001,11012,8,3,249000.00,177000.00,81000.00,0.00,0.00,
201,111,111,1,1,,02001,C,2,1,"1 ",01,澳洲國家與原住民族的和解,0,,0,,,,,,,,,,0,0,0,0.00,0.00,0.00,31020010100,83,澳洲,澳洲人權委員會、和解澳洲等機關、團體，相關原住民族組織及學者專家,規劃前往澳洲實地考察國家與原住民族的和解作為，以供辦理任務編組幕僚業務參考。,11110,11110,6,3,334000.00,113000.00,60000.00,0.00,0.00,
201,112,112,1,1,,02001,C,2,1,"1 ",01,最新雲端科技與資安技術應用,0,,0,,,,,,,,,,0,0,0,0.00,0.00,0.00,31020010100,2M,美國,美國舊金山市或聖荷西市政府、雲端高科技公司或機構、資訊及資安知名學者專家等,為規劃建置網路雲端設備、提高資訊系統服務品質，以及降低資安風險，需進一步深入瞭解相關作法及應用，規劃前往美國舊金山灣區及矽谷進行實地考察，汲取實務經驗，作為規劃參考。,11201,11212,6,3,290000.00,177000.00,40000.00,0.00,0.00,
