id,time,m33_fiscalyear,m33_reportno,m33_level1,m33_level2,m33_level3,m33_level4,m33_objectname,m33_objectno,m33_detailid,br_fiscalyear,br_fundkind,br_budgetkind,br_specialbudgetno,br_agenno,br_agentype,br_budgetstate,br_objectno,br_holds1,br_area1,br_bookvalue1,br_amtyear1,br_holds2,br_area2,br_amtyear2,br_holds3,br_area3,br_deposit,br_rental,br_amtyear3,br_area4,br_deposit4,br_rental4,br_amtyear4,br_versiondate,br_text
201,105,105,"辦公房舍      ",001,,,,辦公房屋,07320100,0,105,1,1,,02001,C,"2         ","07320100  ",10棟,46241.00,224739000.00,45904000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,46241.00,0.00,0.00,45904000.00,,
201,105,105,"辦公房舍      ",002,,,,機關宿舍,07320200,1,105,1,1,,02001,C,"2         ","07320200  ",7戶,3051.75,18337000.00,17211000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,3051.75,0.00,0.00,17211000.00,,
201,105,105,"辦公房舍      ",002,001,,,首長宿舍,07320201,0,105,1,1,,02001,C,"2         ","07320201  ",5戶,1119.11,14522000.00,200000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,1119.11,0.00,0.00,200000.00,,
201,105,105,"辦公房舍      ",002,002,,,單房間職務宿舍,07320202,0,105,1,1,,02001,C,"2         ","07320202  ",,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
201,105,105,"辦公房舍      ",002,003,,,多房間職務宿舍,07320203,0,105,1,1,,02001,C,"2         ","07320203  ",2戶,1932.64,3815000.00,17011000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,1932.64,0.00,0.00,17011000.00,,
201,105,105,"辦公房舍      ",003,,,,其他　　,07321000,0,105,1,1,,02001,C,"2         ","07321000  ",3棟,106.00,134000.00,12000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,106.00,0.00,0.00,12000.00,,
201,106,106,"辦公房舍      ",001,,,,辦公房屋,07320100,0,106,1,1,,02001,C,"2         ","07320100  ",10棟,46240.00,224739000.00,12243000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,46240.00,0.00,0.00,12243000.00,,
201,106,106,"辦公房舍      ",002,,,,機關宿舍,07320200,1,106,1,1,,02001,C,"2         ","07320200  ",7戶,3052.05,18337000.00,6541000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,3052.05,0.00,0.00,6541000.00,,
201,106,106,"辦公房舍      ",002,001,,,首長宿舍,07320201,0,106,1,1,,02001,C,"2         ","07320201  ",5戶,1119.41,14522000.00,418000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,1119.41,0.00,0.00,418000.00,,
201,106,106,"辦公房舍      ",002,002,,,單房間職務宿舍,07320202,0,106,1,1,,02001,C,"2         ","07320202  ",,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
201,106,106,"辦公房舍      ",002,003,,,多房間職務宿舍,07320203,0,106,1,1,,02001,C,"2         ","07320203  ",2戶,1932.64,3815000.00,6123000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,1932.64,0.00,0.00,6123000.00,,
201,106,106,"辦公房舍      ",003,,,,其他　　,07321000,0,106,1,1,,02001,C,"2         ","07321000  ",3棟,106.00,134000.00,11000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,106.00,0.00,0.00,11000.00,,
201,107,107,"辦公房舍      ",001,,,,辦公房屋,07320100,0,107,1,1,,02001,C,"2         ","07320100  ",10棟,46240.00,224739000.00,46017000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,46240.00,0.00,0.00,46017000.00,,
201,107,107,"辦公房舍      ",002,,,,機關宿舍,07320200,1,107,1,1,,02001,C,"2         ","07320200  ",,2927.23,14993000.00,1547000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,2927.23,0.00,0.00,1547000.00,,
201,107,107,"辦公房舍      ",002,001,,,首長宿舍,07320201,0,107,1,1,,02001,C,"2         ","07320201  ",4戶,994.59,11178000.00,1200000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,994.59,0.00,0.00,1200000.00,,
201,107,107,"辦公房舍      ",002,002,,,單房間職務宿舍,07320202,0,107,1,1,,02001,C,"2         ","07320202  ",,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
201,107,107,"辦公房舍      ",002,003,,,多房間職務宿舍,07320203,0,107,1,1,,02001,C,"2         ","07320203  ",2戶,1932.64,3815000.00,347000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,1932.64,0.00,0.00,347000.00,,
201,107,107,"辦公房舍      ",003,,,,其他　　,07321000,0,107,1,1,,02001,C,"2         ","07321000  ",,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
201,108,108,"辦公房舍      ",001,,,,辦公房屋,07320100,0,108,1,1,,02001,C,"2         ","07320100  ",10棟,46240.00,224739000.00,61931000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,46240.00,0.00,0.00,61931000.00,,
201,108,108,"辦公房舍      ",002,,,,機關宿舍,07320200,1,108,1,1,,02001,C,"2         ","07320200  ",,2887.61,14889000.00,469000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,2887.61,0.00,0.00,469000.00,,
201,108,108,"辦公房舍      ",002,001,,,首長宿舍,07320201,0,108,1,1,,02001,C,"2         ","07320201  ",4戶,954.97,11074000.00,180000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,954.97,0.00,0.00,180000.00,,
201,108,108,"辦公房舍      ",002,002,,,單房間職務宿舍,07320202,0,108,1,1,,02001,C,"2         ","07320202  ",,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
201,108,108,"辦公房舍      ",002,003,,,多房間職務宿舍,07320203,0,108,1,1,,02001,C,"2         ","07320203  ",2戶,1932.64,3815000.00,289000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,1932.64,0.00,0.00,289000.00,,
201,108,108,"辦公房舍      ",003,,,,其他　　,07321000,0,108,1,1,,02001,C,"2         ","07321000  ",,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
201,109,109,"辦公房舍      ",001,,,,辦公房屋,07320100,0,109,1,1,,02001,C,"2         ","07320100  ",10棟,46240.00,224739000.00,51877000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,46240.00,0.00,0.00,51877000.00,,
201,109,109,"辦公房舍      ",002,,,,機關宿舍,07320200,1,109,1,1,,02001,C,"2         ","07320200  ",,3052.05,18337000.00,469000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,3052.05,0.00,0.00,469000.00,,
201,109,109,"辦公房舍      ",002,001,,,首長宿舍,07320201,0,109,1,1,,02001,C,"2         ","07320201  ",5戶,1119.41,14522000.00,180000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,1119.41,0.00,0.00,180000.00,,
201,109,109,"辦公房舍      ",002,002,,,單房間職務宿舍,07320202,0,109,1,1,,02001,C,"2         ","07320202  ",,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
201,109,109,"辦公房舍      ",002,003,,,多房間職務宿舍,07320203,0,109,1,1,,02001,C,"2         ","07320203  ",2戶,1932.64,3815000.00,289000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,1932.64,0.00,0.00,289000.00,,
201,109,109,"辦公房舍      ",003,,,,其他　　,07321000,0,109,1,1,,02001,C,"2         ","07321000  ",,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
201,110,110,"辦公房舍      ",001,,,,辦公房屋,07320100,0,110,1,1,,02001,C,"2         ","07320100  ",10棟,46240.00,224739000.00,57827000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,46240.00,0.00,0.00,57827000.00,,
201,110,110,"辦公房舍      ",002,,,,機關宿舍,07320200,1,110,1,1,,02001,C,"2         ","07320200  ",,3052.05,18337000.00,469000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,3052.05,0.00,0.00,469000.00,,
201,110,110,"辦公房舍      ",002,001,,,首長宿舍,07320201,0,110,1,1,,02001,C,"2         ","07320201  ",5戶,1119.41,14522000.00,180000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,1119.41,0.00,0.00,180000.00,,
201,110,110,"辦公房舍      ",002,002,,,單房間職務宿舍,07320202,0,110,1,1,,02001,C,"2         ","07320202  ",,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
201,110,110,"辦公房舍      ",002,003,,,多房間職務宿舍,07320203,0,110,1,1,,02001,C,"2         ","07320203  ",2戶,1932.64,3815000.00,289000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,1932.64,0.00,0.00,289000.00,,
201,110,110,"辦公房舍      ",003,,,,其他　　,07321000,0,110,1,1,,02001,C,"2         ","07321000  ",,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
201,111,111,"辦公房舍      ",001,,,,辦公房屋,07320100,0,111,1,1,,02001,C,"2         ","07320100  ",10棟,46240.00,234419000.00,63277000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,46240.00,0.00,0.00,63277000.00,,
201,111,111,"辦公房舍      ",002,,,,機關宿舍,07320200,1,111,1,1,,02001,C,"2         ","07320200  ",,2887.31,14889000.00,469000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,2887.31,0.00,0.00,469000.00,,
201,111,111,"辦公房舍      ",002,001,,,首長宿舍,07320201,0,111,1,1,,02001,C,"2         ","07320201  ",4戶,954.67,11074000.00,180000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,954.67,0.00,0.00,180000.00,,
201,111,111,"辦公房舍      ",002,002,,,單房間職務宿舍,07320202,0,111,1,1,,02001,C,"2         ","07320202  ",,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
201,111,111,"辦公房舍      ",002,003,,,多房間職務宿舍,07320203,0,111,1,1,,02001,C,"2         ","07320203  ",2戶,1932.64,3815000.00,289000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,1932.64,0.00,0.00,289000.00,,
201,111,111,"辦公房舍      ",003,,,,其他　　,07321000,0,111,1,1,,02001,C,"2         ","07321000  ",,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
201,112,112,"辦公房舍      ",001,,,,辦公房屋,07320100,0,112,1,1,,02001,C,"2         ","07320100  ",10棟,46240.00,234419000.00,53661000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,46240.00,0.00,0.00,53661000.00,,
201,112,112,"辦公房舍      ",002,,,,機關宿舍,07320200,1,112,1,1,,02001,C,"2         ","07320200  ",,2887.31,14889000.00,469000.00,,0.00,0.00,,0.00,0.00,0.00,0.00,2887.31,0.00,0.00,469000.00,,
